Celltype	cl: ID	Parent Class	isTerminalNode	Definitions
Blood Cell	CL:0000000		False	A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.
Platelet	CL:0000233	Blood Cell	True	A non-nucleated disk-shaped cell formed by extrusion from megakaryocytes, found in the blood of all mammals, and mainly involved in blood coagulation.
RBC	CL:0000232	Blood Cell	True	A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen.
HSC	CL:0000037	Blood Cell	True	A stem cell from which all cells of the lymphoid and myeloid lineages develop, including blood cells and cells of the immune system. Hematopoietic stem cells lack cell markers of effector cells (lin-negative). Lin-negative is defined by lacking one or more of the following cell surface markers: CD2, CD3 epsilon, CD4, CD5 ,CD8 alpha chain, CD11b, CD14, CD19, CD20, CD56, ly6G, ter119.
Doublet		Blood Cell	True	An often technical artifact in single‑cell RNA sequencing datasets resulting from two or more cells being captured and sequenced together under a single barcode, yielding a hybrid transcriptome that does not represent a true biological cell.
Leukocyte	CL:0000738	Blood Cell	False	An achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue.
Lymphoid Cell	CL:0000542	Leukocyte	False	A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin.
NK Cell	CL:0000623	Lymphoid Cell	False	A lymphocyte that can spontaneously kill a variety of target cells without prior antigenic activation via germline encoded activation receptors and also regulate immune responses via cytokine release and direct contact with other cells.
T Cell	CL:0000084	Lymphoid Cell	False	A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex.
CD4 T Cell (ab)	CL:0000624	T Cell	False	A mature alpha-beta T cell that expresses an alpha-beta T cell receptor and the CD4 coreceptor.
CD4 Naive / T Central Memory	CL:0000895	CD4 T Cell (ab)	True	An antigen inexperienced CD4-positive, alpha-beta T cell with the phenotype CCR7-positive, CD127-positive and CD62L-positive. This cell type develops in the thymus. This cell type is also described as being CD25-negative, CD62L-high, and CD44-low.
CD4 T Effector Memory	CL:0000905	CD4 T Cell (ab)	True	CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.
Treg	CL:0000815	CD4 T Cell (ab)	True	A T cell which regulates overall immune responses as well as the responses of other T cell subsets through direct cell-cell contact and cytokine release.
CD8 T Cell (ab)	CL:0000625	T Cell	False	A T cell expressing an alpha-beta T cell receptor and the CD8 coreceptor.
CD8 Naive / T Central Memory	CL:0000900	CD8 T Cell (ab)	True	A CD8-positive, alpha-beta T cell that has not experienced activation via antigen contact and has the phenotype CD45RA-positive, CCR7-positive and CD127-positive. This cell type is also described as being CD25-negative, CD62L-high and CD44-low.
CD8 Cytotoxic / T Effector Memory	CL:0000909	CD8 T Cell (ab)	True	CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.
ydT Cell	CL:0000798	T Cell	True	A T cell that expresses a gamma-delta T cell receptor complex.
MAIT Cell	CL:0000940	T Cell	True	An alpha-beta T cell that is found in the lamina propria of mucosal tissues and is restricted by the MR-1 molecule. This cell develops from double-positive, alpha-beta thymocyte.
NKT Cell	CL:0000814	T Cell	True	A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.
B Cell	CL:0000236	Lymphoid Cell	False	A lymphocyte of B lineage that is capable of B cell mediated immunity.
Effector B	CL:0000968	B Cell	False	A mature B cell that produces cytokines that can influence CD4 T cell differentiation.
Plasma Cell	CL:0000786	Effector B	True	A terminally differentiated, post-mitotic, antibody secreting cell of the B cell lineage with the phenotype CD138-positive, surface immunonoglobulin-negative, and MHC Class II-negative. Plasma cells are oval or round with extensive rough endoplasmic reticulum, a well-developed Golgi apparatus, and a round nucleus having a characteristic cartwheel heterochromatin pattern and are devoted to producing large amounts of immunoglobulin.
Plasmablast	CL:0000980	Effector B	True	An activated mature (naive or memory) B cell that is secreting immunoglobulin, typified by being CD27-positive, CD38-positive, CD138-negative.
Naive B Cell	CL:0000788	B Cell	True	A naive B cell is a mature B cell that has the phenotype surface IgD-positive, surface IgM-positive, CD20-positive, CD27-negative and that has not yet been activated by antigen in the periphery.
Memory B Cell	CL:0000787	B Cell	True	A memory B cell is a mature B cell that is long-lived, readily activated upon re-encounter of its antigenic determinant, and has been selected for expression of higher affinity immunoglobulin. This cell type has the phenotype CD19-positive, CD20-positive, MHC Class II-positive, and CD138-negative.
Myeloid Cell	CL:0000763	Leukocyte	False	A cell of the monocyte, granulocyte, mast cell, megakaryocyte, or erythroid lineage.
Monocyte	CL:0000576	Myeloid Cell	False	Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.
Classical Monocyte	CL:0000860	Monocyte	True	A monocyte that responds rapidly to microbial stimuli by secreting cytokines and antimicrobial factors and which is characterized by high expression of CCR2 in both rodents and humans, negative for the lineage markers CD3, CD19, and CD20, and of larger size than non-classical monocytes.
Non-Classical Monocyte	CL:0000875	Monocyte	True	A type of monocyte characterized by low expression of CCR2, low responsiveness to monocyte chemoattractant CCL2/MCP1, low phagocytic activity, and decrease size relative to classical monocytes, but increased co-stimulatory activity. May also play a role in tissue repair.
Intermediate Monocyte	CL:0002393	Monocyte	True	A monocyte that has characteristics of both patrolling and inflammatory monocytes.
Granulocyte	CL:0000094	Myeloid Cell	False	A leukocyte with abundant granules in the cytoplasm.
Neutrophil	CL:0000775	Granulocyte	True	Any of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes.
Eosinophil	CL:0000771	Granulocyte	True	Any of the immature or mature forms of a granular leukocyte with a nucleus that usually has two lobes connected by one or more slender threads of chromatin, and cytoplasm containing coarse, round granules that are uniform in size and which can be stained by the dye eosin. Eosinophils are CD9-positive, CD191-positive, and CD193-positive.
Basophil	CL:0000767	Granulocyte	True	Any of the immature or mature forms of a granular leukocyte that in its mature form has an irregularly shaped, pale-staining nucleus that is partially constricted into two lobes, and with cytoplasm that contains coarse, bluish-black granules of variable size. Basophils contain vasoactive amines such as histamine and serotonin, which are released on appropriate stimulation. A basophil is CD123-positive, CD193-positive, CD203c-positive, and FceRIa-positive.
Mast Cell	CL:0000097	Granulocyte	True	A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development.
DC	CL:0000451	Myeloid Cell	False	A cell of hematopoietic origin, typically resident in particular tissues, specialized in the uptake, processing, and transport of antigens to lymph nodes for the purpose of stimulating an immune response via T cell activation. These cells are lineage negative (CD3-negative, CD19-negative, CD34-negative, and CD56-negative).
