final_broad_lineage	tool	covered_n	exact_final_concordance	broad_final_concordance
B	CellTypist	6509	0.8571209095099094	0.987555692118605
B	Azimuth PBMC L2	6509	0.7422031033952988	0.9910892610231986
B	Azimuth PBMC L3	6509	0.012751574742664003	0.01997234598248579
B	Pan-human Azimuth fine	6509	0.8958365340298049	0.9840221232140114
B	Pan-human Azimuth medium	6509	0.00015363343063450608	0.9843293900752804
B	Cluster consensus	6509	0.620218159471501	0.9843293900752804
B	Marker score	6509	0.024888615762789983	0.988477492702412
B	screfmap scoped	6502	0.9400184558597354	0.9980006151953246
T/NK	CellTypist	25685	0.7114269028615924	0.9922522873272338
T/NK	Azimuth PBMC L2	25685	0.7243138018298618	0.9929141522289274
T/NK	Azimuth PBMC L3	25685	0.048822269807280515	0.12832392446953475
T/NK	Pan-human Azimuth fine	25685	0.6779832587113102	0.9216663422230874
T/NK	Pan-human Azimuth medium	25685	0.27911232236714034	0.926338329764454
T/NK	Cluster consensus	25685	0.7813899162935566	0.9899941600155733
T/NK	Marker score	25685	0.35168386217636755	0.9830640451625462
T/NK	screfmap scoped	5750	0.6540869565217391	0.9994782608695653
Myeloid/DC	CellTypist	19898	0.9454216504171273	0.9956779575836767
Myeloid/DC	Azimuth PBMC L2	19898	0.9633631520755855	0.9968338526485074
Myeloid/DC	Azimuth PBMC L3	19898	0.9434113981304654	0.974118001809227
Myeloid/DC	Pan-human Azimuth fine	19898	0.7642476630817168	0.8976781586089054
Myeloid/DC	Pan-human Azimuth medium	19898	0.0	0.9001407176600663
Myeloid/DC	Cluster consensus	19898	0.958840084430596	0.9992461553925017
Myeloid/DC	Marker score	19898	0.04362247462056488	0.9947230877475123
Myeloid/DC	screfmap scoped	4	0.0	0.0
Artifact/Other	CellTypist	2830	0.49646643109540634	0.5173144876325089
Artifact/Other	Azimuth PBMC L2	2830	0.4901060070671378	0.5600706713780919
Artifact/Other	Azimuth PBMC L3	2830	0.49434628975265016	0.67773851590106
Artifact/Other	Pan-human Azimuth fine	2830	0.5371024734982333	0.6696113074204947
Artifact/Other	Pan-human Azimuth medium	2830	0.4989399293286219	0.6667844522968198
Artifact/Other	Cluster consensus	2830	0.5162544169611307	0.5229681978798587
Artifact/Other	Marker score	2830	0.4784452296819788	0.5487632508833922
Artifact/Other	screfmap scoped	267	0.0	0.0
