lineage	cluster	n_cells	chosen_label	accepted	score_margin	calibrated_cluster_confidence	marker_availability_alert	top_celltypist	top_azimuth_l2	top_panhuman_fine	top_marker	top_screfmapping
B_lineage	0	805	Naive B Cell	True	4.25552802694449	0.8500000000000001	pass	Naive B Cell:636; B Cell:65; Blood Cell:36; CD4 Naive / T Central Memory:33; Treg:14	Naive B Cell:679; B Cell:125; Memory B Cell:1	Naive B Cell:757; Memory B Cell:23; Blood Cell:22; B Cell:3	B Cell:804; Monocyte:1	Naive B Cell:799; Memory B Cell:6
B_lineage	1	576	Plasma Cell	True	2.2891757060113784	0.7613252314814815	warning	Plasma Cell:295; CD4 Naive / T Central Memory:96; Plasmablast:55; Blood Cell:54; Classical Monocyte:25	Plasmablast:302; CD4 Naive / T Central Memory:126; Classical Monocyte:86; Memory B Cell:22; HSC:15	Plasma Cell:546; Blood Cell:23; Memory B Cell:5; Naive B Cell:2	Monocyte:441; Plasma Cell:120; B Cell:7; Non-Classical Monocyte:3; NK Cell:2	Memory B Cell:284; Naive B Cell:172; Plasma Cell:67; not_available:35; CD4 T Effector Memory:10
B_lineage	2	538	Naive B Cell	True	2.705403533904574	0.8500000000000001	pass	Naive B Cell:194; CD4 Naive / T Central Memory:139; Blood Cell:75; B Cell:63; Memory B Cell:22	Naive B Cell:287; B Cell:214; Memory B Cell:30; CD4 Naive / T Central Memory:4; HSC:2	Naive B Cell:332; Memory B Cell:115; Blood Cell:76; B Cell:9; Plasma Cell:6	B Cell:531; Plasma Cell:3; DC:2; Monocyte:2	Naive B Cell:471; Memory B Cell:59; Treg:2; Plasma Cell:2; CD4 Naive / T Central Memory:2
B_lineage	3	527	Memory B Cell	True	2.30635576291548	0.8500000000000001	pass	B Cell:352; CD4 Naive / T Central Memory:45; Blood Cell:41; Memory B Cell:33; Naive B Cell:20	B Cell:497; Memory B Cell:17; Naive B Cell:12; Plasmablast:1	Memory B Cell:391; Naive B Cell:96; Blood Cell:32; Plasma Cell:6; B Cell:2	B Cell:525; Plasma Cell:2	Memory B Cell:427; Naive B Cell:98; Plasma Cell:2
B_lineage	4	437	Memory B Cell	True	3.204933604354535	0.8388706237173051	pass	B Cell:150; Memory B Cell:100; CD4 Naive / T Central Memory:82; Blood Cell:45; NK Cell:27	B Cell:234; Memory B Cell:194; Naive B Cell:5; CD4 Naive / T Central Memory:4	Memory B Cell:358; Naive B Cell:44; Blood Cell:28; B Cell:5; Plasma Cell:2	B Cell:436; NK Cell:1	Memory B Cell:364; Naive B Cell:71; not_available:1; Treg:1
B_lineage	5	418	Memory B Cell	True	0.8461478099063728	0.829489090165831	pass	B Cell:143; Memory B Cell:77; Naive B Cell:58; CD4 Naive / T Central Memory:52; Blood Cell:41	B Cell:361; Naive B Cell:45; Memory B Cell:11; Plasmablast:1	Memory B Cell:270; Naive B Cell:136; Blood Cell:9; Plasma Cell:2; B Cell:1	B Cell:418	Memory B Cell:236; Naive B Cell:182
B_lineage	6	352	Plasma Cell	True	0.114512789316151	0.6237148144564106	warning	Plasma Cell:112; NK Cell:71; Naive B Cell:34; CD8 Cytotoxic / T Effector Memory:31; B Cell:31	B Cell:150; Plasmablast:129; Naive B Cell:33; CD8 Cytotoxic / T Effector Memory:15; CD4 Naive / T Central Memory:13	Plasma Cell:142; Naive B Cell:83; Blood Cell:68; Memory B Cell:56; NK Cell:2	B Cell:198; Plasma Cell:123; NK Cell:20; Monocyte:6; T Cell:2	Naive B Cell:121; Memory B Cell:110; Plasma Cell:106; not_available:15
B_lineage	7	348	Plasma Cell	True	3.711473650041797	0.82	warning	Plasmablast:238; Plasma Cell:81; CD4 Naive / T Central Memory:18; T Cell:4; B Cell:3	Plasmablast:345; CD4 T Cell (ab):2; CD4 Naive / T Central Memory:1	Plasma Cell:342; Blood Cell:5; Lymphoid Cell:1	Plasma Cell:340; B Cell:6; Monocyte:2	Plasma Cell:301; Memory B Cell:26; Naive B Cell:19; not_available:1; CD4 Naive / T Central Memory:1
B_lineage	8	285	Plasma Cell	True	3.826542011344765	0.82	warning	Plasma Cell:263; Plasmablast:9; CD4 Naive / T Central Memory:6; Blood Cell:3; B Cell:1	Plasmablast:282; Memory B Cell:2; B Cell:1	Plasma Cell:283; Memory B Cell:1; Blood Cell:1	Plasma Cell:251; B Cell:29; T Cell:2; Monocyte:1; Plasmacytoid DC:1	Plasma Cell:260; Memory B Cell:14; Naive B Cell:11
B_lineage	9	284	Plasma Cell	True	3.7501862938087314	0.82	warning	Plasma Cell:275; Plasmablast:8; CD4 Naive / T Central Memory:1	Plasmablast:284	Plasma Cell:283; Blood Cell:1	Plasma Cell:284	Plasma Cell:263; Naive B Cell:16; Memory B Cell:5
B_lineage	10	278	Plasma Cell	True	3.013612675559738	0.82	warning	Plasma Cell:223; CD4 Naive / T Central Memory:30; Plasmablast:17; Blood Cell:2; B Cell:2	Plasmablast:261; CD4 Naive / T Central Memory:7; B Cell:5; Memory B Cell:4; HSC:1	Plasma Cell:264; Blood Cell:8; Memory B Cell:4; B Cell:1; Naive B Cell:1	Plasma Cell:244; B Cell:20; Monocyte:8; T Cell:3; CD4 T Cell (ab):1	Plasma Cell:166; Naive B Cell:65; Memory B Cell:47
B_lineage	11	269	Plasma Cell	True	3.736284046568671	0.82	warning	Plasma Cell:268; Plasmablast:1	Plasmablast:269	Plasma Cell:269	Plasma Cell:266; B Cell:2; Non-Classical Monocyte:1	Plasma Cell:242; Naive B Cell:23; Memory B Cell:4
B_lineage	12	223	Plasma Cell	True	3.739138022063637	0.82	warning	Plasmablast:192; Plasma Cell:11; T Cell:8; CD4 Naive / T Central Memory:7; Blood Cell:2	Plasmablast:221; NK Cell:2	Plasma Cell:215; Blood Cell:7; Lymphoid Cell:1	Plasma Cell:212; B Cell:6; Monocyte:3; T Cell:1; NK Cell:1	Plasma Cell:196; Naive B Cell:14; Memory B Cell:11; not_available:1; CD4 Naive / T Central Memory:1
B_lineage	13	209	Plasma Cell	True	3.544860665487959	0.82	warning	Plasmablast:109; Plasma Cell:74; CD4 Naive / T Central Memory:13; Blood Cell:6; T Cell:4	Plasmablast:204; CD4 Naive / T Central Memory:3; HSC:1; B Cell:1	Plasma Cell:203; Blood Cell:6	Plasma Cell:198; B Cell:8; Monocyte:2; Non-Classical Monocyte:1	Plasma Cell:165; Memory B Cell:22; Naive B Cell:20; not_available:1; CD4 Naive / T Central Memory:1
B_lineage	14	198	Naive B Cell	True	1.3423378344414738	0.8411111111111111	pass	CD4 Naive / T Central Memory:80; B Cell:35; Naive B Cell:30; Treg:15; Blood Cell:13	B Cell:105; Naive B Cell:65; Memory B Cell:14; CD4 Naive / T Central Memory:11; Treg:2	Naive B Cell:110; Memory B Cell:73; Blood Cell:14; Plasma Cell:1	B Cell:194; CD4 T Cell (ab):2; RBC:2	Naive B Cell:111; Memory B Cell:75; not_available:7; Treg:3; CD4 Naive / T Central Memory:1
B_lineage	15	120	Plasma Cell	True	3.1003514063106907	0.82	warning	Plasma Cell:77; Plasmablast:22; Classical Monocyte:13; CD4 Naive / T Central Memory:5; B Cell:1	Plasmablast:90; Classical Monocyte:17; RBC:8; B Cell:3; CD4 Naive / T Central Memory:2	Plasma Cell:113; Blood Cell:4; Naive B Cell:2; Memory B Cell:1	Monocyte:95; Plasma Cell:23; B Cell:2	Plasma Cell:69; Memory B Cell:38; Naive B Cell:13
B_lineage	16	99	Memory B Cell	True	0.3489407752208491	0.7462293553608526	pass	B Cell:29; CD4 Naive / T Central Memory:21; Naive B Cell:20; Memory B Cell:13; Blood Cell:8	B Cell:79; Naive B Cell:13; Memory B Cell:6; CD4 Naive / T Central Memory:1	Memory B Cell:56; Naive B Cell:32; Blood Cell:8; B Cell:2; Plasma Cell:1	B Cell:99	Naive B Cell:54; Memory B Cell:45
B_lineage	17	73	Plasma Cell	True	1.2909799745914778	0.82	warning	Plasma Cell:30; CD4 Naive / T Central Memory:13; Blood Cell:8; Naive B Cell:8; B Cell:5	Plasmablast:44; Naive B Cell:13; B Cell:12; Classical Monocyte:2; Memory B Cell:1	Plasma Cell:48; Naive B Cell:13; Blood Cell:7; Memory B Cell:4; Platelet:1	Plasma Cell:35; B Cell:25; Platelet:8; Monocyte:2; T Cell:2	Plasma Cell:32; Naive B Cell:27; Memory B Cell:14
