final_broad_lineage	tool	covered_n	exact_final_concordance	broad_final_concordance
B	CellTypist	3667	0.3441505317698391	0.9380965366784838
B	Azimuth PBMC L2	3667	0.052904281428961	0.7556585764930461
B	Azimuth PBMC L3	3667	0.0002727024815925825	0.05781292609762749
B	Pan-human Azimuth fine	3667	0.7092991546223071	0.960185437687483
B	Pan-human Azimuth medium	3667	0.002727024815925825	0.9552767930188165
B	Cluster consensus	3667	0.003817834742296155	0.9550040905372239
B	Marker score	3667	0.000545404963185165	0.3662394327788383
B	screfmap scoped	3592	0.5595768374164811	0.9980512249443207
T/NK	CellTypist	51898	0.7096997957532082	0.9521561524528883
T/NK	Azimuth PBMC L2	51898	0.6436471540329107	0.9871285984045628
T/NK	Azimuth PBMC L3	51898	0.1057266175960538	0.13428263131527227
T/NK	Pan-human Azimuth fine	51898	0.4160275925854561	0.7591043970865929
T/NK	Pan-human Azimuth medium	51898	0.12489884003237119	0.8163320359166056
T/NK	Cluster consensus	51898	0.9265482292188524	0.9782650583837528
T/NK	Marker score	51898	0.20904466453427878	0.921249373771629
T/NK	screfmap scoped	27970	0.8459420808008581	0.9989631748301752
Myeloid/DC	CellTypist	177	0.03389830508474576	0.06779661016949153
Myeloid/DC	Azimuth PBMC L2	177	0.24293785310734464	0.4519774011299435
Myeloid/DC	Azimuth PBMC L3	177	0.23163841807909605	0.384180790960452
Myeloid/DC	Pan-human Azimuth fine	177	0.062146892655367235	0.07344632768361582
Myeloid/DC	Pan-human Azimuth medium	177	0.0	0.07909604519774012
Myeloid/DC	Cluster consensus	177	0.0	0.0
Myeloid/DC	Marker score	177	0.096045197740113	0.9548022598870056
Myeloid/DC	screfmap scoped	62	0.0	0.0
Artifact/Other	CellTypist	1677	0.026833631484794274	0.05008944543828265
Artifact/Other	Azimuth PBMC L2	1677	0.0005963029218843172	0.08527131782945736
Artifact/Other	Azimuth PBMC L3	1677	0.042337507453786526	0.9296362552176506
Artifact/Other	Pan-human Azimuth fine	1677	0.09063804412641623	0.3023255813953488
Artifact/Other	Pan-human Azimuth medium	1677	0.08228980322003578	0.2760882528324389
Artifact/Other	Cluster consensus	1677	0.06976744186046512	0.14609421586165772
Artifact/Other	Marker score	1677	0.0	0.0
Artifact/Other	screfmap scoped	788	0.0	0.0
