lineage	cluster	n_cells	chosen_label	accepted	score_margin	calibrated_cluster_confidence	marker_availability_alert	top_celltypist	top_azimuth_l2	top_panhuman_fine	top_marker	top_screfmapping
B_lineage	0	339	Memory B Cell	True	1.210610678908922	0.7169278666423202	pass	Memory B Cell:158; Naive B Cell:99; B Cell:41; Plasma Cell:13; CD8 Cytotoxic / T Effector Memory:12	B Cell:307; CD4 Naive / T Central Memory:25; Conventional DC 2:5; Plasmacytoid DC:1; Plasmablast:1	Memory B Cell:328; Blood Cell:6; Plasma Cell:2; CD4 T Cell (ab):1; B Cell:1	DC:240; B Cell:59; Monocyte:22; Plasmacytoid DC:13; Plasma Cell:4	Naive B Cell:202; Memory B Cell:78; Plasma Cell:56; not_available:2; CD4 Naive / T Central Memory:1
B_lineage	1	327	Memory B Cell	True	1.1342074379688594	0.78886634718457	pass	Memory B Cell:167; Naive B Cell:108; B Cell:42; CD8 Cytotoxic / T Effector Memory:4; Blood Cell:3	B Cell:199; Conventional DC 2:45; CD4 Naive / T Central Memory:43; Memory B Cell:40	Memory B Cell:327	DC:216; B Cell:95; Plasma Cell:12; Plasmacytoid DC:3; Monocyte:1	Naive B Cell:213; Memory B Cell:108; Plasma Cell:4; not_available:2
B_lineage	2	268	Memory B Cell	True	1.01611226249151	0.7185260703142262	pass	B Cell:97; Naive B Cell:85; Memory B Cell:66; Blood Cell:9; Plasma Cell:7	Conventional DC 2:117; B Cell:97; Plasmablast:54	Memory B Cell:268	DC:220; B Cell:47; Plasma Cell:1	Plasma Cell:103; Naive B Cell:94; Memory B Cell:64; not_available:7
B_lineage	3	263	Naive B Cell	True	0.5795611698860692	0.7848502136618707	pass	B Cell:133; Naive B Cell:102; Blood Cell:24; Memory B Cell:3; CD8 Cytotoxic / T Effector Memory:1	B Cell:152; Naive B Cell:102; Plasmablast:8; Conventional DC 2:1	Memory B Cell:260; Blood Cell:3	B Cell:115; Monocyte:104; DC:42; Plasma Cell:1; Plasmacytoid DC:1	Naive B Cell:261; Plasma Cell:1; Memory B Cell:1
B_lineage	4	257	Memory B Cell	True	2.970960011812953	0.8268836984226196	pass	B Cell:176; Memory B Cell:66; Blood Cell:10; Naive B Cell:5	B Cell:164; Conventional DC 2:75; Plasmablast:10; Naive B Cell:6; CD4 Naive / T Central Memory:1	Memory B Cell:257	DC:177; B Cell:69; Monocyte:10; Plasmacytoid DC:1	Memory B Cell:148; Naive B Cell:100; not_available:5; Plasma Cell:4
B_lineage	5	244	Memory B Cell	True	2.6428559518911747	0.7701684730546225	pass	B Cell:226; Blood Cell:17; Memory B Cell:1	Conventional DC 2:157; B Cell:41; Plasmablast:41; Naive B Cell:4; Memory B Cell:1	Memory B Cell:244	DC:226; B Cell:13; Monocyte:3; Plasma Cell:2	Memory B Cell:127; Naive B Cell:85; Plasma Cell:19; not_available:13
B_lineage	6	243	Memory B Cell	True	3.603881416921042	0.8457489681116006	pass	Memory B Cell:195; B Cell:46; Naive B Cell:2	B Cell:224; Conventional DC 2:9; CD4 Naive / T Central Memory:5; Memory B Cell:3; Plasmablast:2	Memory B Cell:243	B Cell:189; DC:50; Monocyte:2; Plasma Cell:1; Plasmacytoid DC:1	Memory B Cell:191; Naive B Cell:51; Plasma Cell:1
B_lineage	7	226	Naive B Cell	True	0.0790648373152662	0.6471847326430284	pass	Naive B Cell:99; B Cell:93; Blood Cell:9; CD4 Naive / T Central Memory:6; Memory B Cell:5	B Cell:200; Plasmacytoid DC:13; CD4 Naive / T Central Memory:4; T Cell:4; Naive B Cell:3	Memory B Cell:198; Blood Cell:18; B Cell:7; Naive B Cell:2; Plasma Cell:1	Monocyte:97; B Cell:79; DC:27; Plasmacytoid DC:13; NK Cell:5	Naive B Cell:217; not_available:5; Memory B Cell:4
B_lineage	8	209	Memory B Cell	True	3.203611053174053	0.830371192974656	pass	B Cell:198; Memory B Cell:11	B Cell:118; Conventional DC 2:67; Plasmablast:23; CD4 Naive / T Central Memory:1	Memory B Cell:208; Blood Cell:1	DC:136; B Cell:71; Plasma Cell:1; Monocyte:1	Memory B Cell:135; Naive B Cell:66; Plasma Cell:8
B_lineage	9	194	Memory B Cell	True	1.9821157119046944	0.7371161098074815	pass	B Cell:164; Memory B Cell:10; Naive B Cell:7; Blood Cell:5; CD8 Cytotoxic / T Effector Memory:3	B Cell:161; Conventional DC 2:16; Plasmacytoid DC:13; Plasmablast:1; Platelet:1	Memory B Cell:177; Blood Cell:10; Plasma Cell:5; B Cell:2	DC:127; B Cell:34; Monocyte:24; Plasma Cell:6; CD4 T Cell (ab):1	Naive B Cell:109; Memory B Cell:66; Plasma Cell:15; not_available:4
B_lineage	10	190	Memory B Cell	True	0.3922476422163576	0.6232395422592971	pass	B Cell:162; Blood Cell:15; Naive B Cell:12; Memory B Cell:1	Plasmablast:81; B Cell:79; Naive B Cell:25; Conventional DC 2:4; CD4 Naive / T Central Memory:1	Memory B Cell:182; Blood Cell:6; B Cell:2	B Cell:79; Monocyte:58; DC:46; Plasma Cell:6; Plasmacytoid DC:1	Naive B Cell:188; Memory B Cell:1; Plasma Cell:1
B_lineage	11	182	Memory B Cell	True	2.0910995116101443	0.7513017523436395	pass	Memory B Cell:86; B Cell:69; Naive B Cell:12; CD8 Cytotoxic / T Effector Memory:7; Blood Cell:4	B Cell:176; CD4 Naive / T Central Memory:3; Plasmacytoid DC:3	Memory B Cell:180; Blood Cell:1; B Cell:1	B Cell:91; DC:56; Monocyte:30; Plasmacytoid DC:3; T Cell:1	Naive B Cell:105; Memory B Cell:76; Plasma Cell:1
B_lineage	12	175	Memory B Cell	True	1.6785280830387157	0.7721735472154344	pass	Memory B Cell:90; Plasma Cell:19; B Cell:18; Naive B Cell:16; CD4 Naive / T Central Memory:9	B Cell:87; RBC:61; CD4 Naive / T Central Memory:11; T Cell:7; Plasmacytoid DC:4	Blood Cell:80; Memory B Cell:65; Plasma Cell:11; B Cell:11; Naive B Cell:5	B Cell:63; DC:44; Plasma Cell:30; Plasmacytoid DC:18; Monocyte:8	Memory B Cell:93; Naive B Cell:55; not_available:21; Plasma Cell:2; Treg:2
B_lineage	13	156	Memory B Cell	True	2.333636391241888	0.8007081625799735	pass	B Cell:94; Naive B Cell:21; Memory B Cell:16; CD4 T Effector Memory:6; Plasma Cell:6	B Cell:63; Conventional DC 2:35; CD4 Naive / T Central Memory:25; Plasmablast:17; Memory B Cell:6	Memory B Cell:140; Blood Cell:13; Plasma Cell:2; Naive B Cell:1	DC:92; B Cell:44; Plasma Cell:6; CD4 T Cell (ab):4; Monocyte:3	Memory B Cell:69; Naive B Cell:57; Plasma Cell:16; not_available:12; CD4 Naive / T Central Memory:2
B_lineage	14	114	Naive B Cell	True	1.2217874577245804	0.8500000000000001	pass	Naive B Cell:89; B Cell:20; Memory B Cell:3; CD8 Cytotoxic / T Effector Memory:1; Blood Cell:1	B Cell:61; CD4 Naive / T Central Memory:32; Naive B Cell:14; Memory B Cell:7	Memory B Cell:114	B Cell:88; Monocyte:12; DC:8; Plasmacytoid DC:6	Naive B Cell:111; Memory B Cell:3
