study	broad_lineage	cluster	n_cells	chosen_label	accepted	best_candidate_before_parent_fallback	best_total_score	second_total_score	score_margin	marker_pct	marker_winner_fraction	source_fraction	source_count_mean	marker_availability	cluster_reason	top_celltypist_label	top_azimuth_pbmc_l2_label	top_azimuth_pbmc_l3_label	top_panhuman_fine_label	top_panhuman_medium_label	top_cluster_consensus_label	top_screfmapping_label	median_n_genes_by_counts	median_total_counts	median_pct_counts_mt
infection_study_01	T/NK	T_NK_lineage:0	1627	CD4 Naive / T Central Memory	True	CD4 Naive / T Central Memory	2.3133699266871908	1.2197909089285448	1.093579017758646	0.9593438205520356	0.3110018438844499	0.6321889542541047	4.425322679778734	1.0	cluster_consensus_marker_source_support	CD4 Naive / T Central Memory:1331; CD8 Naive / T Central Memory:268; Treg:15; CD8 Cytotoxic / T Effector Memory:8	CD4 Naive / T Central Memory:1274; CD8 Naive / T Central Memory:318; Treg:18; CD4 T Effector Memory:9	Blood Cell:908; CD4 Naive / T Central Memory:413; CD8 Naive / T Central Memory:290; Treg:15	CD4 Naive / T Central Memory:1188; CD8 Naive / T Central Memory:321; CD4 T Effector Memory:59; Blood Cell:28	T Cell:1602; Blood Cell:25	CD4 Naive / T Central Memory:1603; CD4 T Effector Memory:24	CD4 Naive / T Central Memory:1391; not_available:204; Treg:27; CD4 T Effector Memory:5	1555.0	5966.0	6.90013313293457
infection_study_01	T/NK	T_NK_lineage:1	1482	NK Cell	True	NK Cell	1.767889264639894	1.0987733915425866	0.6691158730973075	0.889101303619547	0.068825910931174	0.4803354540196645	3.362348178137652	1.0	cluster_consensus_marker_source_support	NK Cell:1026; CD8 Cytotoxic / T Effector Memory:452; ydT Cell:3; Blood Cell:1	NK Cell:987; ydT Cell:267; CD8 Cytotoxic / T Effector Memory:224; CD4 T Effector Memory:4	Blood Cell:1478; CD4 T Effector Memory:4	NK Cell:786; CD8 Cytotoxic / T Effector Memory:630; Blood Cell:63; Lymphoid Cell:2	NK Cell:786; T Cell:632; Blood Cell:62; Lymphoid Cell:2	NK Cell:1398; CD8 Cytotoxic / T Effector Memory:80; MAIT Cell:4	not_available:1482	1677.5	4516.5	7.692307949066162
infection_study_01	Myeloid/DC	Myeloid_lineage:0	1455	Non-Classical Monocyte	True	Non-Classical Monocyte	2.826767927490433	0.7327453219867668	2.0940226055036666	0.981173985871386	0.8577319587628865	0.6618556701030928	4.63298969072165	1.0	cluster_consensus_marker_source_support	Non-Classical Monocyte:1413; Classical Monocyte:41; Blood Cell:1	Non-Classical Monocyte:1426; Classical Monocyte:29	Non-Classical Monocyte:1426; Classical Monocyte:29	Non-Classical Monocyte:1067; Intermediate Monocyte:327; Blood Cell:53; Classical Monocyte:5	Monocyte:1399; Blood Cell:53; DC:3	Non-Classical Monocyte:1409; Classical Monocyte:46	not_available:1455	3085.0	12691.0	6.902022838592529
infection_study_01	Myeloid/DC	Myeloid_lineage:1	1411	Classical Monocyte	True	Classical Monocyte	2.213198760529032	1.0627458801815974	1.1504528803474343	0.883147622168815	0.1176470588235294	0.6969727650096184	4.878809355067328	1.0	cluster_consensus_marker_source_support	Classical Monocyte:1393; Non-Classical Monocyte:17; Blood Cell:1	Classical Monocyte:1408; Non-Classical Monocyte:3	Classical Monocyte:1408; Non-Classical Monocyte:3	Classical Monocyte:1264; Blood Cell:103; Neutrophil:26; Intermediate Monocyte:12	Monocyte:1277; Blood Cell:102; Granulocyte:27; DC:5	Classical Monocyte:1411	not_available:1411	1374.0	3644.0	8.193310737609863
infection_study_01	Myeloid/DC	Myeloid_lineage:2	1354	Classical Monocyte	True	Classical Monocyte	2.042057865407111	0.9249674602634168	1.1170904051436945	0.8159274634039764	0.0635155096011816	0.6615319687697827	4.630723781388479	1.0	cluster_consensus_marker_source_support	Classical Monocyte:1293; Non-Classical Monocyte:61	Classical Monocyte:1322; Non-Classical Monocyte:32	Classical Monocyte:1322; Non-Classical Monocyte:32	Classical Monocyte:979; Intermediate Monocyte:292; Blood Cell:61; Conventional DC 2:18	Monocyte:1274; Blood Cell:61; DC:18; Granulocyte:1	Classical Monocyte:1354	not_available:1354	2705.0	8590.0	5.37318229675293
infection_study_01	Artifact/Other	leiden:16	1335	Platelet	True	Platelet	3.0055868707765216	0.0412228787644459	2.964363992012076	0.9878377394217464	0.6404494382022472	0.8443017656500801	5.910112359550562	1.0	cluster_consensus_marker_source_support	Platelet:1258; CD4 Naive / T Central Memory:35; Classical Monocyte:34; Blood Cell:3	Platelet:1324; CD4 Naive / T Central Memory:6; Classical Monocyte:5	Platelet:1325; Classical Monocyte:5; Blood Cell:5	Platelet:1324; Blood Cell:11	Platelet:1324; Blood Cell:10; RBC:1	Platelet:1335	not_available:1293; CD4 Naive / T Central Memory:36; CD4 T Effector Memory:6	545.0	1256.0	4.309656620025635
infection_study_01	T/NK	T_NK_lineage:4	1323	CD8 Cytotoxic / T Effector Memory	True	CD8 Cytotoxic / T Effector Memory	2.4725400156559942	0.6857089474781974	1.7868310681777968	0.9376228970941664	0.7248677248677249	0.551992225461613	3.863945578231293	1.0	cluster_consensus_marker_source_support	CD8 Cytotoxic / T Effector Memory:1305; NK Cell:17; Treg:1	CD8 Cytotoxic / T Effector Memory:1227; CD8 Naive / T Central Memory:35; NK Cell:34; CD4 T Effector Memory:14	Blood Cell:1303; CD4 T Effector Memory:18; MAIT Cell:1; NK Cell:1	CD8 Cytotoxic / T Effector Memory:1286; NK Cell:24; Blood Cell:8; Lymphoid Cell:3	T Cell:1288; NK Cell:24; Blood Cell:8; Lymphoid Cell:3	CD8 Cytotoxic / T Effector Memory:1294; NK Cell:27; Classical Monocyte:2	not_available:1322; CD4 T Effector Memory:1	2058.0	6267.0	7.782570838928223
infection_study_01	T/NK	T_NK_lineage:3	1317	T Cell	False	CD4 T Effector Memory	1.629937405681283	1.401517163746168	0.2284202419351151	0.9297938970213384	0.082004555808656	0.3829048703763965	2.680334092634776	1.0	cluster_parent_insufficient_consensus	CD4 T Effector Memory:822; CD4 Naive / T Central Memory:359; CD8 Cytotoxic / T Effector Memory:62; CD8 Naive / T Central Memory:29	CD4 Naive / T Central Memory:961; CD8 Naive / T Central Memory:231; CD4 T Effector Memory:90; CD8 Cytotoxic / T Effector Memory:18	Blood Cell:1290; CD4 T Effector Memory:14; Lymphoid Cell:10; MAIT Cell:2	CD4 T Effector Memory:1181; CD8 Cytotoxic / T Effector Memory:37; Treg:37; Blood Cell:33	T Cell:1282; Blood Cell:33; NK Cell:1; HSC:1	CD4 T Effector Memory:1278; CD4 Naive / T Central Memory:28; CD8 Cytotoxic / T Effector Memory:9; MAIT Cell:1	CD4 Naive / T Central Memory:940; not_available:223; CD4 T Effector Memory:145; Treg:9	1927.0	7433.0	6.410872936248779
infection_study_01	Myeloid/DC	Myeloid_lineage:3	1295	Classical Monocyte	True	Classical Monocyte	1.9911255527017568	1.083130912120737	0.9079946405810196	0.7459034301944505	0.0308880308880308	0.6816326530612246	4.771428571428571	1.0	cluster_consensus_marker_source_support	Classical Monocyte:1257; Non-Classical Monocyte:35; Blood Cell:2; Conventional DC 2:1	Classical Monocyte:1275; Non-Classical Monocyte:18; Conventional DC 2:2	Classical Monocyte:1275; Non-Classical Monocyte:18; Blood Cell:2	Classical Monocyte:1084; Blood Cell:100; Conventional DC 2:56; Intermediate Monocyte:53	Monocyte:1139; Blood Cell:100; DC:56	Classical Monocyte:1288; Non-Classical Monocyte:5; Conventional DC 2:2	not_available:1295	2783.0	10691.0	6.860967636108398
infection_study_01	T/NK	T_NK_lineage:2	1290	NK Cell	True	NK Cell	2.190148875607272	0.9829826542554364	1.207166221351836	0.9415829145728642	0.1992248062015504	0.62281284606866	4.35968992248062	1.0	cluster_consensus_marker_source_support	NK Cell:806; CD8 Cytotoxic / T Effector Memory:480; ydT Cell:4	NK Cell:1247; CD8 Cytotoxic / T Effector Memory:21; ydT Cell:20; CD4 T Effector Memory:1	Blood Cell:1289; CD4 T Effector Memory:1	NK Cell:1149; CD8 Cytotoxic / T Effector Memory:116; Blood Cell:24; Lymphoid Cell:1	NK Cell:1149; T Cell:116; Blood Cell:24; Lymphoid Cell:1	NK Cell:1273; CD8 Cytotoxic / T Effector Memory:13; MAIT Cell:2; CD4 T Effector Memory:2	not_available:1290	1754.0	4671.5	7.872119903564453
