study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	ref_fraction	raw_fraction	screfmapping_fraction	total_score
infection_study_01	B_lineage	0	Naive B Cell	1	528	0.9637954264073993	0.9981060606060606	1.0	0.1951041666666667	0.04242424242424242	0.2375284090909091	0.7624715909090909	0.7624715909090909	0.0	1.0	0.8333333333333334	0.9981060606060606	0.9848484848484849	0.9943181818181818	1.1902573252325799	0.4375	0.13115530303030304	0.12121212121212122	0.0404040404040404	CD27;TNFRSF13B;MZB1;JCHAIN	FCRL5;ITGAX;TBX21	0.9810606060606061	0.9715909090909091	0.9715909090909091	4.469668560606061
infection_study_01	B_lineage	0	Memory B Cell	2	528	0.24362755808025635	0.34676308539944906	0.16666666666666666	0.5	0.0	0.5	0.0	0.0	0.0	0.9981060606060606	0.34676308539944906	0.16666666666666666	0.00946969696969697	0.11553030303030302	0.4272739221387342	0.9981060606060606	0.6420454545454546	0.0	0.0	TCL1A;IGHD;IGHM;MZB1;JCHAIN		0.13068181818181818	0.13068181818181818	0.02462121212121212	0.3693181818181818
infection_study_01	B_lineage	0	Plasma Cell	3	528	0.46523377758357004	0.509469696969697	0.509469696969697	0.49043560606060604	0.17748579545454546	0.6	0.0	0.0	0.0	0.6742424242424242	0.11426767676767678	0.509469696969697	0.12878787878787878	0.2556818181818182	0.8091074966743927	0.9962121212121212	0.5085227272727273	0.5170454545454546	0.14914772727272727	MS4A1;CD79A;CD3D;LST1	LILRA4;CLEC4C;IRF7;TCF4	0.0	0.0	0.001893939393939394	0.0022727272727272726
infection_study_01	B_lineage	1	Naive B Cell	1	445	0.9660439880562232	1.0	1.0	0.18151685393258427	0.04651685393258427	0.22803370786516852	0.7719662921348315	0.7719662921348315	0.0	1.0	0.8719101123595506	1.0	0.9887640449438202	0.9977528089887641	1.1924934741114266	0.4044943820224719	0.12640449438202248	0.13258426966292136	0.04494382022471911	CD27;TNFRSF13B;MZB1;JCHAIN	FCRL5;ITGAX;TBX21	1.0	0.9977528089887641	0.9932584269662922	4.561629213483146
infection_study_01	B_lineage	1	Memory B Cell	2	445	0.24362755808025635	0.35893769152196114	0.1393258426966292	0.5	0.0	0.5	0.0	0.0	0.0	1.0	0.35893769152196114	0.1393258426966292	0.0022471910112359553	0.11685393258426967	0.36114927444713446	1.0	0.6651685393258427	0.0	0.0	TCL1A;IGHD;IGHM;MZB1;JCHAIN		0.015730337078651686	0.015730337078651686	0.0	0.04089887640449438
infection_study_01	B_lineage	1	Plasma Cell	3	445	0.5425861190008011	0.5752808988764045	0.5752808988764045	0.49531460674157307	0.2945224719101123	0.6	0.0	0.0	0.0	0.6584269662921348	0.10811485642946318	0.5752808988764045	0.1752808988764045	0.30337078651685395	0.9116126805927058	1.0	0.5241573033707866	0.8359550561797753	0.2915730337078652	MS4A1;CD79A;CD3D;LST1	LILRA4;CLEC4C;IRF7;TCF4	0.0	0.0	0.006741573033707865	0.008089887640449439
infection_study_01	B_lineage	10	Naive B Cell	1	294	0.9811102614521885	0.9965986394557823	1.0	0.1937074829931973	0.09897959183673469	0.29268707482993195	0.707312925170068	0.707312925170068	0.0	1.0	0.8915343915343917	0.9965986394557823	0.9897959183673469	0.9931972789115646	1.1884775332677833	0.43197278911564624	0.13435374149659862	0.282312925170068	0.09523809523809523	CD27;TNFRSF13B;MZB1;JCHAIN	FCRL5;ITGAX;TBX21	0.9897959183673469	0.9829931972789115	0.9795918367346939	4.4494897959183675
infection_study_01	B_lineage	10	Memory B Cell	2	294	0.24362755808025635	0.3797155225726654	0.3163265306122449	0.5	0.0	0.5	0.0	0.0	0.0	1.0	0.3797155225726654	0.3163265306122449	0.01020408163265306	0.2755102040816326	0.7892310375431298	1.0	0.6727891156462585	0.0	0.0	TCL1A;IGHD;IGHM;MZB1;JCHAIN		0.05442176870748299	0.05442176870748299	0.02040816326530612	0.16598639455782313
infection_study_01	B_lineage	10	Plasma Cell	3	294	0.5043013982958269	0.5272108843537415	0.5272108843537415	0.49729591836734693	0.23571428571428568	0.6	0.0	0.0	0.0	0.5850340136054422	0.10015117157974301	0.5272108843537415	0.20068027210884354	0.2585034013605442	0.8367405382090041	1.0	0.5331632653061225	0.6802721088435374	0.2108843537414966	MS4A1;CD79A;CD3D;LST1	LILRA4;CLEC4C;IRF7;TCF4	0.0	0.0	0.0	0.0
infection_study_01	B_lineage	11	Naive B Cell	1	292	0.937968829655524	0.9931506849315068	1.0	0.1448972602739726	0.025171232876712326	0.17006849315068492	0.829931506849315	0.829931506849315	0.0	0.9965753424657534	0.7530441400304414	0.9931506849315068	0.9452054794520548	0.9897260273972602	1.1844065795358711	0.3287671232876712	0.09075342465753425	0.07191780821917808	0.023972602739726026	CD27;TNFRSF13B;MZB1;JCHAIN	FCRL5;ITGAX;TBX21	0.9931506849315068	0.9828767123287672	0.9726027397260274	4.568972602739726
