study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	ref_fraction	raw_fraction	screfmapping_fraction	total_score
infection_study_01	Myeloid_lineage	0	Classical Monocyte	1	1504	0.905523996795572	0.9993351063829787	1.0	0.0	3.5044601670083377
infection_study_01	Myeloid_lineage	0	Non-Classical Monocyte	2	1504	0.7588941082222708	0.006648936170212766	0.005984042553191489	0.0	0.7755164486478027
infection_study_01	Myeloid_lineage	0	Intermediate Monocyte	3	1504	0.7125209380234505	0.02726063829787234	0.005984042553191489	0.0	0.7621220018532378
infection_study_01	Myeloid_lineage	0	Conventional DC 1	4	1504	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	0	Conventional DC 2	5	1504	0.46169252057388394	0.003324468085106383	0.003324468085106383	0.0	0.4703361375951605
infection_study_01	Myeloid_lineage	0	Plasmacytoid DC	6	1504	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
infection_study_01	Myeloid_lineage	1	Classical Monocyte	1	1418	0.8357548612628359	1.0	1.0	0.0	3.435754861262836
infection_study_01	Myeloid_lineage	1	Intermediate Monocyte	2	1418	0.8372660403466609	0.3032440056417489	0.20874471086036672	0.0	1.531201160233826
infection_study_01	Myeloid_lineage	1	Non-Classical Monocyte	3	1418	0.7896001747869783	0.045839210155148094	0.04231311706629055	0.0	0.9052560281015058
infection_study_01	Myeloid_lineage	1	Plasmacytoid DC	4	1418	0.6797938970213386	0.0	0.0	0.0	0.6797938970213386
infection_study_01	Myeloid_lineage	1	Conventional DC 2	5	1418	0.46169252057388394	0.011988716502115656	0.011988716502115656	0.0	0.4928631834793846
infection_study_01	Myeloid_lineage	1	Conventional DC 1	6	1418	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	10	Classical Monocyte	1	833	0.7651846187459034	0.9843937575030012	0.9987995198079231	0.0	3.339014150558629
infection_study_01	Myeloid_lineage	10	Intermediate Monocyte	2	833	0.815454082004224	0.2845138055222089	0.0744297719087635	0.0	1.3451059427485217
infection_study_01	Myeloid_lineage	10	Non-Classical Monocyte	3	833	0.7231993299832495	0.07322929171668667	0.06722689075630252	0.0	0.9075930874862508
infection_study_01	Myeloid_lineage	10	Conventional DC 2	4	833	0.46169252057388394	0.007202881152460984	0.007202881152460984	0.0	0.48042001157028247
infection_study_01	Myeloid_lineage	10	Conventional DC 1	5	833	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	10	Plasmacytoid DC	6	833	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
infection_study_01	Myeloid_lineage	11	Classical Monocyte	1	765	0.8025635423494283	0.9882352941176471	0.9986928104575163	0.0	3.3824328233951797
infection_study_01	Myeloid_lineage	11	Intermediate Monocyte	2	765	0.8804894035394363	0.3202614379084967	0.06666666666666667	0.0	1.4595743708596975
infection_study_01	Myeloid_lineage	11	Non-Classical Monocyte	3	765	0.7809882747068677	0.050980392156862744	0.047058823529411764	0.0	0.9096157256872599
infection_study_01	Myeloid_lineage	11	Conventional DC 2	4	765	0.46169252057388394	0.043137254901960784	0.043137254901960784	0.0	0.5738493833189819
infection_study_01	Myeloid_lineage	11	Conventional DC 1	5	765	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	11	Plasmacytoid DC	6	765	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
infection_study_01	Myeloid_lineage	12	Classical Monocyte	1	657	0.8498288544170126	1.0	1.0	0.0	3.449828854417013
infection_study_01	Myeloid_lineage	12	Intermediate Monocyte	2	657	0.7346515184618746	0.060882800608828	0.0136986301369863	0.0	0.8457626295729856
infection_study_01	Myeloid_lineage	12	Non-Classical Monocyte	3	657	0.6873862063942903	0.0060882800608828	0.0060882800608828	0.0	0.7032157345525856
infection_study_01	Myeloid_lineage	12	Conventional DC 1	4	657	0.4703590415847353	0.0015220700152207	0.0	0.0	0.4727943536090884
infection_study_01	Myeloid_lineage	12	Conventional DC 2	5	657	0.46169252057388394	0.0015220700152207	0.0015220700152207	0.0	0.46564990261345773
infection_study_01	Myeloid_lineage	12	Plasmacytoid DC	6	657	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
infection_study_01	Myeloid_lineage	13	Classical Monocyte	1	654	0.9742735416211492	1.0	0.9984709480122325	0.0	3.572744489633382
infection_study_01	Myeloid_lineage	13	Intermediate Monocyte	2	654	0.6763800888500473	0.012232415902140673	0.0061162079510703364	0.0	0.7020681622445427
infection_study_01	Myeloid_lineage	13	Plasmacytoid DC	3	654	0.6431250455174423	0.0	0.0	0.0	0.6431250455174423
infection_study_01	Myeloid_lineage	13	Non-Classical Monocyte	4	654	0.601053273614449	0.0	0.0	0.0	0.601053273614449
infection_study_01	Myeloid_lineage	13	Conventional DC 2	5	654	0.46169252057388394	0.0061162079510703364	0.0061162079510703364	0.0	0.47759466124666683
infection_study_01	Myeloid_lineage	13	Conventional DC 1	6	654	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	14	Classical Monocyte	1	625	0.8487728497560265	1.0	0.9984	0.0	3.4471728497560266
infection_study_01	Myeloid_lineage	14	Intermediate Monocyte	2	625	0.8389957031534484	0.2768	0.0592	0.0	1.3410757031534484
infection_study_01	Myeloid_lineage	14	Non-Classical Monocyte	3	625	0.8121039982521302	0.0752	0.0752	0.0	1.0076239982521302
infection_study_01	Myeloid_lineage	14	Plasmacytoid DC	4	625	0.7939698492462312	0.0	0.0	0.0	0.7939698492462312
infection_study_01	Myeloid_lineage	14	Conventional DC 1	5	625	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	14	Conventional DC 2	6	625	0.46169252057388394	0.0032	0.0032	0.0	0.47001252057388393
infection_study_01	Myeloid_lineage	15	Classical Monocyte	1	618	0.9210545481028329	1.0	0.9983818770226537	0.0	3.5194364251254866
infection_study_01	Myeloid_lineage	15	Intermediate Monocyte	2	618	0.7739876920836064	0.18446601941747573	0.061488673139158574	0.0	1.130621996290726
infection_study_01	Myeloid_lineage	15	Plasmacytoid DC	3	618	0.8894381326924478	0.0	0.0	0.0	0.8894381326924478
infection_study_01	Myeloid_lineage	15	Non-Classical Monocyte	4	618	0.6840816400844805	0.045307443365695796	0.043689320388349516	0.0	0.8002628698579433
infection_study_01	Myeloid_lineage	15	Conventional DC 2	5	618	0.46169252057388394	0.0048543689320388345	0.0048543689320388345	0.0	0.4743138797971849
infection_study_01	Myeloid_lineage	15	Conventional DC 1	6	618	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	16	Conventional DC 2	1	442	0.9957395674022285	0.9909502262443439	0.9841628959276018	0.0	3.5654228253207805
infection_study_01	Myeloid_lineage	16	Classical Monocyte	2	442	0.6470941664845969	0.22850678733031674	0.16515837104072398	0.0	1.1778633972538277
infection_study_01	Myeloid_lineage	16	Intermediate Monocyte	3	442	0.807060665647076	0.22850678733031674	0.004524886877828055	0.0	1.1771964122534109
infection_study_01	Myeloid_lineage	16	Non-Classical Monocyte	4	442	0.6289145000364139	0.01809954751131222	0.00904977375565611	0.0	0.6669235498101695
infection_study_01	Myeloid_lineage	16	Plasmacytoid DC	5	442	0.6516459107129853	0.0	0.0	0.0	0.6516459107129853
infection_study_01	Myeloid_lineage	16	Conventional DC 1	6	442	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	17	Classical Monocyte	1	379	0.6993117762726677	0.9709762532981531	0.9366754617414248	0.0	3.1895492432911374
infection_study_01	Myeloid_lineage	17	Non-Classical Monocyte	2	379	0.7924586701624062	0.2532981530343008	0.24802110817941952	0.0	1.445756823196707
infection_study_01	Myeloid_lineage	17	Intermediate Monocyte	3	379	0.8083169470541112	0.2559366754617414	0.1424802110817942	0.0	1.3602958388746917
infection_study_01	Myeloid_lineage	17	Conventional DC 2	4	379	0.46169252057388394	0.052770448548812667	0.047493403693931395	0.0	0.5936186419459156
infection_study_01	Myeloid_lineage	17	Conventional DC 1	5	379	0.4703590415847353	0.0316622691292876	0.0316622691292876	0.0	0.5526809413208831
infection_study_01	Myeloid_lineage	17	Plasmacytoid DC	6	379	0.3185037506372442	0.013192612137203167	0.005277044854881266	0.0	0.3448889749116505
infection_study_01	Myeloid_lineage	18	Classical Monocyte	1	348	0.7822718665792732	0.9971264367816092	1.0	0.0	3.3776741654298474
infection_study_01	Myeloid_lineage	18	Intermediate Monocyte	2	348	0.7044825577161169	0.09770114942528736	0.0028735632183908046	0.0	0.8636779600149675
infection_study_01	Myeloid_lineage	18	Non-Classical Monocyte	3	348	0.7535139465443158	0.020114942528735632	0.017241379310344827	0.0	0.8029392339006376
infection_study_01	Myeloid_lineage	18	Conventional DC 2	4	348	0.46169252057388394	0.008620689655172414	0.008620689655172414	0.0	0.4841063136773322
infection_study_01	Myeloid_lineage	18	Conventional DC 1	5	348	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	18	Plasmacytoid DC	6	348	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
infection_study_01	Myeloid_lineage	19	Classical Monocyte	1	340	0.7698547083242299	0.8852941176470588	0.9941176470588236	0.0	3.1804429436183477
