study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Non-Classical Monocyte	terminal	1455	FCGR3A,MS4A7,CX3CR1,LST1,IFITM3,RHOC	FCGR3A,MS4A7,CX3CR1	S100A8,S100A9,VCAN,CD1C	1.649621079635101	2.1405383908496005	0.9818346224289989	1.0	1.0	1.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Eosinophil	terminal	1455	CLC,RNASE2,RNASE3,PRG2,SIGLEC8,IL5RA	CLC,RNASE2,RNASE3	S100A8,CD3D,MS4A1	-0.2157489924650012	0.0036185123871282205	0.4387350097042588	1.0	0.9276666139526589	2.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:0	Conventional DC 1	terminal	1455	CLEC9A,XCR1,BATF3,CADM1,IRF8,C1orf54	CLEC9A,XCR1,BATF3	CD1C,FCER1A,CLEC4C,S100A8	-0.027244743273805782	0.13607052553184798	0.32663053761130756	1.0	0.9270106499413562	3.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:1	Granulocyte	parent	1411	S100A8,S100A9,CSF3R,FCGR3B	S100A8,S100A9	CD3D,MS4A1	3.1577342695521597	3.18509302037477	0.05471750164521999	1.0	0.9451894659100865	1.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:1	Monocyte	parent	1411	LYZ,LST1,FCN1,S100A8,S100A9,MS4A7,FCGR3A	LYZ,LST1	CD3D,MS4A1,CLEC4C	3.0289138933580024	3.0474269319681357	0.037026077220267	1.0	0.9384019500710045	2.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:1	Classical Monocyte	terminal	1411	LYZ,LST1,FCN1,VCAN,S100A8,S100A9,CTSS,LGALS3	FCN1,VCAN,S100A8	FCGR3A,MS4A7,CD1C,CLEC4C	3.406334879437843	3.472746015059703	0.13282227124371992	1.0	0.9382642550729539	3.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:10	Classical Monocyte	terminal	859	LYZ,LST1,FCN1,VCAN,S100A8,S100A9,CTSS,LGALS3	FCN1,VCAN,S100A8	FCGR3A,MS4A7,CD1C,CLEC4C	3.4713998715348793	3.5636426654489273	0.1844855878280955	1.0	0.9684574528670812	1.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:10	Neutrophil	terminal	859	S100A8,S100A9,FCGR3B,CSF3R,CXCR2,NAMPT	S100A8,S100A9,FCGR3B	CD3D,MS4A1,CD79A	2.5266705905576985	2.527764093010843	0.0021870049062883575	1.0	0.9635929262326096	2.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:10	Monocyte	parent	859	LYZ,LST1,FCN1,S100A8,S100A9,MS4A7,FCGR3A	LYZ,LST1	CD3D,MS4A1,CLEC4C	3.0112816304657355	3.01219829387124	0.001833326811007765	1.0	0.9287075238404852	3.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:11	Intermediate Monocyte	terminal	839	FCN1,LST1,MS4A7,HLA-DRA,CD74,S100A8	FCN1,MS4A7,HLA-DRA	CD1C,CLEC4C,NKG7	2.694313218770493	2.723320342070487	0.05801424659998776	1.0	0.9418369113780407	1.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:11	Myeloid Cell	parent	839	LYZ,LST1,TYROBP,CST3,FCER1G	LYZ,LST1	CD3D,CD79A,MS4A1,NKG7	3.099170337208903	3.1182037751211453	0.03806687582448498	1.0	0.901232614617222	2.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:11	Classical Monocyte	terminal	839	LYZ,LST1,FCN1,VCAN,S100A8,S100A9,CTSS,LGALS3	FCN1,VCAN,S100A8	FCGR3A,MS4A7,CD1C,CLEC4C	3.296222140064576	3.4122078994175817	0.23197151870601082	1.0	0.8871667967870612	3.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:12	Monocyte	parent	662	LYZ,LST1,FCN1,S100A8,S100A9,MS4A7,FCGR3A	LYZ,LST1	CD3D,MS4A1,CLEC4C	3.191442992088563	3.195291586959856	0.007697189742584843	1.0	1.0	1.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:12	Classical Monocyte	terminal	662	LYZ,LST1,FCN1,VCAN,S100A8,S100A9,CTSS,LGALS3	FCN1,VCAN,S100A8	FCGR3A,MS4A7,CD1C,CLEC4C	3.6761767852663136	3.7098999504517662	0.06744633037090482	1.0	1.0	2.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:12	Granulocyte	parent	662	S100A8,S100A9,CSF3R,FCGR3B	S100A8,S100A9	CD3D,MS4A1	3.4339412195703685	3.4385315358379906	0.009180632535244404	1.0	1.0	3.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:13	Classical Monocyte	terminal	643	LYZ,LST1,FCN1,VCAN,S100A8,S100A9,CTSS,LGALS3	FCN1,VCAN,S100A8	FCGR3A,MS4A7,CD1C,CLEC4C	3.425319949527087	3.553052287716795	0.2554646763794159	1.0	0.9470742150508947	1.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:13	Monocyte	parent	643	LYZ,LST1,FCN1,S100A8,S100A9,MS4A7,FCGR3A	LYZ,LST1	CD3D,MS4A1,CLEC4C	3.0082653949108513	3.0089989284943592	0.0014670671670161239	1.0	0.9270491619354163	2.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:13	Myeloid Cell	parent	643	LYZ,LST1,TYROBP,CST3,FCER1G	LYZ,LST1	CD3D,CD79A,MS4A1,NKG7	3.1095336688563666	3.132123295385767	0.04517925305880061	1.0	0.9106615707871186	3.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:14	Intermediate Monocyte	terminal	571	FCN1,LST1,MS4A7,HLA-DRA,CD74,S100A8	FCN1,MS4A7,HLA-DRA	CD1C,CLEC4C,NKG7	2.757875914131419	2.797872944961705	0.07999406166057174	1.0	1.0	1.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:14	Myeloid Cell	parent	571	LYZ,LST1,TYROBP,CST3,FCER1G	LYZ,LST1	CD3D,CD79A,MS4A1,NKG7	3.1699671515284824	3.1903282537978086	0.04072220453865265	1.0	0.9656462686327236	2.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:14	Classical Monocyte	terminal	571	LYZ,LST1,FCN1,VCAN,S100A8,S100A9,CTSS,LGALS3	FCN1,VCAN,S100A8	FCGR3A,MS4A7,CD1C,CLEC4C	3.1179368093205313	3.2520879361315282	0.2683022536219941	1.0	0.8044340693793902	3.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:15	Non-Classical Monocyte	terminal	550	FCGR3A,MS4A7,CX3CR1,LST1,IFITM3,RHOC	FCGR3A,MS4A7,CX3CR1	S100A8,S100A9,VCAN,CD1C	1.4506517326617332	2.1711938017155186	1.4410841381075707	1.0	1.0	1.0
infection_study_01	Myeloid_lineage	Myeloid_lineage:15	Myeloid Cell	parent	550	LYZ,LST1,TYROBP,CST3,FCER1G	LYZ,LST1	CD3D,CD79A,MS4A1,NKG7	3.146297271842306	3.1796413732333613	0.06668820278211074	1.0	0.9441105052604972	2.0
