study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
infection_study_04	Myeloid_lineage	0	Classical Monocyte	1	1341	0.8643270043640185	1.0	1.0	0.1730014914243102	0.40335570469798654	0.5763571961222967	0.42364280387770326	0.42364280387770326	0.0	1.0	0.8705257270693512	1.0	0.9903057419835943	0.9798657718120806	1.0598478251367591	0.39299030574198357	0.10756897837434751	0.8963460104399702	0.8963460104399702	FCGR3A;MS4A7;CD1C;CLEC4C	HLA-DRA		0.0	0.0	0.9977628635346756	0.9925428784489188	0.0	3.0126062639821027
infection_study_04	Myeloid_lineage	0	Intermediate Monocyte	2	1341	0.9338999702972559	0.9970171513795675	1.0	0.016957494407158838	0.3704697986577181	0.38742729306487694	0.612572706935123	0.612572706935123	0.0	1.0	0.8025105642555307	0.9970171513795675	0.9097688292319165	0.9798657718120806	1.0255131903036927	0.037285607755406416	0.01267710663683818	0.976882923191648	0.5160328113348248	CD1C;CLEC4C;NKG7	VCAN;FCGR3A		0.0	0.0	0.02535421327367636	0.02535421327367636	0.0	0.6784936614466816
infection_study_04	Myeloid_lineage	0	Neutrophil	3	1341	0.8072063426782736	0.9962714392244594	1.0	0.006423067362664678	0.42192393736017897	0.42834700472284365	0.5716529952771563	0.5716529952771563	0.0	0.9985085756897838	0.49304001988565743	0.9962714392244594	0.9560029828486204	0.9888143176733781	1.039594420919025	0.014168530947054437	0.004722843649018146	0.994034302759135	0.8247576435495898	CD3D;MS4A1;CD79A	FCN1;LST1		0.0	0.0	0.002982848620432513	0.002982848620432513	0.0	0.5794084016902808
infection_study_04	Myeloid_lineage	0	Non-Classical Monocyte	4	1341	0.5772499828638015	0.5772499828638015	0.4369873228933632	0.5	0.014597315436241612	0.5145973154362417	0.0	0.0	0.0	0.8448918717375093	0.23353218990802882	0.4369873228933632	0.08501118568232663	0.3452647278150634	0.9927679384221479	0.9985085756897838	0.7397464578672632	0.03877703206562267	0.0197613721103654	S100A8;S100A9;VCAN;CD1C	NKG7;GNLY		0.0	0.0	0.015659955257270694	0.014168530947054437	0.0	0.03922445935868755
infection_study_04	Myeloid_lineage	0	Conventional DC 2	5	1341	0.9120341810039527	0.9120341810039527	0.06711409395973154	0.48694258016405667	0.42192393736017897	0.6	0.0	0.0	0.0	0.9955257270693513	0.46457867263236396	0.06711409395973154	0.002982848620432513	0.02982848620432513	0.9091952976779197	0.9962714392244594	0.49254287844891875	0.994034302759135	0.8247576435495898	CLEC4C;LILRA4;S100A8;S100A9	FCN1;LST1		0.0	0.0	0.015659955257270694	0.014168530947054437	0.0	0.03922445935868755
infection_study_04	Myeloid_lineage	0	Plasmacytoid DC	6	1341	0.28000548358352184	0.28000548358352184	0.08277404921700224	0.4665264727815064	0.06271439224459359	0.5292408650261	0.0	0.0	0.0	0.1931394481730052	0.02950889528070736	0.08277404921700224	0.0007457121551081282	0.05145413870246085	0.6410037581772907	0.9977628635346756	0.39716629381058915	0.1789709172259508	0.06015411384538902	CD3D;MS4A1;CD1C;FCN1;S100A8	MZB1;XBP1;PRDM1		0.0	0.0	0.0014914243102162564	0.0014914243102162564	0.0	0.003877703206562267
infection_study_04	Myeloid_lineage	0	Basophil	7	1341	0.4877076336052277	0.4877076336052277	0.0007457121551081282	0.3064876957494407	0.008948545861297539	0.31543624161073824	0.0	0.0	0.0	0.015659955257270694	0.002609992542878449	0.0007457121551081282	0.0	0.0007457121551081282	0.7336987012927689	0.6748695003728561	0.22744220730797912	0.023862788963460103	0.011931394481730051	CD3D;MS4A1;LST1	CLEC4C;FCER1A		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	0	Eosinophil	8	1341	0.4480201978659721	0.4480201978659721	0.09545115585384041	0.43854834700472284	0.0	0.43854834700472284	0.0	0.0	0.0	0.09694258016405667	0.016778523489932886	0.09545115585384041	0.0037285607755406414	0.08799403430275914	0.34000687778403643	0.9656972408650261	0.32537907034551333	0.0	0.0	S100A8;CD3D;MS4A1			0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	0	Mast Cell	9	1341	0.4958530399616149	0.4958530399616149	0.0	0.3064876957494407	0.0	0.3064876957494407	0.0	0.0	0.0	0.0007457121551081282	0.00014914243102162565	0.0	0.0	0.0	0.8331553657234384	0.6748695003728561	0.22744220730797912	0.0	0.0	CD3D;MS4A1;LST1			0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	0	Conventional DC 1	10	1341	0.42029382868371146	0.42029382868371146	0.014914243102162566	0.4226249067859806	0.40335570469798654	0.6	0.0	0.0	0.0	0.2744220730797912	0.04722843649018146	0.014914243102162566	0.0007457121551081282	0.01267710663683818	0.5555683961263888	0.964951528709918	0.25428784489187173	0.8963460104399702	0.8963460104399702	CD1C;FCER1A;CLEC4C;S100A8	HLA-DRA		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	1	Classical Monocyte	1	900	0.9445929581648274	1.0	1.0	0.08526666666666666	0.205	0.2902666666666667	0.7097333333333333	0.7097333333333333	0.0	1.0	0.8659722222222221	1.0	1.0	1.0	1.0598478251367591	0.1922222222222222	0.05555555555555555	0.45555555555555555	0.45555555555555555	FCGR3A;MS4A7;CD1C;CLEC4C	HLA-DRA		0.0	0.0	1.0	0.9966666666666667	0.0	3.3064
infection_study_04	Myeloid_lineage	1	Neutrophil	2	900	0.9388808919962528	1.0	1.0	0.013600000000000001	0.4086666666666666	0.4222666666666666	0.5777333333333334	0.5777333333333334	0.0	1.0	0.49962962962962965	1.0	1.0	1.0	1.0434464541073036	0.03	0.01	0.9811111111111112	0.7622222222222221	CD3D;MS4A1;CD79A	FCN1;LST1		0.0	0.0	0.021111111111111112	0.021111111111111112	0.0	0.6326222222222223
infection_study_04	Myeloid_lineage	1	Intermediate Monocyte	3	900	0.8494527840610506	0.9811111111111112	1.0	0.02014814814814815	0.3805	0.40064814814814814	0.5993518518518519	0.5993518518518519	0.0	1.0	0.647037037037037	0.9811111111111112	0.4988888888888889	0.9677777777777777	1.009315001346874	0.044444444444444446	0.014814814814814815	0.9988888888888889	0.5388888888888889	CD1C;CLEC4C;NKG7	VCAN;FCGR3A		0.0	0.0	0.01	0.01	0.0	0.6253518518518519
infection_study_04	Myeloid_lineage	1	Eosinophil	4	900	0.9259145017935888	0.9259145017935888	0.8833333333333333	0.4548814814814815	0.0	0.4548814814814815	0.4284518518518518	0.4284518518518518	0.0	0.6333333333333333	0.12074074074074072	0.6333333333333333	0.08888888888888889	0.6177777777777778	2.0743040346019805	1.0	0.3403703703703704	0.0	0.0	S100A8;CD3D;MS4A1			0.0	0.0	0.0	0.0	0.0	0.4284518518518518
infection_study_04	Myeloid_lineage	1	Non-Classical Monocyte	5	900	0.6104485114355565	0.6104485114355565	0.2722222222222222	0.5	0.026333333333333334	0.5263333333333333	0.0	0.0	0.0	0.8344444444444444	0.2561111111111111	0.2722222222222222	0.05333333333333334	0.1411111111111111	0.6268212975680186	1.0	0.75	0.07	0.035555555555555556	S100A8;S100A9;VCAN;CD1C	NKG7;GNLY		0.0	0.0	0.0077777777777777776	0.0077777777777777776	0.0	0.020222222222222225
infection_study_04	Myeloid_lineage	1	Basophil	6	900	0.4877076336052277	0.4877076336052277	0.0022222222222222222	0.258125925925926	0.00125	0.25937592592592595	0.0	0.0	0.0	0.006666666666666667	0.0012962962962962963	0.0022222222222222222	0.0	0.0011111111111111111	0.8345122633024624	0.5677777777777778	0.19259259259259257	0.0033333333333333335	0.0016666666666666666	CD3D;MS4A1;LST1	CLEC4C;FCER1A		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	1	Mast Cell	7	900	0.4958530399616149	0.4958530399616149	0.006797472859939521	0.258125925925926	0.0	0.258125925925926	0.0	0.0	0.0	0.0044444444444444444	0.0008888888888888889	0.0022222222222222222	0.0	0.0011111111111111111	1.0183010025508692	0.5677777777777778	0.19259259259259257	0.0	0.0	CD3D;MS4A1;LST1			0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	1	Plasmacytoid DC	8	900	0.28000548358352184	0.28000548358352184	0.07666666666666666	0.46756	0.08544444444444443	0.5530044444444444	0.0	0.0	0.0	0.23444444444444446	0.03698412698412699	0.07666666666666666	0.0011111111111111111	0.06333333333333334	0.5988060186107605	1.0	0.398	0.24333333333333335	0.08296296296296297	CD3D;MS4A1;CD1C;FCN1;S100A8	MZB1;XBP1;PRDM1		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	1	Conventional DC 1	9	900	0.42029382868371146	0.42029382868371146	0.016666666666666666	0.43524444444444443	0.205	0.6	0.0	0.0	0.0	0.2	0.03462962962962963	0.016666666666666666	0.0	0.013333333333333334	0.5946460893588643	1.0	0.2511111111111111	0.45555555555555555	0.45555555555555555	CD1C;FCER1A;CLEC4C;S100A8	HLA-DRA		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	1	Conventional DC 2	10	900	0.688315397445564	0.688315397445564	0.014444444444444444	0.49067222222222223	0.4086666666666666	0.6	0.0	0.0	0.0	0.9388888888888889	0.3227777777777778	0.014444444444444444	0.0	0.011111111111111112	0.28820638098715995	1.0	0.5030555555555556	0.9811111111111112	0.7622222222222221	CLEC4C;LILRA4;S100A8;S100A9	FCN1;LST1		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	10	Classical Monocyte	1	558	0.9263257705577261	1.0	1.0	0.05418458781362007	0.317741935483871	0.37192652329749104	0.6280734767025089	0.6280734767025089	0.0	1.0	0.8720878136200717	1.0	1.0	1.0	1.0598478251367591	0.12365591397849462	0.032706093189964154	0.7060931899641577	0.7060931899641577	FCGR3A;MS4A7;CD1C;CLEC4C	HLA-DRA		0.0	0.0	1.0	1.0	0.0	3.2280734767025088
infection_study_04	Myeloid_lineage	10	Intermediate Monocyte	2	558	0.9014097379304042	0.9982078853046595	1.0	0.003249701314217443	0.37741935483870964	0.38066905615292707	0.6193309438470729	0.6193309438470729	0.0	1.0	0.7255077658303465	0.9982078853046595	0.7275985663082437	0.9982078853046595	1.026725794621952	0.007168458781362007	0.0023894862604540022	0.9982078853046595	0.5197132616487455	CD1C;CLEC4C;NKG7	VCAN;FCGR3A		0.0	0.0	0.0	0.0	0.0	0.6193309438470729
infection_study_04	Myeloid_lineage	10	Neutrophil	3	558	0.9410057806109626	1.0	1.0	0.004062126642771804	0.42473118279569894	0.4287933094384707	0.5712066905615293	0.5712066905615293	0.0	1.0	0.5618279569892474	1.0	1.0	1.0	1.0434464541073036	0.008960573476702509	0.0029868578255675027	1.0	0.8315412186379929	CD3D;MS4A1;CD79A	FCN1;LST1		0.0	0.0	0.014336917562724014	0.014336917562724014	0.0	0.6084826762246117
infection_study_04	Myeloid_lineage	10	Non-Classical Monocyte	4	558	0.4687321497932232	0.4687321497932232	0.22580645161290322	0.5	0.0033602150537634405	0.5033602150537635	0.0	0.0	0.0	0.7921146953405018	0.18876941457586618	0.22580645161290322	0.025089605734767026	0.12186379928315412	0.5237309266827528	1.0	0.75	0.008960573476702509	0.004480286738351255	S100A8;S100A9;VCAN;CD1C	NKG7;GNLY		0.0	0.0	0.0017921146953405018	0.0017921146953405018	0.0	0.004659498207885304
infection_study_04	Myeloid_lineage	10	Eosinophil	5	558	0.4480201978659721	0.4480201978659721	0.18100358422939067	0.45385902031063324	0.0	0.45385902031063324	0.0	0.0	0.0	0.18100358422939067	0.031063321385902034	0.18100358422939067	0.005376344086021506	0.1774193548387097	0.6158541534566803	1.0	0.33572281959378736	0.0	0.0	S100A8;CD3D;MS4A1			0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	10	Basophil	6	558	0.4877076336052277	0.4877076336052277	0.0017921146953405018	0.30329749103942655	0.010752688172043012	0.31405017921146955	0.0	0.0	0.0	0.007168458781362007	0.0011947431302270011	0.0017921146953405018	0.0	0.0017921146953405018	0.8051452628343405	0.6684587813620072	0.2240143369175627	0.02867383512544803	0.014336917562724014	CD3D;MS4A1;LST1	CLEC4C;FCER1A		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	Myeloid_lineage	10	Mast Cell	7	558	0.4958530399616149	0.4958530399616149	0.0017921146953405018	0.30329749103942655	0.0	0.30329749103942655	0.0	0.0	0.0	0.0017921146953405018	0.00035842293906810036	0.0017921146953405018	0.0	0.0017921146953405018	0.9824663631649148	0.6684587813620072	0.2240143369175627	0.0	0.0	CD3D;MS4A1;LST1			0.0	0.0	0.0	0.0	0.0	0.0
