study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	ref_fraction	raw_fraction	screfmapping_fraction	total_score
infection_study_04	T_NK_lineage	0	NK Cell	1	1687	0.9024379098407476	0.977474807350326	1.0	0.05318079430942502	0.05454949614700653	0.10773029045643154	0.8922697095435684	0.8922697095435684	0.0	0.998814463544754	0.6853141671606402	0.977474807350326	0.7202133965619443	0.9069353882631891	1.6358434873203502	0.12388855957320688	0.027741553052756374	0.14463544754001187	0.07439241256668642	CD3D;CD3E;TRAC;MS4A1;LST1	CD8A;CD8B	0.995850622406639	0.970954356846473	0.0	3.456585062240664
infection_study_04	T_NK_lineage	0	CD8 Cytotoxic / T Effector Memory	2	1687	0.8448602828615167	0.96443390634262	1.0	0.03262003556609366	0.3611292234736218	0.39374925903971547	0.6062507409602845	0.6062507409602845	0.0	0.998814463544754	0.45109662122110256	0.96443390634262	0.6176644931831654	0.9069353882631891	1.4715806448110453	0.07468879668049792	0.019264967397747478	0.8921161825726142	0.6232957913455839	CCR7;TCF7;LEF1;MS4A1	KLRD1;FCGR3A	0.034973325429756966	0.0	0.0	0.6622080616478957
infection_study_04	T_NK_lineage	0	MAIT Cell	3	1687	0.4278794525555784	0.44220509780675754	0.6922050978067575	0.01016597510373444	0.4131890930646117	0.42335506816834617	0.26885002963841137	0.26885002963841137	0.0	0.5062240663900415	0.08197137776272334	0.44220509780675754	0.005927682276229994	0.43627741553052757	2.3504410862027356	0.02074688796680498	0.01037344398340249	0.992294013040901	0.7700059276822762	MS4A1;LST1	NKG7;GNLY;GZMB	0.0005927682276229994	0.0005927682276229994	0.0	0.27039122703023116
infection_study_04	T_NK_lineage	0	CD4 T Effector Memory	4	1687	0.4613178879064135	0.6016597510373444	0.6016597510373444	0.030008891523414346	0.42048014226437463	0.450489033787789	0.1511707172495554	0.1511707172495554	0.0	0.8713692946058091	0.17440558519396693	0.6016597510373444	0.006520450503852994	0.5969176052163604	0.9181954666979592	0.06876111440426794	0.01763485477178423	0.997036158861885	0.8091286307053942	CCR7;TCF7;LEF1;FOXP3	NKG7;GNLY;GZMB;PRF1	0.0	0.0	0.0011855364552459987	0.15259336099585058
infection_study_04	T_NK_lineage	0	CD4 Naive / T Central Memory	5	1687	0.1549683551534261	0.1549683551534261	0.06461173681090694	0.5	0.05454949614700653	0.5545494961470065	0.0	0.0	0.0	0.3123888559573207	0.041493775933609964	0.06461173681090694	0.0017783046828689982	0.05749851807943094	0.16276513347854388	0.997036158861885	0.64742145820984	0.14463544754001187	0.07439241256668642	NKG7;GNLY;GZMB;PRF1;FOXP3	CD8A;CD8B	0.07528156490812092	0.0	0.0	0.12045050385299348
infection_study_04	T_NK_lineage	0	Treg	6	1687	0.44820298398336644	0.44820298398336644	0.002963841138114997	0.5	0.022317723770005925	0.522317723770006	0.0	0.0	0.0	0.4066390041493776	0.05002963841138115	0.002963841138114997	0.0	0.0011855364552459987	0.2012953092451645	0.992886781268524	0.6120331950207468	0.05927682276229994	0.030231179608772966	NKG7;GNLY;GZMB;CD8A	CCR7;TCF7	0.004742145820983995	0.004742145820983995	0.0	0.012329579134558387
infection_study_04	T_NK_lineage	0	CD8 Naive / T Central Memory	7	1687	0.2960906619142276	0.2960906619142276	0.18672199170124482	0.5	0.002667457024303497	0.5026674570243035	0.0	0.0	0.0	0.37403675163011263	0.05670816044260027	0.18672199170124482	0.011855364552459988	0.13811499703615887	0.32106568135795055	0.997036158861885	0.8091286307053942	0.005927682276229994	0.005927682276229994	NKG7;GNLY;GZMB;PRF1	CD4	0.0	0.0	0.0	0.0
infection_study_04	T_NK_lineage	0	ydT Cell	8	1687	0.39928484931569447	0.39928484931569447	0.3505945537809207	0.01016597510373444	0.4026970954356846	0.41286307053941906	0.0	0.0	0.0	0.3971547125074096	0.08693934005137326	0.34676941315945464	0.07705986959098993	0.2080616478956728	1.0153005624858642	0.02074688796680498	0.01037344398340249	0.9608772969768821	0.7628927089508002	MS4A1;LST1	NKG7;GNLY	0.0	0.0	0.0	0.0
infection_study_04	T_NK_lineage	1	CD8 Cytotoxic / T Effector Memory	1	1421	0.9236410994584962	0.9929627023223082	1.0	0.0783743842364532	0.27640745953553836	0.35478184377199157	0.6452181562280084	0.6452181562280084	0.0	1.0	0.7068005885739875	0.9929627023223082	0.8648838845883181	0.8655876143560872	1.5146645561058059	0.17874736101337085	0.04750175932441942	0.6903589021815623	0.4619985925404645	CCR7;TCF7;LEF1;MS4A1	KLRD1;FCGR3A	0.9936664320900774	0.0	0.0	2.2350844475721323
infection_study_04	T_NK_lineage	1	NK Cell	2	1421	0.8133525258756598	0.9662209711470795	1.0	0.4303898662913441	0.3464461646727657	0.6	0.4	0.4	0.0	1.0	0.6144440534834623	0.9662209711470795	0.7135819845179451	0.8655876143560872	1.6172004652164762	0.9218859957776214	0.3639690358902181	0.840253342716397	0.6291344123856439	CD3D;CD3E;TRAC;MS4A1;LST1	CD8A;CD8B	0.1203377902885292	0.11118930330752991	0.0	0.7037297677691767
infection_study_04	T_NK_lineage	1	CD4 T Effector Memory	3	1421	0.7880480727488747	0.9577762139338494	1.0	0.07649894440534835	0.4085679099225897	0.48506685432793806	0.5149331456720619	0.5149331456720619	0.0	0.9964813511611541	0.34474939401047777	0.9577762139338494	0.034482758620689655	0.9549612948627727	1.452781110584995	0.17452498240675582	0.046270232230823355	0.9894440534834623	0.7448979591836733	CCR7;TCF7;LEF1;FOXP3	NKG7;GNLY;GZMB;PRF1	0.0	0.0	0.0007037297677691766	0.5157776213933849
