study	predicted_cell_type	n_cells
infection_study_04	Classical Monocyte	10292
infection_study_04	CD4 Naive / T Central Memory	7960
infection_study_04	NK Cell	6813
infection_study_04	CD8 Cytotoxic / T Effector Memory	5780
infection_study_04	Blood Cell	2597
infection_study_04	Plasma Cell	2323
infection_study_04	Naive B Cell	1540
infection_study_04	Memory B Cell	1366
infection_study_04	Non-Classical Monocyte	1240
infection_study_04	Plasmablast	571
infection_study_04	Conventional DC 2	547
infection_study_04	MAIT Cell	481
infection_study_04	T Cell	458
infection_study_04	B Cell	450
infection_study_04	RBC	422
infection_study_04	Platelet	283
infection_study_04	Plasmacytoid DC	224
infection_study_04	HSC	214
infection_study_04	Doublet	132
infection_study_04	CD4 T Effector Memory	53
infection_study_04	Myeloid Cell	11
infection_study_04	Neutrophil	8
infection_study_04	Treg	2
