study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
infection_study_04	B_lineage	10	341	Plasma Cell	Naive B Cell	0.30102639296187683	0.718475073313783	0.4174486803519062	0.25425219941348975	0.1631964809384164	1.841551843440713	0.34580404285420285	Plasma Cell:107; NK Cell:53; Naive B Cell:38; B Cell:37; CD4 Naive / T Central Memory:28	Plasma Cell:142; Naive B Cell:82; Memory B Cell:58; Blood Cell:48; Lymphoid Cell:5	Naive B Cell:112; Plasma Cell:99; Memory B Cell:91; not_available:37; CD4 T Effector Memory:1	marker_final_disagreement;weak_marker_specificity
infection_study_04	B_lineage	18	47	Plasma Cell	Plasma Cell	0.31124255136729206	0.7261361683885686	0.4148936170212766	0.2824468085106383	0.1324468085106383	2.1027319130694195	0.6991858137786391	Plasma Cell:20; Naive B Cell:9; CD4 Naive / T Central Memory:7; Memory B Cell:4; B Cell:4	Plasma Cell:22; Naive B Cell:9; Blood Cell:8; Memory B Cell:8	Naive B Cell:21; Plasma Cell:16; Memory B Cell:6; not_available:2; Treg:1	weak_marker_specificity
infection_study_04	B_lineage	4	443	Memory B Cell	Naive B Cell	0.4822874341610234	0.6930022573363431	0.21071482317531975	0.14096313017306245	0.06975169300225732	2.3968284424379234	0.5104778028592927	CD4 Naive / T Central Memory:114; B Cell:94; Memory B Cell:80; Blood Cell:63; Naive B Cell:39	Memory B Cell:287; Naive B Cell:118; Blood Cell:16; B Cell:12; Plasma Cell:9	Naive B Cell:228; Memory B Cell:210; Treg:2; CD4 Naive / T Central Memory:2; not_available:1	marker_final_disagreement
infection_study_04	B_lineage	6	404	Memory B Cell	Memory B Cell	0.24530075598830534	0.4783700629189984	0.23306930693069308	0.23306930693069308	0.0	3.596785904503157	2.9850119771104175	B Cell:172; Memory B Cell:86; CD4 Naive / T Central Memory:52; Blood Cell:37; NK Cell:25	Memory B Cell:349; Naive B Cell:46; Blood Cell:7; Plasma Cell:2	Memory B Cell:344; Naive B Cell:56; Treg:2; not_available:1; Plasma Cell:1	weak_marker_specificity
infection_study_04	B_lineage	9	344	Memory B Cell	Naive B Cell	0.6055026464274711	0.8600569099933626	0.2545542635658915	0.1804263565891473	0.07412790697674419	2.623517394034031	0.7575496313274901	B Cell:129; Memory B Cell:59; CD4 Naive / T Central Memory:56; Blood Cell:38; Naive B Cell:33	Memory B Cell:234; Naive B Cell:97; Blood Cell:11; Plasma Cell:1; B Cell:1	Memory B Cell:208; Naive B Cell:136	marker_final_disagreement
infection_study_04	T_NK_lineage	0	1687	NK Cell	NK Cell	0.8922697095435684	1.0	0.10773029045643154	0.05318079430942502	0.05454949614700653	3.456585062240664	2.7943770005927684	NK Cell:1487; CD4 Naive / T Central Memory:127; CD8 Cytotoxic / T Effector Memory:52; Blood Cell:9; Treg:8	NK Cell:1537; Blood Cell:143; CD8 Cytotoxic / T Effector Memory:4; Lymphoid Cell:1; MAIT Cell:1	not_available:1685; CD4 T Effector Memory:2	screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	1	1421	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	0.6452181562280084	1.0	0.35478184377199157	0.0783743842364532	0.27640745953553836	2.2350844475721323	1.5313546798029556	CD8 Cytotoxic / T Effector Memory:1224; NK Cell:96; CD4 Naive / T Central Memory:83; Blood Cell:9; Treg:6	CD8 Cytotoxic / T Effector Memory:1198; Blood Cell:141; NK Cell:75; Treg:5; MAIT Cell:2	not_available:1420; CD4 T Effector Memory:1	screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	10	902	NK Cell	NK Cell	0.7446940133037694	1.0	0.2553059866962306	0.18961862527716186	0.06568736141906874	3.2894833702882487	2.218147450110865	NK Cell:573; CD8 Cytotoxic / T Effector Memory:288; CD4 Naive / T Central Memory:33; Treg:3; Plasma Cell:1	NK Cell:857; Blood Cell:34; CD8 Cytotoxic / T Effector Memory:11	not_available:902	screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	11	891	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	0.7230152738692293	0.9872296397502618	0.26421436588103253	0.1341638608305275	0.13005050505050506	2.2188626363832586	1.4305349147222035	CD4 Naive / T Central Memory:430; CD8 Cytotoxic / T Effector Memory:324; NK Cell:92; Treg:24; Blood Cell:13	CD8 Cytotoxic / T Effector Memory:473; Blood Cell:340; Treg:18; CD4 Naive / T Central Memory:17; NK Cell:15	not_available:778; CD4 T Effector Memory:105; CD4 Naive / T Central Memory:8	screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	12	800	CD8 Cytotoxic / T Effector Memory	CD8 Naive / T Central Memory	0.6248732420576482	0.9632169920576482	0.33834375	0.32259375	0.01575	2.0645546064773472	1.3697389814773473	CD8 Cytotoxic / T Effector Memory:389; CD4 Naive / T Central Memory:256; NK Cell:51; Blood Cell:38; Treg:30	CD8 Cytotoxic / T Effector Memory:559; Blood Cell:161; CD4 Naive / T Central Memory:21; MAIT Cell:15; Treg:15	not_available:681; CD4 T Effector Memory:110; CD4 Naive / T Central Memory:9	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	13	795	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	0.4	1.0	0.6	0.4060377358490566	0.2822641509433962	1.8913207547169812	0.5786163522012582	CD4 Naive / T Central Memory:437; NK Cell:153; CD8 Cytotoxic / T Effector Memory:143; Treg:28; CD8 Naive / T Central Memory:21	CD8 Cytotoxic / T Effector Memory:261; Blood Cell:249; NK Cell:171; Treg:47; CD4 Naive / T Central Memory:44	not_available:776; CD4 T Effector Memory:16; CD4 Naive / T Central Memory:2; Treg:1	screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	14	762	NK Cell	NK Cell	0.6372874015748031	1.0	0.3627125984251969	0.2279685039370079	0.13474409448818897	2.7811194225721785	1.66648687664042	NK Cell:457; CD8 Cytotoxic / T Effector Memory:176; CD4 Naive / T Central Memory:114; Treg:5; Blood Cell:5	NK Cell:459; Blood Cell:176; CD8 Cytotoxic / T Effector Memory:118; Lymphoid Cell:3; ydT Cell:2	not_available:762	screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	15	754	NK Cell	CD8 Cytotoxic / T Effector Memory	0.6428978779840848	1.0	0.3571021220159151	0.12374668435013264	0.23335543766578248	2.386506631299735	1.3022294429708225	NK Cell:259; CD8 Cytotoxic / T Effector Memory:181; CD4 Naive / T Central Memory:142; Treg:90; T Cell:80	Lymphoid Cell:533; NK Cell:84; Blood Cell:67; CD8 Cytotoxic / T Effector Memory:56; Treg:10	not_available:611; CD4 Naive / T Central Memory:102; CD4 T Effector Memory:24; Treg:17	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	16	713	CD4 Naive / T Central Memory	CD8 Naive / T Central Memory	0.9486605890603086	1.0	0.051339410939691445	0.03745441795231417	0.013884992987377278	2.6417980364656386	0.8650869565217394	CD4 Naive / T Central Memory:566; CD8 Naive / T Central Memory:135; CD8 Cytotoxic / T Effector Memory:4; NK Cell:3; Blood Cell:3	CD8 Naive / T Central Memory:345; CD4 Naive / T Central Memory:286; Blood Cell:75; CD8 Cytotoxic / T Effector Memory:3; Treg:2	not_available:453; CD4 Naive / T Central Memory:257; CD4 T Effector Memory:2; Treg:1	marker_final_disagreement
infection_study_04	T_NK_lineage	19	511	NK Cell	NK Cell	0.8418688845401174	1.0	0.15813111545988257	0.10661448140900195	0.051516634050880625	3.310362035225049	2.7284735812133074	NK Cell:347; CD4 Naive / T Central Memory:124; CD8 Cytotoxic / T Effector Memory:15; Treg:11; Blood Cell:8	NK Cell:430; Blood Cell:63; CD8 Cytotoxic / T Effector Memory:8; Lymphoid Cell:3; Treg:2	not_available:501; CD4 T Effector Memory:6; CD4 Naive / T Central Memory:4	screfmapping_missing_for_scope
infection_study_04	T_NK_lineage	22	413	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	0.7223970944309928	1.0	0.27760290556900724	0.07203389830508475	0.20556900726392252	2.179055690072639	1.2875643670145784	CD8 Cytotoxic / T Effector Memory:247; NK Cell:70; CD4 Naive / T Central Memory:66; Treg:12; Blood Cell:12	CD8 Cytotoxic / T Effector Memory:242; Blood Cell:119; NK Cell:33; Plasma Cell:4; ydT Cell:4	not_available:396; CD4 T Effector Memory:17	screfmapping_missing_for_scope
