study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
infection_study_04	T_NK_lineage	T_NK_lineage:0	NK Cell	terminal	1798	NKG7,GNLY,KLRD1,FCGR3A,PRF1,GZMB,GZMH,TYROBP	NKG7,GNLY,KLRD1	CD3D,CD3E,TRAC,MS4A1,LST1	2.125864350248762	2.1638083992167494	0.07588809793597465	1.0	1.0	1.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	CD8 Cytotoxic / T Effector Memory	terminal	1798	CD3D,CD3E,CD8A,CD8B,NKG7,GNLY,PRF1,GZMB,GZMH,CCL5,CST7	CD8A,NKG7,GNLY	CCR7,TCF7,LEF1,MS4A1	1.410933789176591	1.433274796528864	0.044682014704546226	1.0	0.9047129036621441	2.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	NKT Cell	terminal	1798	CD3D,CD3E,TRAC,NKG7,GNLY,KLRD1,ZBTB16	CD3D,NKG7,ZBTB16	MS4A1,LST1	0.9611464288401221	0.9717665093797162	0.02124016107918821	1.0	0.7959923654369248	3.0
infection_study_04	T_NK_lineage	T_NK_lineage:1	NK Cell	terminal	1553	NKG7,GNLY,KLRD1,FCGR3A,PRF1,GZMB,GZMH,TYROBP	NKG7,GNLY,KLRD1	CD3D,CD3E,TRAC,MS4A1,LST1	1.760148735046003	1.8445866338510477	0.16887579761008947	1.0	0.9146164840312911	1.0
infection_study_04	T_NK_lineage	T_NK_lineage:1	CD8 Cytotoxic / T Effector Memory	terminal	1553	CD3D,CD3E,CD8A,CD8B,NKG7,GNLY,PRF1,GZMB,GZMH,CCL5,CST7	CD8A,NKG7,GNLY	CCR7,TCF7,LEF1,MS4A1	1.3003628630264576	1.3319464528657636	0.06316717967861173	1.0	0.8443049859408007	2.0
infection_study_04	T_NK_lineage	T_NK_lineage:1	NKT Cell	terminal	1553	CD3D,CD3E,TRAC,NKG7,GNLY,KLRD1,ZBTB16	CD3D,NKG7,ZBTB16	MS4A1,LST1	0.8963375115677509	0.9042717480481838	0.015868472960865736	1.0	0.7057780192880058	3.0
infection_study_04	T_NK_lineage	T_NK_lineage:10	CD4 Naive / T Central Memory	terminal	850	CD3D,CD3E,CD4,IL7R,CCR7,SELL,TCF7,LEF1,LTB,MAL	CD4,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1,FOXP3	1.2635147079299478	1.2948114523326653	0.06259348880543429	1.0	0.972375536182973	1.0
infection_study_04	T_NK_lineage	T_NK_lineage:10	CD8 Naive / T Central Memory	terminal	850	CD3D,CD3E,CD8A,CD8B,CCR7,TCF7,LEF1,SELL,IL7R	CD8A,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1	1.0785892112640774	1.1168559915879193	0.07653356064768399	1.0	0.9508263846018387	2.0
infection_study_04	T_NK_lineage	T_NK_lineage:10	Treg	terminal	850	CD3D,CD3E,CD4,FOXP3,IL2RA,CTLA4,IKZF2,TIGIT,TNFRSF18,CCR8	FOXP3,IL2RA,CTLA4	NKG7,GNLY,GZMB,CD8A	0.2068718171505367	0.256238240480423	0.09873284665977254	1.0	0.906566109111078	3.0
infection_study_04	T_NK_lineage	T_NK_lineage:11	T Cell	parent	767	CD3D,CD3E,CD247,TRAC,LCK	CD3D,CD3E,TRAC	MS4A1,CD79A,LST1,S100A8	1.2844040028430337	1.3078517454388554	0.046895485191643625	1.0	1.0	1.0
