study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
infection_study_04	B_lineage	B_lineage:0	B Cell	parent	805	MS4A1,CD79A,CD79B,CD74,HLA-DRA,BANK1,CD37	CD79A,CD79B	CD3D,CD3E,LST1,NKG7	2.3004865485715356	2.3105472286507	0.020121360158327942	1.0	1.0	1.0
infection_study_04	B_lineage	B_lineage:0	Plasma Cell	terminal	805	MZB1,XBP1,PRDM1,IRF4,TNFRSF17,SDC1,IGHA1,IGHG1	MZB1,XBP1,PRDM1	MS4A1,CD79A,CD3D,LST1	-0.49065442420310856	0.1124870269750216	1.2062829023562602	0.75	0.0	5.0
infection_study_04	B_lineage	B_lineage:0	Plasmablast	terminal	805	MZB1,XBP1,PRDM1,IRF4,TNFRSF17,CD27,MKI67	MZB1,XBP1	MS4A1,LST1,CD3D	-0.4050962270205277	0.09954844485793161	1.0092893437569186	0.6666666666666666	0.012722167364630605	4.0
infection_study_04	B_lineage	B_lineage:0	Naive B Cell	terminal	805	MS4A1,CD79A,CD79B,TCL1A,IGHD,IGHM,FCER2,IL4R,BANK1	TCL1A,IGHD,IGHM	CD27,TNFRSF13B,MZB1	1.8341629812518343	1.8808833076182196	0.09344065273277014	1.0	1.0	2.0
infection_study_04	B_lineage	B_lineage:0	Memory B Cell	terminal	805	MS4A1,CD79A,CD79B,CD27,TNFRSF13B,FCRL5,ITGAX,TBX21,AIM2,BANK1,CD86	CD27,TNFRSF13B,FCRL5	TCL1A,IGHD,IGHM,MZB1	-0.06970491527434058	0.7880694563007841	1.715548743150249	1.0	0.4029877219846259	3.0
infection_study_04	B_lineage	B_lineage:1	B Cell	parent	576	MS4A1,CD79A,CD79B,CD74,HLA-DRA,BANK1,CD37	CD79A,CD79B	CD3D,CD3E,LST1,NKG7	0.2806551324292308	0.4060017986311799	0.25069333240389824	1.0	0.017399631469481626	4.0
infection_study_04	B_lineage	B_lineage:1	Plasma Cell	terminal	576	MZB1,XBP1,PRDM1,IRF4,TNFRSF17,SDC1,IGHA1,IGHG1	MZB1,XBP1,PRDM1	MS4A1,CD79A,CD3D,LST1	1.0691107869562175	1.1941275984411024	0.2500336229697698	0.75	0.6902533894975087	1.0
infection_study_04	B_lineage	B_lineage:1	Plasmablast	terminal	576	MZB1,XBP1,PRDM1,IRF4,TNFRSF17,CD27,MKI67	MZB1,XBP1	MS4A1,LST1,CD3D	0.5551342045464529	0.6940779277079163	0.2778874463229268	0.6666666666666666	0.49765145069610034	2.0
infection_study_04	B_lineage	B_lineage:1	Naive B Cell	terminal	576	MS4A1,CD79A,CD79B,TCL1A,IGHD,IGHM,FCER2,IL4R,BANK1	TCL1A,IGHD,IGHM	CD27,TNFRSF13B,MZB1	0.2700961627824991	0.5358472773460327	0.531502229127067	1.0	0.3445921552232545	3.0
infection_study_04	B_lineage	B_lineage:1	Memory B Cell	terminal	576	MS4A1,CD79A,CD79B,CD27,TNFRSF13B,FCRL5,ITGAX,TBX21,AIM2,BANK1,CD86	CD27,TNFRSF13B,FCRL5	TCL1A,IGHD,IGHM,MZB1	-0.5259354025774607	0.1401437892757281	1.3321583837063775	1.0	0.0	5.0
infection_study_04	B_lineage	B_lineage:2	B Cell	parent	538	MS4A1,CD79A,CD79B,CD74,HLA-DRA,BANK1,CD37	CD79A,CD79B	CD3D,CD3E,LST1,NKG7	1.9487248787491227	1.9561661272307245	0.014882496963203175	1.0	0.8301155617068616	2.0
infection_study_04	B_lineage	B_lineage:2	Plasma Cell	terminal	538	MZB1,XBP1,PRDM1,IRF4,TNFRSF17,SDC1,IGHA1,IGHG1	MZB1,XBP1,PRDM1	MS4A1,CD79A,CD3D,LST1	-0.3512870508997414	0.1405831495625379	0.9837404009245585	0.75	0.024773375265992097	5.0
infection_study_04	B_lineage	B_lineage:2	Plasmablast	terminal	538	MZB1,XBP1,PRDM1,IRF4,TNFRSF17,CD27,MKI67	MZB1,XBP1	MS4A1,LST1,CD3D	-0.3649283014983071	0.0806308127563809	0.8911182285093759	0.6666666666666666	0.033007510024116594	4.0
infection_study_04	B_lineage	B_lineage:2	Naive B Cell	terminal	538	MS4A1,CD79A,CD79B,TCL1A,IGHD,IGHM,FCER2,IL4R,BANK1	TCL1A,IGHD,IGHM	CD27,TNFRSF13B,MZB1	1.3247523144201423	1.3780511376139843	0.10659764638768401	1.0	1.0	1.0
infection_study_04	B_lineage	B_lineage:2	Memory B Cell	terminal	538	MS4A1,CD79A,CD79B,CD27,TNFRSF13B,FCRL5,ITGAX,TBX21,AIM2,BANK1,CD86	CD27,TNFRSF13B,FCRL5	TCL1A,IGHD,IGHM,MZB1	0.04174592553682929	0.6415031935645745	1.1995145360554904	1.0	0.5018220029983926	3.0
infection_study_04	B_lineage	B_lineage:3	B Cell	parent	527	MS4A1,CD79A,CD79B,CD74,HLA-DRA,BANK1,CD37	CD79A,CD79B	CD3D,CD3E,LST1,NKG7	2.3053581737452458	2.313897401538765	0.017078455587039635	1.0	1.0	1.0
infection_study_04	B_lineage	B_lineage:3	Plasma Cell	terminal	527	MZB1,XBP1,PRDM1,IRF4,TNFRSF17,SDC1,IGHA1,IGHG1	MZB1,XBP1,PRDM1	MS4A1,CD79A,CD3D,LST1	-0.37151851958862064	0.27157036380478283	1.2861777667868068	0.75	0.01529459565075222	4.0
infection_study_04	B_lineage	B_lineage:3	Plasmablast	terminal	527	MZB1,XBP1,PRDM1,IRF4,TNFRSF17,CD27,MKI67	MZB1,XBP1	MS4A1,LST1,CD3D	-0.47579066860780295	0.09708990505246426	1.1457611473205345	0.6666666666666666	0.0	5.0
