study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Myeloid Cell	parent	1198	LYZ,LST1,TYROBP,CST3,FCER1G	LYZ,LST1	CD3D,CD79A,MS4A1,NKG7	2.196751986665399	2.201249588849349	0.008995204367900333	1.0	1.0	1.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Monocyte	parent	1198	LYZ,LST1,FCN1,S100A8,S100A9,MS4A7,FCGR3A	LYZ,LST1	CD3D,MS4A1,CLEC4C	2.3653810602657286	2.368533995337456	0.006305870143453082	1.0	0.7808454746532489	4.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Classical Monocyte	terminal	1198	LYZ,LST1,FCN1,VCAN,S100A8,S100A9,CTSS,LGALS3	FCN1,VCAN,S100A8	FCGR3A,MS4A7,CD1C,CLEC4C	2.843517793227416	2.9761773501219655	0.2653191137890983	1.0	0.8356175260357777	3.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Non-Classical Monocyte	terminal	1198	FCGR3A,MS4A7,CX3CR1,LST1,IFITM3,RHOC	FCGR3A,MS4A7,CX3CR1	S100A8,S100A9,VCAN,CD1C	-0.7885405405543219	0.5778663110819271	2.7328137032724977	1.0	0.260014916713595	13.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Intermediate Monocyte	terminal	1198	FCN1,LST1,MS4A7,HLA-DRA,CD74,S100A8	FCN1,MS4A7,HLA-DRA	CD1C,CLEC4C,NKG7	2.3599532414590514	2.3734995103008427	0.02709253768358353	1.0	1.0	2.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Granulocyte	parent	1198	S100A8,S100A9,CSF3R,FCGR3B	S100A8,S100A9	CD3D,MS4A1	2.158131435015962	2.1624439155219592	0.00862496101199486	1.0	0.6040640955561859	6.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Neutrophil	terminal	1198	S100A8,S100A9,FCGR3B,CSF3R,CXCR2,NAMPT	S100A8,S100A9,FCGR3B	CD3D,MS4A1,CD79A	1.5809060174123937	1.5842347290526515	0.0066574232805153375	1.0	0.5991828368016039	8.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Eosinophil	terminal	1198	CLC,RNASE2,RNASE3,PRG2,SIGLEC8,IL5RA	CLC,RNASE2,RNASE3	S100A8,CD3D,MS4A1	-0.5324692891482584	0.04219820718998769	1.1493349926764924	1.0	0.38300059908635486	11.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Basophil	terminal	1198	MS4A2,CPA3,HDC,GATA2,IL3RA,KIT	MS4A2,CPA3,HDC	CD3D,MS4A1,LST1	-0.24055239209945692	0.004779484000680974	0.4906637522002758	1.0	0.28032556541109077	12.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Mast Cell	terminal	1198	TPSAB1,CPA3,KIT,MS4A2,HDC	TPSAB1,CPA3	CD3D,MS4A1,LST1	-0.2453318761001379	0.0	0.4906637522002758	0.6666666666666666	0.4504159439136083	9.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	DC	parent	1198	HLA-DRA,CD74,CST3,FCER1A,CD1C,CLEC4C	HLA-DRA,CD74	CD3D,MS4A1,S100A8	0.7000008858802521	1.2746683822184983	1.1493349926764924	1.0	0.6031588002874365	7.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Plasmacytoid DC	terminal	1198	LILRA4,CLEC4C,IL3RA,TCF4,IRF7,GZMB,SPIB	LILRA4,CLEC4C,IL3RA,TCF4	CD3D,MS4A1,CD1C,FCN1,S100A8	-0.6074231226063844	0.06092016055252454	1.3366865663178178	1.0	0.22886906322915412	14.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Conventional DC 1	terminal	1198	CLEC9A,XCR1,BATF3,CADM1,IRF8,C1orf54	CLEC9A,XCR1,BATF3	CD1C,FCER1A,CLEC4C,S100A8	-0.344533579555663	0.0954752203054274	0.8800175997221809	1.0	0.41178069237342646	10.0
infection_study_04	Myeloid_lineage	Myeloid_lineage:0	Conventional DC 2	terminal	1198	CD1C,FCER1A,CLEC10A,CST3,HLA-DRA,CD74	CD1C,FCER1A,CLEC10A	CLEC4C,LILRA4,S100A8,S100A9	0.36104205397927375	1.2828064517770532	1.843528795595559	1.0	0.6899938906008101	5.0
