study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
infection_study_04	T_NK_lineage	T_NK_lineage:0	NK Cell	terminal	1798	NKG7,GNLY,KLRD1,FCGR3A,PRF1,GZMB,GZMH,TYROBP	NKG7,GNLY,KLRD1	CD3D,CD3E,TRAC,MS4A1,LST1	2.125864350248762	2.1638083992167494	0.07588809793597465	1.0	1.0	1.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	T Cell	parent	1798	CD3D,CD3E,CD247,TRAC,LCK	CD3D,CD3E,TRAC	MS4A1,CD79A,LST1,S100A8	0.6698247101767045	0.6840662029481703	0.028482985542931733	1.0	0.39130531789292533	5.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	CD4 T Cell (ab)	parent	1798	CD3D,CD3E,TRAC,CD4,IL7R	CD3D,CD3E,CD4	CD8A,CD8B,MS4A1,LST1	0.04101509794311078	0.09180842681774443	0.10158665774926726	1.0	0.0	8.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	CD4 Naive / T Central Memory	terminal	1798	CD3D,CD3E,CD4,IL7R,CCR7,SELL,TCF7,LEF1,LTB,MAL	CD4,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1,FOXP3	-0.9558180019905889	0.10472680566308232	2.121089615307342	1.0	0.0	9.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	CD4 T Effector Memory	terminal	1798	CD3D,CD3E,CD4,IL7R,GZMK,CCL5,ANXA1,CXCR3,KLRB1	CD4,GZMK,CCL5	CCR7,TCF7,LEF1,FOXP3	0.4673650304290409	0.48836332551482114	0.04199659017156043	1.0	0.5038040442222481	4.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	Treg	terminal	1798	CD3D,CD3E,CD4,FOXP3,IL2RA,CTLA4,IKZF2,TIGIT,TNFRSF18,CCR8	FOXP3,IL2RA,CTLA4	NKG7,GNLY,GZMB,CD8A	-0.8394747153421795	0.12813632490239765	1.9352220804891545	1.0	0.0	10.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	CD8 T Cell (ab)	parent	1798	CD3D,CD3E,TRAC,CD8A,CD8B	CD3D,CD3E,CD8A	CD4,MS4A1,LST1	0.1314107130645247	0.14016529527203792	0.0175091644150264	1.0	0.0	11.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	CD8 Naive / T Central Memory	terminal	1798	CD3D,CD3E,CD8A,CD8B,CCR7,TCF7,LEF1,SELL,IL7R	CD8A,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1	-1.1858653579178442	0.13968066579257438	2.651092047420837	1.0	0.0	12.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	CD8 Cytotoxic / T Effector Memory	terminal	1798	CD3D,CD3E,CD8A,CD8B,NKG7,GNLY,PRF1,GZMB,GZMH,CCL5,CST7	CD8A,NKG7,GNLY	CCR7,TCF7,LEF1,MS4A1	1.410933789176591	1.433274796528864	0.044682014704546226	1.0	0.9047129036621441	2.0
infection_study_04	T_NK_lineage	T_NK_lineage:0	ydT Cell	terminal	1798	CD3D,CD3E,TRDC,TRGC1,TRGC2,TRDV2	TRDC,TRGC1,TRGC2	MS4A1,LST1	0.22718304710053144	0.2378031276401255	0.02124016107918821	1.0	0.026937398927235734	6.0
