study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
infection_study_06	T_NK_lineage	0	NKT Cell	1	5712	0.9323462119994343	0.9994747899159664	1.0	0.03456232492997199	0.2568933823529412	0.29145570728291315	0.7085442927170869	0.7085442927170869	0.0	1.0	0.6565626250500199	0.9994747899159664	0.742296918767507	0.9959733893557423	1.0105095256578598	0.0703781512605042	0.03553921568627451	0.6139705882352942	0.48468137254901966	MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.7085442927170869
infection_study_06	T_NK_lineage	0	CD8 Cytotoxic / T Effector Memory	2	5712	0.9258613542118641	0.9994747899159664	1.0	0.06773721988795518	0.3806328781512605	0.4483700980392157	0.5516299019607843	0.5516299019607843	0.0	1.0	0.8064043799337917	0.9994747899159664	0.979516806722689	0.9959733893557423	1.437408021073338	0.15248599439775912	0.04451155462184874	0.8986344537815126	0.7402836134453782	CCR7;TCF7;LEF1;MS4A1	KLRD1;FCGR3A		0.0	0.0	0.0	0.0	0.0	0.5516299019607843
infection_study_06	T_NK_lineage	0	CD4 T Effector Memory	3	5712	0.8224535254880111	0.970063025210084	1.0	0.062338060224089636	0.43797268907563025	0.5003107492997199	0.49968925070028014	0.49968925070028014	0.0	0.9978991596638656	0.46099828820417055	0.970063025210084	0.18504901960784315	0.9641106442577031	1.3347630011926879	0.140406162464986	0.040835084033613446	0.9996498599439776	0.9205182072829132	CCR7;TCF7;LEF1;FOXP3	NKG7;GNLY;GZMB;PRF1		0.0	0.0	0.0	0.0	0.0	0.49968925070028014
infection_study_06	T_NK_lineage	0	NK Cell	4	5712	0.9061487401935486	0.9998249299719888	1.0	0.4252331932773109	0.2568933823529412	0.6	0.4	0.4	0.0	1.0	0.8098739495798319	0.9998249299719888	0.976890756302521	0.9959733893557423	1.5639834023106238	0.9089635854341737	0.36285014005602234	0.6139705882352942	0.48468137254901966	CD3D;CD3E;TRAC;MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.4
infection_study_06	T_NK_lineage	0	CD8 Naive / T Central Memory	5	5712	0.5861251479050362	0.6195728291316527	0.6195728291316527	0.5	0.019616596638655462	0.5196165966386554	0.09995623249299723	0.09995623249299723	0.0	0.958858543417367	0.3791238717709306	0.6195728291316527	0.06722689075630252	0.5833333333333334	0.8211687884821798	0.9996498599439776	0.9205182072829132	0.043592436974789914	0.043592436974789914	NKG7;GNLY;GZMB;PRF1	CD4		0.0	0.0	0.0	0.0	0.0	0.09995623249299723
infection_study_06	T_NK_lineage	0	Treg	6	5712	0.7269911734383706	0.7269911734383706	0.03991596638655462	0.5	0.037972689075630256	0.5379726890756302	0.0	0.0	0.0	0.9303221288515406	0.19870448179271707	0.03991596638655462	0.0010504201680672268	0.034488795518207285	0.4072203559456304	0.9996498599439776	0.823091736694678	0.09961484593837536	0.05392156862745098	NKG7;GNLY;GZMB;CD8A	CCR7;TCF7		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_06	T_NK_lineage	0	CD4 Naive / T Central Memory	7	5712	0.5193887034998048	0.5193887034998048	0.13690476190476192	0.5	0.2568933823529412	0.6	0.0	0.0	0.0	0.9420518207282913	0.2578956582633053	0.13690476190476192	0.013130252100840336	0.08263305322128851	0.25535343343210787	0.9996498599439776	0.7370098039215687	0.6139705882352942	0.48468137254901966	NKG7;GNLY;GZMB;PRF1;FOXP3	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_06	T_NK_lineage	0	gdT Cell	8	5712	0.800023930702487	0.800023930702487	0.4381171732211697	0.03456232492997199	0.4441832983193277	0.47874562324929965	0.0	0.0	0.0	0.9287464985994398	0.3233251633986928	0.2977941176470588	0.056897759103641456	0.13480392156862744	1.5612922222964436	0.0703781512605042	0.03553921568627451	0.9992997198879552	0.9626225490196079	MS4A1;LST1	NKG7;GNLY		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_06	T_NK_lineage	0	MAIT Cell	9	5712	0.578030708650949	0.578030708650949	0.20798319327731093	0.03456232492997199	0.43529411764705883	0.4698564425770308	0.0	0.0	0.0	0.9399509803921569	0.3085484193677471	0.20798319327731093	0.0014005602240896359	0.20640756302521007	0.681154018301665	0.0703781512605042	0.03553921568627451	0.9994747899159664	0.9030112044817927	MS4A1;LST1	NKG7;GNLY;GZMB		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_06	T_NK_lineage	1	NKT Cell	1	21851	0.6437806158892613	0.9744634112855247	0.9744634112855247	0.052485469772550454	0.02882820008237609	0.08131366985492655	0.8931497414305982	0.8931497414305982	0.0	0.9992220035696306	0.3862784965709317	0.9744634112855247	0.17710859914878038	0.9689716717770354	0.9854725097676456	0.106722804448309	0.05423092764633197	0.07436730584412612	0.0434533888609217	MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.8931497414305982
