study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	cluster_marker_raw_winner	cluster_marker_assignment_reason	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
infection_study_07	B_lineage	0	86	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.8844961240310077	1.0	0.11550387596899225	0.05271317829457364	0.06279069767441861	0.8844961240310077	0.10274830994373985	not_available:86	not_available:86	not_available:86	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_07	B_lineage	1	80	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.8991980178588951	0.9105313511922284	0.011333333333333334	0.011333333333333334	0.0	0.8991980178588951	0.559323017858895	not_available:80	not_available:80	not_available:80	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_07	B_lineage	10	31	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.6517702843432378	0.8952111445582915	0.24344086021505376	0.24344086021505376	0.0	0.6517702843432378	0.1767165209023776	not_available:31	not_available:31	not_available:31	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_07	B_lineage	11	31	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.5551612903225807	1.0	0.44483870967741934	0.31419354838709673	0.13064516129032258	0.5551612903225807	0.17952600902679872	not_available:31	not_available:31	not_available:31	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_07	B_lineage	12	30	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.5850494188690227	0.8437160855356894	0.25866666666666666	0.16866666666666666	0.09	0.5850494188690227	0.23904941886902276	not_available:30	not_available:30	not_available:30	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_07	B_lineage	13	25	B Cell	Plasma Cell	Plasma Cell	raw_marker_winner	0.6144000000000001	1.0	0.3856	0.24159999999999998	0.14400000000000002	0.6144000000000001	0.05900000000000005	not_available:25	not_available:25	not_available:25	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_07	B_lineage	14	24	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.677338092434501	0.7748380924345011	0.0975	0.0975	0.0	0.677338092434501	0.11764978467658949	not_available:24	not_available:24	not_available:24	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_07	B_lineage	15	11	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.793939393939394	1.0	0.20606060606060606	0.20606060606060606	0.0	0.793939393939394	0.5339393939393939	not_available:11	not_available:11	not_available:11	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_07	B_lineage	16	11	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.5042424242424242	0.5454545454545454	0.041212121212121214	0.041212121212121214	0.0	0.5042424242424242	0.00853776676163387	not_available:11	not_available:11	not_available:11	marker_final_disagreement;screfmapping_missing_for_scope
infection_study_07	B_lineage	2	74	B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.8796396396396396	1.0	0.12036036036036037	0.12036036036036037	0.0	0.8796396396396396	0.6426126126126126	not_available:74	not_available:74	not_available:74	marker_final_disagreement;screfmapping_missing_for_scope
