study	broad_lineage	cluster	n_cells	chosen_label	accepted	best_candidate_before_parent_fallback	best_total_score	second_total_score	score_margin	marker_pct	marker_winner_fraction	source_fraction	source_count_mean	marker_availability	cluster_reason	top_celltypist_label	top_azimuth_pbmc_l2_label	top_azimuth_pbmc_l3_label	top_panhuman_fine_label	top_panhuman_medium_label	top_cluster_consensus_label	top_screfmapping_label	median_n_genes_by_counts	median_total_counts	median_pct_counts_mt
infection_study_01	B	B_lineage:0	475	Naive B Cell	True	Naive B Cell	2.495431835542538	0.3972361809045226	2.0981956546380154	0.9669543369019008	0.3578947368421052	0.7046616541353382	4.932631578947368	1.0	cluster_consensus_marker_source_support	Naive B Cell:473; Memory B Cell:2	Naive B Cell:473; B Cell:2	Blood Cell:475	Naive B Cell:450; Memory B Cell:21; Blood Cell:4	B Cell:471; Blood Cell:4	Naive B Cell:474; B Cell:1	Naive B Cell:473; Plasma Cell:2	1560.0	5217.0	8.101892471313477
infection_study_01	B	B_lineage:1	432	Naive B Cell	True	Naive B Cell	2.746389737102813	0.3479382621642836	2.398451474938529	0.975302235816765	0.6574074074074074	0.7066798941798941	4.94675925925926	1.0	cluster_consensus_marker_source_support	Naive B Cell:422; Blood Cell:8; B Cell:1; Memory B Cell:1	Naive B Cell:429; B Cell:3	Blood Cell:432	Naive B Cell:427; Memory B Cell:5	B Cell:432	Naive B Cell:430; B Cell:2	Naive B Cell:429; Plasma Cell:2; Memory B Cell:1	1690.0	5167.5	7.686362266540527
infection_study_01	B	B_lineage:10	246	Naive B Cell	True	Naive B Cell	2.4100485923278967	0.4824776054183963	1.9275709869095004	0.9454792076323648	0.3821138211382114	0.6596980255516838	4.617886178861789	1.0	cluster_consensus_marker_source_support	Naive B Cell:235; Memory B Cell:11	Naive B Cell:227; B Cell:18; Memory B Cell:1	Blood Cell:246	Naive B Cell:207; Memory B Cell:32; Blood Cell:7	B Cell:239; Blood Cell:7	Naive B Cell:235; B Cell:11	Naive B Cell:232; Memory B Cell:13; Plasma Cell:1	1358.5	4567.0	7.108139514923096
infection_study_01	B	B_lineage:11	240	Naive B Cell	True	Naive B Cell	2.3212074867089068	0.4584880926370985	1.8627193940718083	0.944860170417304	0.275	0.6583333333333332	4.608333333333333	1.0	cluster_consensus_marker_source_support	Naive B Cell:200; Blood Cell:40	Naive B Cell:237; B Cell:3	Blood Cell:240	Naive B Cell:190; Memory B Cell:43; Blood Cell:7	B Cell:233; Blood Cell:7	Naive B Cell:240	Naive B Cell:239; Memory B Cell:1	1703.0	6001.0	7.186684608459473
infection_study_01	B	B_lineage:12	227	Naive B Cell	True	Naive B Cell	2.315490592206387	0.4646888470040574	1.8508017452023295	0.951132473964023	0.4537444933920704	0.5770925110132159	4.039647577092511	1.0	cluster_consensus_marker_source_support	Naive B Cell:187; Memory B Cell:37; B Cell:2; NK Cell:1	Naive B Cell:182; B Cell:29; Memory B Cell:16	Blood Cell:227	Naive B Cell:169; Memory B Cell:57; Blood Cell:1	B Cell:226; Blood Cell:1	Naive B Cell:190; B Cell:37	Naive B Cell:189; Memory B Cell:38	1916.0	5700.0	4.948096752166748
infection_study_01	B	B_lineage:13	224	Memory B Cell	True	Memory B Cell	1.7517822168740775	0.8495457266367328	0.9022364902373448	0.9732812613793606	0.3571428571428571	0.3105867346938775	2.174107142857143	1.0	cluster_consensus_marker_source_support	B Cell:169; Memory B Cell:40; Naive B Cell:14; Blood Cell:1	B Cell:209; Memory B Cell:12; Naive B Cell:3	Blood Cell:224	Memory B Cell:215; Naive B Cell:6; Blood Cell:3	B Cell:221; Blood Cell:3	B Cell:221; Naive B Cell:3	Memory B Cell:220; Naive B Cell:4	1953.5	7388.5	7.9520978927612305
infection_study_01	B	B_lineage:14	220	Naive B Cell	True	Naive B Cell	2.5110475301408224	0.3949830675114704	2.116064462629352	0.9738911951059646	0.4454545454545454	0.6727272727272726	4.709090909090909	1.0	cluster_consensus_marker_source_support	Naive B Cell:213; Memory B Cell:6; B Cell:1	Naive B Cell:208; B Cell:12	Blood Cell:220	Naive B Cell:195; Memory B Cell:23; Blood Cell:2	B Cell:218; Blood Cell:2	Naive B Cell:211; B Cell:9	Naive B Cell:209; Memory B Cell:11	1538.0	5129.0	7.828893661499023
infection_study_01	B	B_lineage:15	210	Naive B Cell	True	Naive B Cell	2.000621307513611	0.5702911035508806	1.43033020396273	0.9306223144709052	0.1952380952380952	0.5299319727891156	3.7095238095238097	1.0	cluster_consensus_marker_source_support	Naive B Cell:150; Memory B Cell:54; B Cell:3; NK Cell:2	Naive B Cell:143; B Cell:30; Memory B Cell:30; CD4 Naive / T Central Memory:7	Blood Cell:208; HSC:1; Treg:1	Naive B Cell:148; Memory B Cell:59; Blood Cell:2; B Cell:1	B Cell:207; Blood Cell:3	Naive B Cell:171; B Cell:39	Naive B Cell:167; Memory B Cell:39; Plasma Cell:2; not_available:1	727.5	1852.0	8.402738571166992
infection_study_01	B	B_lineage:16	212	Memory B Cell	True	Memory B Cell	1.8617623156212328	0.8918744740342991	0.9698878415869338	0.9551926298157454	0.3867924528301887	0.3645552560646899	2.55188679245283	1.0	cluster_consensus_marker_source_support	Memory B Cell:105; B Cell:87; Naive B Cell:20	B Cell:181; Memory B Cell:28; Naive B Cell:3	Blood Cell:212	Memory B Cell:209; Blood Cell:2; Naive B Cell:1	B Cell:210; Blood Cell:2	B Cell:205; Naive B Cell:7	Memory B Cell:199; Naive B Cell:13	2676.0	11593.0	8.650165557861328
infection_study_01	B	B_lineage:17	209	Memory B Cell	True	Memory B Cell	2.642003521873984	0.8074725988108692	1.8345309230631148	0.9924441045808754	0.8564593301435407	0.5598086124401912	3.91866028708134	1.0	cluster_consensus_marker_source_support	Memory B Cell:205; B Cell:4	Memory B Cell:200; B Cell:9	Blood Cell:209	Memory B Cell:205; Naive B Cell:3; Blood Cell:1	B Cell:208; Blood Cell:1	B Cell:209	Memory B Cell:209	2471.0	9079.0	7.461902618408203
infection_study_01	B	B_lineage:18	162	Naive B Cell	True	Naive B Cell	2.288699704912108	0.5247192416726683	1.7639804632394394	0.9517788216444542	0.1481481481481481	0.691358024691358	4.839506172839506	1.0	cluster_consensus_marker_source_support	Naive B Cell:159; Memory B Cell:3	Naive B Cell:157; B Cell:5	Blood Cell:162	Naive B Cell:152; Memory B Cell:10	B Cell:162	Naive B Cell:158; B Cell:4	Naive B Cell:158; Memory B Cell:3; Plasma Cell:1	1092.0	3523.0	9.529658317565918
infection_study_01	B	B_lineage:19	149	Naive B Cell	True	Naive B Cell	2.411442566536463	0.4746583992328143	1.936784167303649	0.952843929793897	0.3825503355704698	0.6567593480345159	4.597315436241611	1.0	cluster_consensus_marker_source_support	Naive B Cell:142; Memory B Cell:7	Naive B Cell:140; B Cell:7; Memory B Cell:2	Blood Cell:149	Naive B Cell:119; Memory B Cell:29; Blood Cell:1	B Cell:148; Blood Cell:1	Naive B Cell:143; B Cell:6	Naive B Cell:141; Memory B Cell:6; Plasma Cell:2	1343.0	4962.0	9.19874668121338
