study	n_cells	n_genes	pre_hvg_n_genes	counts_layer_n_genes	n_labels	b_cell_n	t_cell_n	myeloid_cell_n	blood_cell_n	parent_or_blood_n	parent_or_blood_fraction	artifact_n	doublet_n	effector_b_n	median_confidence	low_confidence_n	source_disagreement_flag_n	source_disagreement_flag_fraction	invalid_labels
infection_study_01	54924	3961	8000	3961	16	0	0	0	178	178	0.0032408418906124	1313	981	0	0.7772	2527	7522	0.1369528803437477	
infection_study_03	646739	24929	24929	24929	4	93274	200576	137478	215411	646739	1.0	0	0	0	0.4437	646739	0	0.0	
infection_study_04	43767	3933	8000	3933	15	0	0	0	436	436	0.0099618433979939	166	61	0	0.7762	497	9576	0.2187949825210775	
infection_study_06	827389	37298	37298	37298	1	0	0	0	827389	827389	1.0	0	0	0	0.45	827389	0	0.0	
infection_study_07	6589	2000	2000	2000	4	679	1803	1500	2607	6589	1.0	0	0	0	0.45	6589	0	0.0	
vaccination_study_01	307194	10528	10528	10528	4	40449	96727	86258	83760	307194	1.0	0	0	0	0.4366	307194	0	0.0	
vaccination_study_04	66065	3971	8000	3971	14	23	74	0	474	571	0.0086430031030046	84	1249	0	0.8063	1820	4109	0.0621963218042836	
vaccination_study_06	57419	11878	11878	11878	12	1	0	468	746	1215	0.0211602431250979	0	2162	0	0.7724	3430	14569	0.2537313432835821	
vaccination_study_09	139960	3985	8000	3985	18	39	0	0	116	155	0.0011074592740783	92	323	0	0.7772	478	18932	0.1352672192054873	
vaccination_study_10	47511	1271	14969	1271	4	5637	14642	9624	17608	47511	1.0	0	0	0	0.45	47511	0	0.0	
