study	lineage	n_cells	status	reason
infection_study_01	B_lineage	6563	generated	true lineage-specific subcluster UMAP generated
infection_study_01	T_NK_lineage	25572	generated	true lineage-specific subcluster UMAP generated
infection_study_01	Myeloid_lineage	19877	generated	true lineage-specific subcluster UMAP generated
infection_study_04	B_lineage	6337	generated	true lineage-specific subcluster UMAP generated
infection_study_04	T_NK_lineage	22830	generated	true lineage-specific subcluster UMAP generated
infection_study_04	Myeloid_lineage	12484	generated	true lineage-specific subcluster UMAP generated
vaccination_study_04	B_lineage	109	generated	true lineage-specific subcluster UMAP generated
vaccination_study_04	T_NK_lineage	263	generated	true lineage-specific subcluster UMAP generated
vaccination_study_04	Myeloid_lineage	64111	generated	true lineage-specific subcluster UMAP generated
vaccination_study_06	B_lineage	4023	generated	true lineage-specific subcluster UMAP generated
vaccination_study_06	T_NK_lineage	50804	generated	true lineage-specific subcluster UMAP generated
vaccination_study_06	Myeloid_lineage	46	skipped_lt50	fewer than 50 cells assigned to this broad lineage
vaccination_study_09	B_lineage	15945	generated	true lineage-specific subcluster UMAP generated
vaccination_study_09	T_NK_lineage	90244	generated	true lineage-specific subcluster UMAP generated
vaccination_study_09	Myeloid_lineage	31295	generated	true lineage-specific subcluster UMAP generated
