study	predicted_cell_type	n_cells	median_source_agreement_fraction	source_disagreement_flag_n	source_disagreement_flag_fraction
infection_study_01	Blood Cell	197	0.75	70	0.3553299492385787
infection_study_01	CD4 Naive / T Central Memory	4590	0.6	1916	0.4174291938997821
infection_study_01	CD4 T Effector Memory	1628	0.4	824	0.5061425061425061
infection_study_01	CD8 Cytotoxic / T Effector Memory	8723	1.0	848	0.0972142611486873
infection_study_01	CD8 Naive / T Central Memory	360	0.75	40	0.1111111111111111
infection_study_01	Classical Monocyte	17074	1.0	436	0.0255359025418765
infection_study_01	Conventional DC 1	33	0.75	0	0.0
infection_study_01	Conventional DC 2	455	1.0	36	0.0791208791208791
infection_study_01	Doublet	1278	0.0	1278	1.0
infection_study_01	HSC	12	0.75	0	0.0
infection_study_01	MAIT Cell	958	0.5	466	0.4864300626304801
infection_study_01	Memory B Cell	2118	0.6	531	0.2507082152974504
infection_study_01	NK Cell	9393	1.0	766	0.0815500904929202
infection_study_01	Naive B Cell	4252	1.0	292	0.0686735653809971
infection_study_01	Neutrophil	14	0.25	14	1.0
infection_study_01	Non-Classical Monocyte	2219	1.0	191	0.0860748084722848
infection_study_01	Plasma Cell	130	0.8	47	0.3615384615384615
infection_study_01	Plasmablast	41	0.2	41	1.0
infection_study_01	Plasmacytoid DC	105	0.75	15	0.1428571428571428
infection_study_01	Platelet	1343	1.0	3	0.0022338049143708
infection_study_01	RBC	1	0.5	0	0.0
infection_study_03	Blood Cell	2324	0.3333333333333333	1965	0.8455249569707401
infection_study_03	CD4 Naive / T Central Memory	184676	0.6666666666666666	50686	0.2744590526110593
infection_study_03	CD8 Cytotoxic / T Effector Memory	102353	1.0	26323	0.2571785878283978
infection_study_03	CD8 Naive / T Central Memory	9049	0.6666666666666666	3489	0.3855674660183446
infection_study_03	Classical Monocyte	130556	0.6666666666666666	14140	0.1083060142773982
infection_study_03	Conventional DC 2	8329	0.6666666666666666	4077	0.4894945371593228
infection_study_03	HSC	3077	1.0	0	0.0
infection_study_03	Memory B Cell	6291	0.6666666666666666	2419	0.3845175647750755
infection_study_03	NK Cell	102938	1.0	3414	0.0331655948240688
infection_study_03	Naive B Cell	61829	1.0	22408	0.3624189296284915
infection_study_03	Non-Classical Monocyte	10769	0.6666666666666666	1663	0.1544247376729501
infection_study_03	Plasma Cell	8842	0.6666666666666666	3927	0.4441302872653246
infection_study_03	Plasmacytoid DC	4335	1.0	31	0.0071510957324106
infection_study_03	Platelet	11371	1.0	0	0.0
infection_study_04	Blood Cell	746	0.25	479	0.6420911528150134
infection_study_04	CD4 Naive / T Central Memory	8282	0.8	969	0.1170007244626901
infection_study_04	CD8 Cytotoxic / T Effector Memory	6980	0.75	1417	0.2030085959885386
infection_study_04	Classical Monocyte	10603	1.0	658	0.0620579081392058
infection_study_04	Conventional DC 1	23	0.75	1	0.0434782608695652
infection_study_04	Conventional DC 2	420	0.75	69	0.1642857142857142
infection_study_04	Doublet	132	0.0	132	1.0
infection_study_04	HSC	122	0.75	2	0.0163934426229508
infection_study_04	MAIT Cell	392	0.5	181	0.461734693877551
infection_study_04	Memory B Cell	1674	0.4	1365	0.8154121863799283
infection_study_04	NK Cell	6812	1.0	813	0.1193482090428655
infection_study_04	Naive B Cell	1790	0.6	690	0.3854748603351955
infection_study_04	Neutrophil	132	0.25	132	1.0
infection_study_04	Non-Classical Monocyte	1502	1.0	104	0.0692410119840213
infection_study_04	Plasma Cell	3272	0.6	685	0.2093520782396088
infection_study_04	Plasmacytoid DC	229	1.0	5	0.0218340611353711
infection_study_04	Platelet	172	1.0	3	0.0174418604651162
infection_study_04	Treg	484	0.6	131	0.2706611570247934
infection_study_06	Blood Cell	1794	0.0	1535	0.8556298773690078
infection_study_06	CD4 Naive / T Central Memory	226620	1.0	57575	0.2540596593416291
infection_study_06	CD4 T Effector Memory	34304	0.6666666666666666	9998	0.2914528917910448
infection_study_06	CD8 Cytotoxic / T Effector Memory	102955	1.0	20200	0.1962022242727405
