study	source	source_column	n_cells	informative_cells	coverage_fraction	final_concordant_cells	final_concordance_over_informative	final_concordance_over_all	discordant_informative_cells	discordant_fraction_over_informative	high_confidence_informative_cells	high_confidence_concordance_over_informative	top_labels	unique_support_cells	unique_support_fraction_over_all
infection_study_01	CellTypist	celltypist_v3_label	54924	54924	1.0	47066	0.8569295754132984	0.8569295754132984	7858	0.1430704245867016	28417	0.9451032832459444	Classical Monocyte:18084; CD8 Cytotoxic / T Effector Memory:9669; NK Cell:9407; Naive B Cell:4336; CD4 T Effector Memory:3564; CD4 Naive / T Central Memory:2626; Non-Classical Monocyte:2369; Memory B Cell:1937	20	0.000364139538271
infection_study_01	Pan-human Azimuth	panhuman_fine_v3_label	54924	54924	1.0	40962	0.7457941883329692	0.7457941883329692	13962	0.2542058116670308	28417	0.7925185628321075	Classical Monocyte:13795; CD8 Cytotoxic / T Effector Memory:9701; NK Cell:7361; Naive B Cell:3693; Blood Cell:3604; CD4 T Effector Memory:3091; Memory B Cell:2703; CD4 Naive / T Central Memory:1922	72	0.0013109023377758
infection_study_01	Cluster consensus	cluster_consensus_v3_label	54924	54924	1.0	45338	0.8254679193066783	0.8254679193066783	9586	0.1745320806933216	28417	0.90090438821832	Classical Monocyte:18508; CD8 Cytotoxic / T Effector Memory:10057; NK Cell:9575; Naive B Cell:4230; CD4 T Effector Memory:3318; CD4 Naive / T Central Memory:2343; B Cell:2305; Non-Classical Monocyte:2288	190	0.0034593256135751
infection_study_01	scRefMapping	screfmapping_official_label	54924	11783	0.2145328089723982	8625	0.7319867605872867	0.157035175879397	3158	0.2680132394127132	7887	0.9520730315709396	CD4 Naive / T Central Memory:4308; Naive B Cell:4070; Memory B Cell:2289; CD4 T Effector Memory:713; Treg:246; Plasma Cell:157	16	0.0002913116306168
infection_study_01	Cluster marker assignment	cluster_marker_gene_assignment	54924	52452	0.9549923530696964	48534	0.9253031342942118	0.8836574175223946	3918	0.0746968657057881	28417	0.964035612485484	Classical Monocyte:17789; CD8 Cytotoxic / T Effector Memory:10509; NK Cell:8060; Naive B Cell:5256; CD4 Naive / T Central Memory:4455; CD4 T Effector Memory:2018; Non-Classical Monocyte:1979; Memory B Cell:1113	3120	0.0568057679702862
infection_study_03	CellTypist	celltypist_v3_label	646739	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_03	Pan-human Azimuth	panhuman_fine_v3_label	646739	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_03	Cluster consensus	cluster_consensus_v3_label	646739	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_03	scRefMapping	screfmapping_official_label	646739	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_03	Cluster marker assignment	cluster_marker_gene_assignment	646739	431328	0.6669274622374713	0	0.0	0.0	431328	1.0	0	0.0	NKT Cell:171789; Neutrophil:109557; Naive B Cell:64785; CD8 Naive / T Central Memory:28787; Eosinophil:24497; Plasmablast:18787; Plasma Cell:9702; Intermediate Monocyte:3424	0	0.0
