study	lineage	cluster	n_cells	review_priority	priority_score	review_reasons	suggested_action	final_label	marker_assignment	raw_marker_winner	assignment_reason	marker_score	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	llm_review_packet
vaccination_study_01	B_lineage	0	2137	high	12	parent_or_broad_final_label;marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available;low_total_score_or_margin	check_if_finer_official_label_is_supported	B Cell	Plasmablast	Plasmablast	raw_marker_winner	0.42373714094895426	0.6679457182966775	0.20220252917748294	Classical Monocyte:1672; Blood Cell:179; CD4 Naive / T Central Memory:153; Memory B Cell:125; NK Cell:3	not_available:1400; Memory B Cell:424; Naive B Cell:106; Plasma Cell:81; HSC:43	not_available:2137	Study=vaccination_study_01; lineage=B_lineage; cluster=0; cells=2137; final=B Cell; marker_assignment=Plasmablast; raw_marker_winner=Plasmablast; assignment_reason=raw_marker_winner; marker_score=0.424; best_total_score=0.668; score_margin=0.202; CellTypist=Classical Monocyte:1672; Blood Cell:179; CD4 Naive / T Central Memory:153; Memory B Cell:125; NK Cell:3; PanHuman=not_available:1400; Memory B Cell:424; Naive B Cell:106; Plasma Cell:81; HSC:43; scRefMap=not_available:2137; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available,low_total_score_or_margin.
vaccination_study_01	B_lineage	1	1429	low	3	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.7232155353393982	3.2749300209937022	2.8041112666200143	Naive B Cell:1378; Memory B Cell:47; B Cell:4	Naive B Cell:1114; Memory B Cell:233; not_available:82	not_available:1429	Study=vaccination_study_01; lineage=B_lineage; cluster=1; cells=1429; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.723; best_total_score=3.275; score_margin=2.804; CellTypist=Naive B Cell:1378; Memory B Cell:47; B Cell:4; PanHuman=Naive B Cell:1114; Memory B Cell:233; not_available:82; scRefMap=not_available:1429; review_reasons=screfmapping_not_available.
vaccination_study_01	B_lineage	10	1064	high	8	parent_or_broad_final_label;marker_assignment_disagrees_with_final;screfmapping_not_available	check_if_finer_official_label_is_supported	B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.43226668408591995	0.9460526315789474	0.41322203771859134	Classical Monocyte:1060; CD4 Naive / T Central Memory:1; Memory B Cell:1; Conventional DC 2:1; Non-Classical Monocyte:1	not_available:696; Memory B Cell:261; Naive B Cell:27; Conventional DC 2:19; Conventional DC 1:16	not_available:1064	Study=vaccination_study_01; lineage=B_lineage; cluster=10; cells=1064; final=B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.432; best_total_score=0.946; score_margin=0.413; CellTypist=Classical Monocyte:1060; CD4 Naive / T Central Memory:1; Memory B Cell:1; Conventional DC 2:1; Non-Classical Monocyte:1; PanHuman=not_available:696; Memory B Cell:261; Naive B Cell:27; Conventional DC 2:19; Conventional DC 1:16; scRefMap=not_available:1064; review_reasons=parent_or_broad_final_label,marker_assignment_disagrees_with_final,screfmapping_not_available.
vaccination_study_01	B_lineage	11	1005	medium	4	raw_marker_winner_changed_by_policy;screfmapping_not_available	accept	Memory B Cell	Memory B Cell	Naive B Cell	source_supported_marker_tiebreak	0.4817661691542289	2.8893107893759185	2.0917237246993015	Memory B Cell:917; Naive B Cell:81; B Cell:7	Memory B Cell:920; Naive B Cell:73; not_available:12	not_available:1005	Study=vaccination_study_01; lineage=B_lineage; cluster=11; cells=1005; final=Memory B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Naive B Cell; assignment_reason=source_supported_marker_tiebreak; marker_score=0.482; best_total_score=2.889; score_margin=2.092; CellTypist=Memory B Cell:917; Naive B Cell:81; B Cell:7; PanHuman=Memory B Cell:920; Naive B Cell:73; not_available:12; scRefMap=not_available:1005; review_reasons=raw_marker_winner_changed_by_policy,screfmapping_not_available.
vaccination_study_01	B_lineage	12	957	low	2	screfmapping_not_available	accept	Memory B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.5260313479623824	3.1172539184952974	2.6242549634273766	Memory B Cell:857; B Cell:73; Naive B Cell:27	Memory B Cell:943; Naive B Cell:8; not_available:6	not_available:957	Study=vaccination_study_01; lineage=B_lineage; cluster=12; cells=957; final=Memory B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.526; best_total_score=3.117; score_margin=2.624; CellTypist=Memory B Cell:857; B Cell:73; Naive B Cell:27; PanHuman=Memory B Cell:943; Naive B Cell:8; not_available:6; scRefMap=not_available:957; review_reasons=screfmapping_not_available.
vaccination_study_01	B_lineage	13	883	low	2	screfmapping_not_available	accept	Memory B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.6531189127972821	3.250174405436014	2.958836361048335	Memory B Cell:866; Naive B Cell:8; B Cell:8; Plasma Cell:1	Memory B Cell:881; not_available:1; Naive B Cell:1	not_available:883	Study=vaccination_study_01; lineage=B_lineage; cluster=13; cells=883; final=Memory B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.653; best_total_score=3.250; score_margin=2.959; CellTypist=Memory B Cell:866; Naive B Cell:8; B Cell:8; Plasma Cell:1; PanHuman=Memory B Cell:881; not_available:1; Naive B Cell:1; scRefMap=not_available:883; review_reasons=screfmapping_not_available.
vaccination_study_01	B_lineage	14	876	low	2	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.7671860730593607	3.324720319634703	2.995268264840182	Naive B Cell:844; Memory B Cell:32	Naive B Cell:752; Memory B Cell:97; not_available:27	not_available:876	Study=vaccination_study_01; lineage=B_lineage; cluster=14; cells=876; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.767; best_total_score=3.325; score_margin=2.995; CellTypist=Naive B Cell:844; Memory B Cell:32; PanHuman=Naive B Cell:752; Memory B Cell:97; not_available:27; scRefMap=not_available:876; review_reasons=screfmapping_not_available.
vaccination_study_01	B_lineage	15	793	low	2	screfmapping_not_available	accept	Memory B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.5895132408575032	3.1895132408575035	2.7870526866402545	Memory B Cell:787; Naive B Cell:6	Memory B Cell:793	not_available:793	Study=vaccination_study_01; lineage=B_lineage; cluster=15; cells=793; final=Memory B Cell; marker_assignment=Memory B Cell; raw_marker_winner=Memory B Cell; assignment_reason=raw_marker_winner; marker_score=0.590; best_total_score=3.190; score_margin=2.787; CellTypist=Memory B Cell:787; Naive B Cell:6; PanHuman=Memory B Cell:793; scRefMap=not_available:793; review_reasons=screfmapping_not_available.
vaccination_study_01	B_lineage	16	764	low	2	screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.6996858638743455	3.2868586387434555	3.1295287958115185	Naive B Cell:736; Memory B Cell:27; CD4 Naive / T Central Memory:1	Naive B Cell:730; Memory B Cell:23; not_available:11	not_available:764	Study=vaccination_study_01; lineage=B_lineage; cluster=16; cells=764; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.700; best_total_score=3.287; score_margin=3.130; CellTypist=Naive B Cell:736; Memory B Cell:27; CD4 Naive / T Central Memory:1; PanHuman=Naive B Cell:730; Memory B Cell:23; not_available:11; scRefMap=not_available:764; review_reasons=screfmapping_not_available.
vaccination_study_01	B_lineage	17	755	low	3	raw_marker_winner_changed_by_policy;screfmapping_not_available	accept	Naive B Cell	Naive B Cell	Memory B Cell	source_supported_marker_tiebreak	0.4645299917565934	2.2922847682119203	0.11941040559439964	Naive B Cell:423; Memory B Cell:294; NK Cell:13; CD4 Naive / T Central Memory:12; CD4 T Effector Memory:6	Memory B Cell:382; Naive B Cell:314; not_available:50; CD4 Naive / T Central Memory:5; Treg:4	not_available:755	Study=vaccination_study_01; lineage=B_lineage; cluster=17; cells=755; final=Naive B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Memory B Cell; assignment_reason=source_supported_marker_tiebreak; marker_score=0.465; best_total_score=2.292; score_margin=0.119; CellTypist=Naive B Cell:423; Memory B Cell:294; NK Cell:13; CD4 Naive / T Central Memory:12; CD4 T Effector Memory:6; PanHuman=Memory B Cell:382; Naive B Cell:314; not_available:50; CD4 Naive / T Central Memory:5; Treg:4; scRefMap=not_available:755; review_reasons=raw_marker_winner_changed_by_policy,screfmapping_not_available.
