study	broad_lineage	cluster	n_cells	chosen_label	accepted	best_candidate_before_parent_fallback	best_total_score	second_total_score	score_margin	marker_pct	marker_winner_fraction	source_fraction	source_count_mean	marker_availability	cluster_reason	top_celltypist_label	top_azimuth_pbmc_l2_label	top_azimuth_pbmc_l3_label	top_panhuman_fine_label	top_panhuman_medium_label	top_cluster_consensus_label	top_screfmapping_label	median_n_genes_by_counts	median_total_counts	median_pct_counts_mt
vaccination_study_04	Myeloid/DC	Myeloid_lineage:0	5886	Non-Classical Monocyte	True	Non-Classical Monocyte	2.5269394464376953	0.7922280325606282	1.7347114138770672	0.9231741466737304	0.42932381923207613	0.711907188971409	4.983350322799864	1.0	cluster_consensus_marker_source_support	Non-Classical Monocyte:5872; Classical Monocyte:13; NK Cell:1	Non-Classical Monocyte:5885; Lymphoid Cell:1	Non-Classical Monocyte:5885; Lymphoid Cell:1	Non-Classical Monocyte:5833; Intermediate Monocyte:38; Blood Cell:14; Conventional DC 2:1	Monocyte:5871; Blood Cell:14; DC:1	Non-Classical Monocyte:5857; Classical Monocyte:29	not_available:5886	3052.0	8944.0	6.3838701248168945
vaccination_study_04	Myeloid/DC	Myeloid_lineage:1	5457	Classical Monocyte	True	Classical Monocyte	2.3534720504243247	0.7495602845920829	1.6039117658322417	0.9122076742601983	0.22210005497526114	0.7130553155841776	4.991387209089243	1.0	cluster_consensus_marker_source_support	Classical Monocyte:5457	Classical Monocyte:5457	Classical Monocyte:5457	Classical Monocyte:5410; Blood Cell:47	Monocyte:5410; Blood Cell:47	Classical Monocyte:5457	not_available:5457	2989.0	8883.0	5.802596569061279
vaccination_study_04	Myeloid/DC	Myeloid_lineage:2	5421	Classical Monocyte	True	Classical Monocyte	2.0791215443466142	0.7916038383656552	1.287517705980959	0.7466737304170136	0.09094263051097584	0.7022953066118535	4.916067146282973	1.0	cluster_consensus_marker_source_support	Classical Monocyte:5417; Non-Classical Monocyte:2; Conventional DC 2:2	Classical Monocyte:5416; Lymphoid Cell:4; Non-Classical Monocyte:1	Classical Monocyte:5416; Lymphoid Cell:4; Non-Classical Monocyte:1	Classical Monocyte:4984; Blood Cell:330; Intermediate Monocyte:44; Conventional DC 2:36	Monocyte:5055; Blood Cell:326; DC:36; Myeloid Cell:4	Classical Monocyte:5417; Conventional DC 2:4	not_available:5421	3504.0	10000.0	4.179502487182617
vaccination_study_04	Myeloid/DC	Myeloid_lineage:3	5343	Classical Monocyte	True	Classical Monocyte	2.003730978570732	0.8673712203385535	1.1363597582321785	0.6994626504200409	0.04604154969118473	0.7038849228630251	4.927194460041175	1.0	cluster_consensus_marker_source_support	Classical Monocyte:5340; Non-Classical Monocyte:3	Classical Monocyte:5339; Non-Classical Monocyte:4	Classical Monocyte:5339; Non-Classical Monocyte:4	Classical Monocyte:4970; Blood Cell:199; Conventional DC 2:96; Intermediate Monocyte:66	Monocyte:5047; Blood Cell:199; DC:97	Classical Monocyte:5338; Conventional DC 2:5	not_available:5343	3226.0	9803.0	5.886824607849121
vaccination_study_04	Myeloid/DC	Myeloid_lineage:4	3752	Conventional DC 2	True	Conventional DC 2	1.848396942857046	0.8679733986219232	0.9804235442351227	0.8522818436388405	0.18443496801705758	0.49147121535181226	3.4402985074626864	1.0	cluster_consensus_marker_source_support	Conventional DC 2:2744; Classical Monocyte:995; Blood Cell:11; Plasmacytoid DC:2	Conventional DC 2:3022; Classical Monocyte:718; Blood Cell:9; Conventional DC 1:1	Blood Cell:3017; Classical Monocyte:731; Lymphoid Cell:3; Conventional DC 1:1	Conventional DC 2:3447; Blood Cell:184; Classical Monocyte:120; Conventional DC 1:1	DC:3448; Blood Cell:184; Monocyte:120	Conventional DC 2:3695; Classical Monocyte:51; Plasmacytoid DC:4; NK Cell:2	not_available:3752	3619.0	12935.5	6.328158378601074
vaccination_study_04	Myeloid/DC	Myeloid_lineage:5	3677	Classical Monocyte	True	Classical Monocyte	2.036887770279772	1.0003002745686813	1.0365874957110908	0.7380004540982366	0.022844710361707914	0.7128482070010489	4.989937449007343	1.0	cluster_consensus_marker_source_support	Classical Monocyte:3677	Classical Monocyte:3676; CD8 Cytotoxic / T Effector Memory:1	Classical Monocyte:3676; Blood Cell:1	Classical Monocyte:3648; Blood Cell:27; Non-Classical Monocyte:2	Monocyte:3650; Blood Cell:27	Classical Monocyte:3671; Conventional DC 2:6	not_available:3677	3480.0	10759.0	4.0795769691467285
vaccination_study_04	Myeloid/DC	Myeloid_lineage:6	3501	Classical Monocyte	True	Classical Monocyte	1.7827573122741842	0.7891044313563772	0.993652880917807	0.5341708923030349	0.0011425307055127106	0.684783939282654	4.7934875749785775	1.0	cluster_consensus_marker_source_support	Classical Monocyte:3464; Non-Classical Monocyte:36; Conventional DC 2:1	Classical Monocyte:3454; Non-Classical Monocyte:42; Lymphoid Cell:5	Classical Monocyte:3454; Non-Classical Monocyte:42; Lymphoid Cell:5	Classical Monocyte:2940; Intermediate Monocyte:213; Blood Cell:203; Non-Classical Monocyte:123	Monocyte:3276; Blood Cell:203; DC:19; Granulocyte:3	Classical Monocyte:3470; Conventional DC 2:22; Non-Classical Monocyte:9	not_available:3501	3877.0	12712.0	3.907991886138916
vaccination_study_04	Myeloid/DC	Myeloid_lineage:7	3017	Classical Monocyte	True	Classical Monocyte	2.173629586950253	0.7015601538053957	1.4720694331448572	0.7937183077272383	0.14915478952601924	0.7052417254604858	4.936692078223401	1.0	cluster_consensus_marker_source_support	Classical Monocyte:3017	Classical Monocyte:3007; Lymphoid Cell:6; CD8 Cytotoxic / T Effector Memory:4	Classical Monocyte:3008; Lymphoid Cell:6; Blood Cell:3	Classical Monocyte:2867; Blood Cell:108; Conventional DC 2:28; Non-Classical Monocyte:13	Monocyte:2881; Blood Cell:106; DC:28; Myeloid Cell:2	Classical Monocyte:2995; Conventional DC 2:22	not_available:3017	3294.0	9931.0	6.758199691772461
vaccination_study_04	Myeloid/DC	Myeloid_lineage:8	2583	Classical Monocyte	True	Classical Monocyte	2.015937200665909	0.8919783521811142	1.1239588484847947	0.6999772950881707	0.06465350367789392	0.7022288590232841	4.915602013162989	1.0	cluster_consensus_marker_source_support	Classical Monocyte:2581; Conventional DC 2:1; Non-Classical Monocyte:1	Classical Monocyte:2569; Lymphoid Cell:11; Non-Classical Monocyte:3	Classical Monocyte:2569; Lymphoid Cell:11; Non-Classical Monocyte:3	Classical Monocyte:2396; Blood Cell:104; Conventional DC 2:50; Non-Classical Monocyte:16	Monocyte:2428; Blood Cell:103; DC:50; Granulocyte:1	Classical Monocyte:2582; Conventional DC 2:1	not_available:2583	3040.0	8423.0	4.011936664581299
vaccination_study_04	Myeloid/DC	Myeloid_lineage:9	2565	Non-Classical Monocyte	True	Non-Classical Monocyte	2.3055179760074864	0.7418190337385548	1.5636989422689316	0.8592144100507076	0.247953216374269	0.7020328599275968	4.914230019493178	1.0	cluster_consensus_marker_source_support	Non-Classical Monocyte:2493; Classical Monocyte:70; CD8 Cytotoxic / T Effector Memory:1; Blood Cell:1	Non-Classical Monocyte:2507; Classical Monocyte:37; Lymphoid Cell:17; CD4 Naive / T Central Memory:4	Non-Classical Monocyte:2507; Classical Monocyte:37; Lymphoid Cell:21	Non-Classical Monocyte:2538; Intermediate Monocyte:20; Blood Cell:6; Conventional DC 2:1	Monocyte:2558; Blood Cell:6; DC:1	Non-Classical Monocyte:2560; Classical Monocyte:5	not_available:2565	3307.0	9045.0	4.142947673797607
