study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Non-Classical Monocyte	terminal	5886	FCGR3A,MS4A7,CX3CR1,LST1,IFITM3,RHOC	FCGR3A,MS4A7,CX3CR1	S100A8,S100A9,VCAN,CD1C	1.525271728801289	1.8783996623532224	0.7062558671038672	1.0	1.0	1.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Myeloid Cell	parent	5886	LYZ,LST1,TYROBP,CST3,FCER1G	LYZ,LST1	CD79A,NKG7	2.638853197536459	2.6839931231117395	0.09027985115056131	1.0	0.88759982586922	2.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Eosinophil	terminal	5886	RNASE2,PRG2,IL5RA	RNASE2	S100A8	-0.2865544829088492	0.0031189888442328217	0.579346943506164	0.3333333333333333	0.8815184641070166	3.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:1	Monocyte	parent	5457	LYZ,LST1,FCN1,S100A8,S100A9,MS4A7,FCGR3A	LYZ,LST1	CLEC4C	2.8430493169531292	2.844299356414965	0.00250007892367122	1.0	1.0	1.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:1	Classical Monocyte	terminal	5457	LYZ,LST1,FCN1,VCAN,S100A8,S100A9,CTSS,LGALS3	FCN1,VCAN,S100A8	FCGR3A,MS4A7,CD1C,CLEC4C	3.3807964768750187	3.4342389561294615	0.10688495850888542	1.0	1.0	2.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:1	Granulocyte	parent	5457	S100A8,S100A9,CSF3R,FCGR3B	S100A8,S100A9		2.8933170501887524	2.8933170501887524	0.0	1.0	1.0	3.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:10	Non-Classical Monocyte	terminal	2458	FCGR3A,MS4A7,CX3CR1,LST1,IFITM3,RHOC	FCGR3A,MS4A7,CX3CR1	S100A8,S100A9,VCAN,CD1C	1.1969927655619343	1.5172897728207007	0.6405940145175325	1.0	0.9474094232268453	1.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:10	Eosinophil	terminal	2458	RNASE2,PRG2,IL5RA	RNASE2	S100A8	-0.2383517115229121	0.003986186478999303	0.48467579600382277	0.3333333333333333	0.9051811075838051	2.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:10	Conventional DC 1	terminal	2458	CLEC9A,BATF3,CADM1,IRF8,C1orf54	CLEC9A,BATF3	CD1C,FCER1A,CLEC4C,S100A8	0.03679662538151294	0.09861956126351391	0.12364587176400195	0.6666666666666666	0.737966408374412	3.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:11	Basophil	terminal	2348	CPA3,GATA2,IL3RA,KIT	CPA3	LST1	0.3525685540303664	0.4603755499666249	0.21561399187251698	0.3333333333333333	1.0	1.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:11	Mast Cell	terminal	2348	CPA3,KIT	CPA3	LST1	-0.1066658101544368	0.0011411857818216847	0.21561399187251698	0.3333333333333333	1.0	2.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:11	Eosinophil	terminal	2348	RNASE2,PRG2,IL5RA	RNASE2	S100A8	-0.04606052982890085	0.005654322058554742	0.10342970377491117	0.3333333333333333	0.9995764617373056	3.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:12	Eosinophil	terminal	2249	RNASE2,PRG2,IL5RA	RNASE2	S100A8	-0.04433496454538761	0.0029194151955886263	0.09450875948195248	0.3333333333333333	1.0	1.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:12	Basophil	terminal	2249	CPA3,GATA2,IL3RA,KIT	CPA3	LST1	0.3669664373380335	0.48227903666285316	0.23062519864963923	0.3333333333333333	1.0	2.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:12	Plasmacytoid DC	terminal	2249	LILRA4,CLEC4C,IL3RA,TCF4,IRF7,GZMB,JCHAIN,SPIB	LILRA4,CLEC4C,IL3RA,TCF4	CD1C,FCN1,S100A8	2.1459340878605087	2.1696289444616395	0.047389713202262075	1.0	1.0	3.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:13	Non-Classical Monocyte	terminal	1717	FCGR3A,MS4A7,CX3CR1,LST1,IFITM3,RHOC	FCGR3A,MS4A7,CX3CR1	S100A8,S100A9,VCAN,CD1C	1.123295787350862	1.4842818515309082	0.7219721283600923	1.0	0.9174496242979353	1.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:13	Eosinophil	terminal	1717	RNASE2,PRG2,IL5RA	RNASE2	S100A8	-0.3187857527040644	0.00694531207523446	0.6514621295585977	0.3333333333333333	0.86569619862228	2.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:13	Myeloid Cell	parent	1717	LYZ,LST1,TYROBP,CST3,FCER1G	LYZ,LST1	CD79A,NKG7	2.3149523474948657	2.3415280213762872	0.053151347762842686	1.0	0.7155437850134613	3.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:14	Conventional DC 2	terminal	1623	CD1C,FCER1A,CLEC10A,CST3,HLA-DRA,CD74	CD1C,FCER1A,CLEC10A	CLEC4C,LILRA4,S100A8,S100A9	2.002946290799812	2.4334661135758724	0.8610396455521211	1.0	0.9289110177582559	1.0
