study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
vaccination_study_04	B_lineage	B_lineage:0	B Cell	parent	12	CD79A,CD79B,CD74,HLA-DRA,BANK1,CD37	CD79A,CD79B	CD3E,LST1,NKG7	0.907674423108498	0.9318942870530815	0.04843972788916694	1.0	0.4432009085323868	4.0
vaccination_study_04	B_lineage	B_lineage:0	Plasma Cell	terminal	12	MZB1,XBP1,PRDM1,JCHAIN,IRF4,TNFRSF17,IGHA1	MZB1,XBP1,PRDM1,JCHAIN	CD79A,LST1	1.4428448340012914	1.7601344447050777	0.6345792214075724	1.0	0.49647887485610526	3.0
vaccination_study_04	B_lineage	B_lineage:0	Plasmablast	terminal	12	MZB1,XBP1,PRDM1,JCHAIN,IRF4,TNFRSF17,MKI67	MZB1,XBP1,JCHAIN	LST1	1.4558451629820326	1.528504754815783	0.14531918366750082	1.0	0.5332060478650429	1.0
vaccination_study_04	B_lineage	B_lineage:0	Naive B Cell	terminal	12	CD79A,CD79B,TCL1A,IGHD,IGHM,FCER2,IL4R,BANK1	TCL1A,IGHD,IGHM	MZB1,JCHAIN	-1.3102394215141733	0.33092742941031855	3.2823337018489838	1.0	0.28321207597968934	5.0
vaccination_study_04	B_lineage	B_lineage:0	Memory B Cell	terminal	12	CD79A,CD79B,FCRL5,ITGAX,AIM2,BANK1,CD86	FCRL5	TCL1A,IGHD,IGHM,MZB1,JCHAIN	-0.3170437766682534	0.3996342466700644	1.4333560466766355	0.3333333333333333	0.5060927248325299	2.0
vaccination_study_04	B_lineage	B_lineage:1	B Cell	parent	10	CD79A,CD79B,CD74,HLA-DRA,BANK1,CD37	CD79A,CD79B	CD3E,LST1,NKG7	0.5953920004268488	0.6715243217845759	0.1522646427154541	1.0	0.05492025792956889	4.0
vaccination_study_04	B_lineage	B_lineage:1	Plasma Cell	terminal	10	MZB1,XBP1,PRDM1,JCHAIN,IRF4,TNFRSF17,IGHA1	MZB1,XBP1,PRDM1,JCHAIN	CD79A,LST1	2.015693015073027	2.356585373197283	0.6817847162485122	1.0	0.8298829704713543	1.0
vaccination_study_04	B_lineage	B_lineage:1	Plasmablast	terminal	10	MZB1,XBP1,PRDM1,JCHAIN,IRF4,TNFRSF17,MKI67	MZB1,XBP1,JCHAIN	LST1	1.3966333082744053	1.6250302723475865	0.4567939281463623	1.0	0.4818599365106261	2.0
vaccination_study_04	B_lineage	B_lineage:1	Naive B Cell	terminal	10	CD79A,CD79B,TCL1A,IGHD,IGHM,FCER2,IL4R,BANK1	TCL1A,IGHD,IGHM	MZB1,JCHAIN	-1.5750349026173354	0.18794563002884387	3.5259610652923583	1.0	0.036869799528422585	5.0
vaccination_study_04	B_lineage	B_lineage:1	Memory B Cell	terminal	10	CD79A,CD79B,FCRL5,ITGAX,AIM2,BANK1,CD86	FCRL5	TCL1A,IGHD,IGHM,MZB1,JCHAIN	-0.3534046812568392	0.35178753180163247	1.4103844261169434	0.3333333333333333	0.44583186814513054	3.0
vaccination_study_04	B_lineage	B_lineage:2	B Cell	parent	10	CD79A,CD79B,CD74,HLA-DRA,BANK1,CD37	CD79A,CD79B	CD3E,LST1,NKG7	0.7983575110634167	0.7983575110634167	0.0	1.0	0.30728022056582244	4.0
vaccination_study_04	B_lineage	B_lineage:2	Plasma Cell	terminal	10	MZB1,XBP1,PRDM1,JCHAIN,IRF4,TNFRSF17,IGHA1	MZB1,XBP1,PRDM1,JCHAIN	CD79A,LST1	2.071623154836042	2.408631927626474	0.6740175455808639	1.0	0.8624349419735337	2.0
vaccination_study_04	B_lineage	B_lineage:2	Plasmablast	terminal	10	MZB1,XBP1,PRDM1,JCHAIN,IRF4,TNFRSF17,MKI67	MZB1,XBP1,JCHAIN	LST1	1.89921675665038	1.89921675665038	0.0	1.0	0.9176798552181462	1.0
vaccination_study_04	B_lineage	B_lineage:2	Naive B Cell	terminal	10	CD79A,CD79B,TCL1A,IGHD,IGHM,FCER2,IL4R,BANK1	TCL1A,IGHD,IGHM	MZB1,JCHAIN	-1.4604196958243847	0.30218668654561043	3.5252127647399902	1.0	0.14349764241939778	5.0
vaccination_study_04	B_lineage	B_lineage:2	Memory B Cell	terminal	10	CD79A,CD79B,FCRL5,ITGAX,AIM2,BANK1,CD86	FCRL5	TCL1A,IGHD,IGHM,MZB1,JCHAIN	-0.2532684879643577	0.4517740649836404	1.4100851058959962	0.3333333333333333	0.6117873871702042	3.0
vaccination_study_04	B_lineage	B_lineage:3	B Cell	parent	10	CD79A,CD79B,CD74,HLA-DRA,BANK1,CD37	CD79A,CD79B	CD3E,LST1,NKG7	0.8789269829789799	0.8841866885622343	0.010519411166508992	1.0	0.40745738297368495	3.0
vaccination_study_04	B_lineage	B_lineage:3	Plasma Cell	terminal	10	MZB1,XBP1,PRDM1,JCHAIN,IRF4,TNFRSF17,IGHA1	MZB1,XBP1,PRDM1,JCHAIN	CD79A,LST1	2.006665013091905	2.339002192871911	0.6646743595600129	1.0	0.8246285716006143	2.0
vaccination_study_04	B_lineage	B_lineage:3	Plasmablast	terminal	10	MZB1,XBP1,PRDM1,JCHAIN,IRF4,TNFRSF17,MKI67	MZB1,XBP1,JCHAIN	LST1	1.9498870709112708	1.9656661876610344	0.03155823349952698	1.0	0.9616190902117068	1.0
