study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Myeloid Cell	parent	5886	LYZ,LST1,TYROBP,CST3,FCER1G	LYZ,LST1	CD79A,NKG7	2.638853197536459	2.6839931231117395	0.09027985115056131	1.0	0.88759982586922	2.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Monocyte	parent	5886	LYZ,LST1,FCN1,S100A8,S100A9,MS4A7,FCGR3A	LYZ,LST1	CLEC4C	1.9737174241178321	1.9740291464252675	0.000623444614870549	1.0	0.7691620754695175	5.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Classical Monocyte	terminal	5886	LYZ,LST1,FCN1,VCAN,S100A8,S100A9,CTSS,LGALS3	FCN1,VCAN,S100A8	FCGR3A,MS4A7,CD1C,CLEC4C	1.2504776991135433	1.7836168363735945	1.0662782745201025	1.0	0.36173907818446926	9.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Non-Classical Monocyte	terminal	5886	FCGR3A,MS4A7,CX3CR1,LST1,IFITM3,RHOC	FCGR3A,MS4A7,CX3CR1	S100A8,S100A9,VCAN,CD1C	1.525271728801289	1.8783996623532224	0.7062558671038672	1.0	1.0	1.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Intermediate Monocyte	terminal	5886	FCN1,LST1,MS4A7,HLA-DRA,CD74,S100A8	FCN1,MS4A7,HLA-DRA	CD1C,CLEC4C,NKG7	2.102218427074558	2.1315193965858925	0.05860193902266931	1.0	0.7595848932958564	6.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Granulocyte	parent	5886	S100A8,S100A9,CSF3R,FCGR3B	S100A8,S100A9		0.7110772404580488	0.7110772404580488	0.0	1.0	0.22934268563612556	12.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Neutrophil	terminal	5886	S100A8,S100A9,FCGR3B,CSF3R,CXCR2,NAMPT	S100A8,S100A9,FCGR3B	CD79A	0.9321509110254508	0.937650835534153	0.010999849017404433	1.0	0.35495121770031807	10.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Eosinophil	terminal	5886	RNASE2,PRG2,IL5RA	RNASE2	S100A8	-0.2865544829088492	0.0031189888442328217	0.579346943506164	0.3333333333333333	0.8815184641070166	3.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Basophil	terminal	5886	CPA3,GATA2,IL3RA,KIT	CPA3	LST1	-1.5570844943042448	0.10168577337683746	3.3175405353621645	0.3333333333333333	0.0	13.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Mast Cell	terminal	5886	CPA3,KIT	CPA3	LST1	-1.658715463164628	5.480451645431493e-05	3.3175405353621645	0.3333333333333333	0.0	14.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	DC	parent	5886	HLA-DRA,CD74,CST3,FCER1A,CD1C,CLEC4C	HLA-DRA,CD74	S100A8	1.0270177109779002	1.3166911827309822	0.579346943506164	1.0	0.6696243408550105	7.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Plasmacytoid DC	terminal	5886	LILRA4,CLEC4C,IL3RA,TCF4,IRF7,GZMB,JCHAIN,SPIB	LILRA4,CLEC4C,IL3RA,TCF4	CD1C,FCN1,S100A8	-0.3812590403126202	0.11567714450468863	0.9938723696346176	1.0	0.2394807188269965	11.0
vaccination_study_04	Myeloid_lineage	Myeloid_lineage:0	Conventional DC 1	terminal	5886	CLEC9A,BATF3,CADM1,IRF8,C1orf54	CLEC9A,BATF3	CD1C,FCER1A,CLEC4C,S100A8	0.07238818797663567	0.14672771838553453	0.14867906081779775	0.6666666666666666	0.7923089956271667	4.0
