study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_04	Myeloid_lineage	0	Non-Classical Monocyte	1	5875	0.9344584878528722	0.9994893617021277	1.0	0.0494272340425532	0.08134468085106383	0.13077191489361703	0.8692280851063829	0.8692280851063829	0.0	1.0	0.873645390070922	0.9994893617021277	0.9656170212765958	0.9981276595744681	1.9017999271535513	0.11097872340425533	0.03297872340425532	0.1807659574468085	0.1807659574468085	S100A8;S100A9;VCAN;CD1C	NKG7		0.0	0.0	1.0	1.0	0.0	3.469228085106383
vaccination_study_04	Myeloid_lineage	0	Classical Monocyte	2	5875	0.3809732838870809	0.7113191489361702	0.7123470279005842	0.5	0.11558297872340426	0.6	0.11234702790058426	0.11234702790058426	0.0	1.0	0.42304255319148937	0.7113191489361702	0.041191489361702124	0.7068936170212766	1.0041115158576561	0.9993191489361702	0.6504964539007093	0.25685106382978723	0.25685106382978723	FCGR3A;MS4A7;CD1C	HLA-DRA		0.0	0.0	0.004765957446808511	1.0	0.0	1.119972559815478
vaccination_study_04	Myeloid_lineage	0	Conventional DC 1	3	5875	0.6815409066828124	0.6815409066828124	1.0	0.02326354609929078	0.11558297872340426	0.13884652482269505	0.8611534751773049	0.8611534751773049	0.0	0.6153191489361702	0.3666382978723404	0.4777872340425532	0.4777872340425532	0.4777872340425532	2.6738543710509846	0.051234042553191486	0.01724822695035461	0.25685106382978723	0.25685106382978723	CD1C;FCER1A;S100A8	HLA-DRA		0.0	0.0	0.0	0.0	0.0	0.8611534751773049
vaccination_study_04	Myeloid_lineage	0	Intermediate Monocyte	4	5875	0.6389464920911224	0.9899574468085106	1.0	0.09155234042553191	0.37571489361702126	0.46726723404255316	0.5327327659574468	0.5327327659574468	0.0	1.0	0.5224113475177304	0.9899574468085106	0.729872340425532	0.9457021276595745	1.0459248521333782	0.18638297872340426	0.0942127659574468	0.9981276595744681	0.5085106382978724	CD1C;NKG7	VCAN;FCGR3A		0.0	0.0	0.006297872340425532	0.0	0.0	0.5428093617021277
vaccination_study_04	Myeloid_lineage	0	Plasmacytoid DC	5	5875	0.49175811700597893	0.49259574468085104	0.49259574468085104	0.3246354609929078	0.0910851063829787	0.4157205673758865	0.07687517730496457	0.07687517730496457	0.0	0.6902127659574468	0.2391063829787234	0.49259574468085104	0.05480851063829787	0.41940425531914893	0.8724078677545899	0.7102978723404255	0.24873758865248227	0.2425531914893617	0.12212765957446808	CD1C;FCN1;S100A8	XBP1;PRDM1		0.0	0.0	0.0	0.0	0.0	0.07687517730496457
vaccination_study_04	Myeloid_lineage	0	Conventional DC 2	6	5875	0.3459169000227049	0.3459169000227049	0.03591489361702128	0.04619404255319149	0.42800425531914893	0.4741982978723404	0.0	0.0	0.0	0.7879148936170213	0.20102127659574467	0.03591489361702128	0.0005106382978723404	0.01651063829787234	0.16649982898852655	0.09106382978723404	0.05268085106382979	1.0	0.8533617021276596	S100A8;S100A9	FCN1;LST1		0.0	0.0	0.00017021276595744682	0.00017021276595744682	0.0	0.00044255319148936174
vaccination_study_04	Myeloid_lineage	0	Basophil	7	5875	0.2772799515628548	0.41940425531914893	0.41940425531914893	0.5	0.005591489361702127	0.5055914893617022	0.0	0.0	0.0	0.41940425531914893	0.41940425531914893	0.41940425531914893	0.0	0.41940425531914893	1.0089152231496825	0.9998297872340426	0.9998297872340426	0.012425531914893618	0.012425531914893618	LST1	FCER1A		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	Myeloid_lineage	0	Eosinophil	8	5875	0.4298796639673049	0.4298796639673049	0.010553191489361702	0.018995744680851065	0.0	0.018995744680851065	0.0	0.0	0.0	0.005276595744680851	0.005276595744680851	0.005276595744680851	0.005276595744680851	0.005276595744680851	0.10017395742600826	0.03165957446808511	0.03165957446808511	0.0	0.0	S100A8			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	Myeloid_lineage	0	Neutrophil	9	5875	0.29296904563687276	0.29296904563687276	0.09106382978723404	0.0	0.42800425531914893	0.42800425531914893	0.0	0.0	0.0	0.681531914893617	0.19846808510638297	0.09106382978723404	0.014297872340425531	0.07370212765957447	0.17700893468135323	0.0	0.0	1.0	0.8533617021276596		FCN1;LST1		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	Myeloid_lineage	0	Mast Cell	10	5875	0.5000075683039431	0.5000075683039431	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9998297872340426	0.9998297872340426	0.0	0.0	LST1			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	Myeloid_lineage	1	Classical Monocyte	1	5663	0.6795731476576099	0.9962917181705809	1.0	0.24668550238389547	0.1891223733003708	0.43580787568426627	0.5641921243157337	0.5641921243157337	0.0	0.99982341515098	0.8218921066572489	0.9962917181705809	0.9675083877803284	0.9676849726293484	1.4008072626624257	0.534875507681441	0.19742186120430869	0.42027194066749074	0.42027194066749074	FCGR3A;MS4A7;CD1C	HLA-DRA		0.0	0.0	0.9992936606039202	0.9996468303019601	0.0	3.1627088115839666
vaccination_study_04	Myeloid_lineage	1	Neutrophil	2	5663	0.7265269053205177	0.934487021013597	1.0	0.0	0.3779268938725057	0.3779268938725057	0.6220731061274942	0.6220731061274942	0.0	0.9895814939078227	0.8774501147801518	0.934487021013597	0.8783330390252516	0.9101183118488434	1.6542282413198188	0.0	0.0	0.9452586968038142	0.6289952322090765		FCN1;LST1		0.0	0.0	0.0	0.0	0.0	0.6220731061274942
vaccination_study_04	Myeloid_lineage	1	Intermediate Monocyte	3	5663	0.5030348898811776	0.9743951968921066	1.0	0.06293130849373124	0.36930513861910647	0.4322364471128377	0.5677635528871623	0.5677635528871623	0.0	0.9994702454529402	0.5898228265348168	0.9743951968921066	0.6570722232032492	0.9189475542998411	1.029647215525313	0.126964506445347	0.06674907292954264	0.9763376302313261	0.5093589969980575	CD1C;NKG7	VCAN;FCGR3A		0.0	0.0	0.01377361822355642	0.0	0.0	0.5898013420448526
vaccination_study_04	Myeloid_lineage	1	Non-Classical Monocyte	4	5663	0.44951184439567093	0.5919124139148861	0.6254015293935302	0.5	0.032977220554476425	0.5329772205544764	0.09242430883905384	0.09242430883905384	0.0	0.800105950909412	0.2335628936370593	0.5919124139148861	0.11195479427865089	0.48101712873035496	1.1339564619145763	0.9834010241921243	0.7101801165460003	0.07328271234328095	0.07328271234328095	S100A8;S100A9;VCAN;CD1C	NKG7		0.0	0.0	0.012714109129436693	0.021543351580434397	0.0	0.13431023502658695
vaccination_study_04	Myeloid_lineage	1	Basophil	5	5663	0.2772799515628548	0.2964859615045029	0.2964859615045029	0.20342574607098712	0.008740950026487726	0.21216669609747485	0.08431926540702805	0.08431926540702805	0.0	0.2964859615045029	0.2964859615045029	0.2964859615045029	0.0	0.2964859615045029	0.7201101256291421	0.33904291011831184	0.33904291011831184	0.01942433339219495	0.01942433339219495	LST1	FCER1A		0.0	0.0	0.0	0.0	0.0	0.08431926540702805
vaccination_study_04	Myeloid_lineage	1	Conventional DC 2	6	5663	0.4123666086430031	0.4123666086430031	0.18629701571605156	0.5	0.3779268938725057	0.6	0.0	0.0	0.0	0.7137559597386545	0.25313438107010416	0.18629701571605156	0.027370651598092884	0.1368532579904644	0.7118260976556964	0.934487021013597	0.9064100300194243	0.9452586968038142	0.6289952322090765	S100A8;S100A9	FCN1;LST1		0.0	0.0	0.02595797280593325	0.010595090941197245	0.0	0.05212784743069045
vaccination_study_04	Myeloid_lineage	1	Eosinophil	7	5663	0.4298796639673049	0.4298796639673049	0.2972237432112675	0.5	0.0	0.5	0.0	0.0	0.0	0.14585908529048208	0.14585908529048208	0.14585908529048208	0.14585908529048208	0.14585908529048208	1.0220222905212133	0.9027017481900053	0.9027017481900053	0.0	0.0	S100A8			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	Myeloid_lineage	1	Mast Cell	8	5663	0.5000075683039431	0.5000075683039431	0.0	0.20342574607098712	0.0	0.20342574607098712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.33904291011831184	0.33904291011831184	0.0	0.0	LST1			0.0	0.0	0.0	0.0	0.0	0.0
