study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_04	T_NK_lineage	0	gdT Cell	1	38	0.9959963672141072	1.0	1.0	0.12631578947368421	0.09868421052631579	0.225	0.775	0.775	0.0	1.0	1.0	1.0	0.0	1.0	1.9199718375968082	0.21052631578947367	0.21052631578947367	0.2631578947368421	0.13157894736842105	LST1	NKG7;GNLY		0.0	0.0	0.0	0.0	0.0	0.775
vaccination_study_04	T_NK_lineage	0	CD4 Naive / T Central Memory	2	38	0.9863013698630136	1.0	1.0	0.4607017543859649	0.0	0.4607017543859649	0.5392982456140352	0.5392982456140352	0.0	1.0	0.6491228070175439	1.0	0.23684210526315788	1.0	1.7183364839319473	0.9736842105263158	0.41228070175438597	0.0	0.0	NKG7;GNLY;GZMB			0.0	0.0	0.0	0.0	0.0	0.5392982456140352
vaccination_study_04	T_NK_lineage	0	CD4 T Effector Memory	3	38	0.671338832967532	1.0	1.0	0.11605263157894737	0.3539473684210527	0.47000000000000003	0.53	0.53	0.0	1.0	0.43421052631578944	1.0	0.05263157894736842	1.0	1.5491384207536452	0.23684210526315788	0.11842105263157894	0.9736842105263158	0.41228070175438597	CCR7;TCF7	NKG7;GNLY;GZMB		0.0	0.0	0.0	0.0	0.0	0.53
vaccination_study_04	T_NK_lineage	0	CD8 Cytotoxic / T Effector Memory	4	38	0.9698024672670854	0.9698024672670854	0.2631578947368421	0.11605263157894737	0.0	0.11605263157894737	0.14710526315789474	0.14710526315789474	0.0	1.0	0.33082706766917297	0.2631578947368421	0.0	0.2631578947368421	0.4051600343102767	0.23684210526315788	0.11842105263157894	0.0	0.0	CCR7;TCF7	KLRD1;FCGR3A		0.0	0.0	0.0	0.0	0.0	0.14710526315789474
vaccination_study_04	T_NK_lineage	0	NKT Cell	5	38	0.659766896238553	0.659766896238553	0.2631578947368421	0.12631578947368421	0.0	0.12631578947368421	0.13684210526315788	0.13684210526315788	0.0	1.0	0.25263157894736843	0.2631578947368421	0.0	0.2631578947368421	0.36870170761013515	0.21052631578947367	0.21052631578947367	0.0	0.0	LST1			0.0	0.0	0.0	0.0	0.0	0.13684210526315788
vaccination_study_04	T_NK_lineage	0	NK Cell	6	38	0.7223416332399909	0.7223416332399909	0.2631578947368421	0.5	0.0	0.5	0.0	0.0	0.0	1.0	0.31578947368421056	0.2631578947368421	0.0	0.2631578947368421	0.4022139515303437	1.0	0.6052631578947368	0.0	0.0	CD3E;LST1			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	T_NK_lineage	0	Treg	7	38	0.9957239082721563	0.9957239082721563	0.0	0.4607017543859649	0.08881578947368421	0.5495175438596491	0.0	0.0	0.0	1.0	0.5526315789473684	0.0	0.0	0.0	0.5031055900621119	0.9736842105263158	0.41228070175438597	0.23684210526315788	0.11842105263157894	NKG7;GNLY;GZMB	CCR7;TCF7		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	T_NK_lineage	0	CD8 Naive / T Central Memory	8	38	0.9849466434572012	0.9849466434572012	0.23684210526315788	0.4607017543859649	0.44999999999999996	0.6	0.0	0.0	0.0	1.0	0.5394736842105263	0.23684210526315788	0.0	0.23684210526315788	0.5984498810630288	0.9736842105263158	0.41228070175438597	1.0	1.0	NKG7;GNLY;GZMB	CD4		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	T_NK_lineage	0	MAIT Cell	9	38	0.9858094301067131	0.9858094301067131	0.05263157894736842	0.12631578947368421	0.3539473684210527	0.4802631578947369	0.0	0.0	0.0	1.0	0.5087719298245614	0.02631578947368421	0.02631578947368421	0.02631578947368421	0.06564559132712389	0.21052631578947367	0.21052631578947367	0.9736842105263158	0.41228070175438597	LST1	NKG7;GNLY;GZMB		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	T_NK_lineage	1	NK Cell	1	37	0.964852796488307	0.964852796488307	0.972972972972973	0.485945945945946	0.0	0.485945945945946	0.48702702702702705	0.48702702702702705	0.0	0.918918918918919	0.5521235521235521	0.5945945945945946	0.4864864864864865	0.5675675675675675	0.8902410863872416	0.918918918918919	0.6216216216216217	0.0	0.0	CD3E;LST1			0.0	0.0	0.5135135135135135	0.08108108108108109	0.0	1.38972972972973
