study	annotation_reason	n_cells
vaccination_study_06	independent_T_NK_lineage_subcluster_to_CD4_Naive_/_T_Central_Memory	33201
vaccination_study_06	independent_T_NK_lineage_subcluster_to_NK_Cell	11490
vaccination_study_06	independent_T_NK_lineage_subcluster_to_CD8_Cytotoxic_/_T_Effector_Memory	3451
vaccination_study_06	independent_B_lineage_subcluster_to_Memory_B_Cell	2800
vaccination_study_06	independent_T_NK_lineage_subcluster_to_MAIT_Cell	2454
vaccination_study_06	doublet_override	1502
vaccination_study_06	independent_B_lineage_subcluster_to_Naive_B_Cell	840
vaccination_study_06	ambiguous_default_blood_cell	821
vaccination_study_06	independent_Myeloid_lineage_subcluster_to_Myeloid_Cell	256
vaccination_study_06	independent_B_lineage_subcluster_to_B_Cell_marker_warning	218
vaccination_study_06	independent_ambiguous_exact_source_votes_NK Cell	150
vaccination_study_06	independent_Myeloid_lineage_subcluster_to_Conventional_DC_2	77
vaccination_study_06	independent_ambiguous_exact_source_votes_CD4 Naive / T Central Memory	57
vaccination_study_06	independent_Myeloid_lineage_subcluster_to_Intermediate_Monocyte_marker_only_rescue	48
vaccination_study_06	independent_ambiguous_exact_source_votes_CD8 Cytotoxic / T Effector Memory	25
vaccination_study_06	independent_Myeloid_lineage_subcluster_to_Classical_Monocyte	23
vaccination_study_06	independent_ambiguous_exact_source_votes_B Cell	3
vaccination_study_06	independent_ambiguous_exact_source_votes_MAIT Cell	1
vaccination_study_06	independent_ambiguous_exact_source_votes_Memory B Cell	1
vaccination_study_06	independent_ambiguous_exact_source_votes_CD8 Naive / T Central Memory	1
