study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	cluster_marker_raw_winner	cluster_marker_assignment_reason	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
vaccination_study_06	B_lineage	0	219	Memory B Cell	Memory B Cell	Memory B Cell	raw_marker_winner	0.34838660578386604	0.5331050228310502	0.18471841704718417	0.18471841704718417	0.0	3.8141400304414	3.144048706240487	Memory B Cell:123; B Cell:86; Naive B Cell:10	Memory B Cell:219	Memory B Cell:158; Naive B Cell:60; Plasma Cell:1	weak_marker_specificity
vaccination_study_06	B_lineage	1	211	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.76851971901384	0.9421927047958305	0.17367298578199053	0.1576777251184834	0.015995260663507108	3.032227488151659	1.527214878142558	Memory B Cell:132; B Cell:76; Naive B Cell:3	Memory B Cell:211	Naive B Cell:123; Memory B Cell:76; Plasma Cell:12	marker_final_disagreement
vaccination_study_06	B_lineage	10	133	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.08642857142857144	0.2631578947368421	0.17672932330827065	0.1682706766917293	0.008458646616541353	2.7578947368421054	2.103045112781955	Memory B Cell:127; B Cell:3; NK Cell:2; CD4 Naive / T Central Memory:1	Memory B Cell:125; Blood Cell:6; HSC:1; B Cell:1	Naive B Cell:63; Plasma Cell:40; Memory B Cell:24; not_available:5; CD4 Naive / T Central Memory:1	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	B_lineage	11	133	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.8469902821793428	0.899885019021448	0.05289473684210526	0.0331578947368421	0.019736842105263153	2.756390977443609	0.8116563343620105	B Cell:128; Naive B Cell:4; Memory B Cell:1	Memory B Cell:131; Blood Cell:2	Naive B Cell:113; Memory B Cell:20	marker_final_disagreement
vaccination_study_06	B_lineage	12	117	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.5954215454553249	0.9164899215237009	0.32106837606837607	0.3178632478632479	0.003205128205128205	2.8717948717948714	1.832478632478632	B Cell:105; Memory B Cell:9; Naive B Cell:2; CD4 Naive / T Central Memory:1	Memory B Cell:115; Plasma Cell:2	Plasma Cell:58; Memory B Cell:30; Naive B Cell:28; not_available:1	marker_final_disagreement
vaccination_study_06	B_lineage	13	90	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.18072222222222223	0.2777777777777778	0.09705555555555555	0.07622222222222222	0.020833333333333332	3.1911111111111112	2.628166666666667	Memory B Cell:76; B Cell:12; CD4 Naive / T Central Memory:2	Memory B Cell:39; Blood Cell:27; B Cell:10; Plasma Cell:7; Naive B Cell:4	Memory B Cell:50; Naive B Cell:20; not_available:16; CD4 Naive / T Central Memory:3; Treg:1	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	B_lineage	15	78	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.29230769230769227	0.3333333333333333	0.041025641025641026	0.03141025641025641	0.009615384615384614	3.158974358974359	2.2794871794871794	B Cell:74; Memory B Cell:3; Naive B Cell:1	Memory B Cell:76; Blood Cell:2	Memory B Cell:39; Naive B Cell:36; Plasma Cell:3	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	B_lineage	16	76	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.23776315789473684	0.3026315789473684	0.06486842105263158	0.04513157894736842	0.019736842105263153	3.2578947368421054	2.328026315789474	B Cell:54; Memory B Cell:17; Naive B Cell:5	Memory B Cell:74; Blood Cell:2	Memory B Cell:43; Naive B Cell:33	marker_final_disagreement;weak_marker_specificity
vaccination_study_06	B_lineage	17	69	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.5663361935972763	0.6332927153364067	0.06695652173913044	0.021304347826086957	0.04565217391304348	3.0985507246376813	1.4539536614751878	Memory B Cell:32; B Cell:25; Naive B Cell:12	Memory B Cell:65; Blood Cell:3; CD4 T Cell (ab):1	Naive B Cell:36; Memory B Cell:30; not_available:2; CD4 T Effector Memory:1	marker_final_disagreement
vaccination_study_06	B_lineage	18	63	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.31436507936507935	0.36507936507936506	0.05071428571428571	0.032857142857142856	0.017857142857142856	3.361904761904762	2.5650000000000004	B Cell:31; Memory B Cell:30; Naive B Cell:2	Memory B Cell:63	Memory B Cell:40; Naive B Cell:21; Plasma Cell:2	marker_final_disagreement;weak_marker_specificity
