study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
vaccination_study_06	B_lineage	B_lineage:0	B Cell	parent	339	MS4A1,CD79A,CD79B,CD74,HLA-DRA,BANK1,CD37	CD79A,CD79B	CD3D,CD3E,LST1,NKG7	1.8840722491406612	1.9561920792454663	0.14423966020961074	1.0	0.7009260935999586	1.0
vaccination_study_06	B_lineage	B_lineage:0	Plasma Cell	terminal	339	MZB1,XBP1,PRDM1,IRF4	MZB1,XBP1,PRDM1	MS4A1,CD79A,CD3D,LST1	-0.13658722294467038	0.34120052156195174	0.9555754890132443	0.75	0.39900656878761254	2.0
vaccination_study_06	B_lineage	B_lineage:0	Plasmablast	terminal	339	MZB1,XBP1,PRDM1,IRF4,CD27	MZB1,XBP1	MS4A1,LST1,CD3D	-0.10420324490602506	0.28136638251729423	0.7711392548466385	0.6666666666666666	0.34177487859220607	3.0
vaccination_study_06	B_lineage	B_lineage:1	B Cell	parent	327	MS4A1,CD79A,CD79B,CD74,HLA-DRA,BANK1,CD37	CD79A,CD79B	CD3D,CD3E,LST1,NKG7	2.1322528617371113	2.181819921604355	0.09913411973448703	1.0	0.9246988917297145	1.0
vaccination_study_06	B_lineage	B_lineage:1	Plasmablast	terminal	327	MZB1,XBP1,PRDM1,IRF4,CD27	MZB1,XBP1	MS4A1,LST1,CD3D	-0.007842164095510156	0.2713258984621147	0.5583361251152497	0.6666666666666666	0.594047396459134	2.0
vaccination_study_06	B_lineage	B_lineage:1	Naive B Cell	terminal	327	MS4A1,CD79A,CD79B,TCL1A,IGHM,IL4R,BANK1	TCL1A,IGHM	CD27,MZB1	0.7747555610692464	0.8453228233057425	0.141134524472992	0.6666666666666666	0.5280781427701843	3.0
vaccination_study_06	B_lineage	B_lineage:10	Plasmablast	terminal	190	MZB1,XBP1,PRDM1,IRF4,CD27	MZB1,XBP1	MS4A1,LST1,CD3D	0.08321897010008496	0.30190025059800396	0.43736256099583803	0.6666666666666666	0.832444697632143	1.0
vaccination_study_06	B_lineage	B_lineage:10	Plasma Cell	terminal	190	MZB1,XBP1,PRDM1,IRF4	MZB1,XBP1,PRDM1	MS4A1,CD79A,CD3D,LST1	0.05261641548652398	0.3764004494014539	0.6475680678298599	0.75	0.7120946532452648	2.0
vaccination_study_06	B_lineage	B_lineage:10	Naive B Cell	terminal	190	MS4A1,CD79A,CD79B,TCL1A,IGHM,IL4R,BANK1	TCL1A,IGHM	CD27,MZB1	0.698257481233966	0.7081949272101983	0.019874891952464457	0.6666666666666666	0.43964465925747914	3.0
vaccination_study_06	B_lineage	B_lineage:11	Memory B Cell	terminal	182	MS4A1,CD79A,CD79B,CD27,ITGAX,TBX21,AIM2,BANK1,CD86	CD27	TCL1A,IGHM,MZB1	0.6285608461779407	0.6699728643355642	0.08282403631524725	0.3333333333333333	0.7605127624578608	1.0
