study	predicted_cell_type	n_cells
vaccination_study_09	CD4 Naive / T Central Memory	49118
vaccination_study_09	Classical Monocyte	26133
vaccination_study_09	CD8 Cytotoxic / T Effector Memory	13732
vaccination_study_09	CD8 Naive / T Central Memory	11778
vaccination_study_09	Naive B Cell	11350
vaccination_study_09	NK Cell	9374
vaccination_study_09	MAIT Cell	6316
vaccination_study_09	Memory B Cell	4173
vaccination_study_09	Non-Classical Monocyte	3072
vaccination_study_09	Conventional DC 2	1676
vaccination_study_09	Blood Cell	1238
vaccination_study_09	Plasmacytoid DC	803
vaccination_study_09	Doublet	579
vaccination_study_09	Plasma Cell	425
vaccination_study_09	Platelet	84
vaccination_study_09	Conventional DC 1	52
vaccination_study_09	HSC	37
vaccination_study_09	B Cell	20
