study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	NK Cell	terminal	7576	NKG7,GNLY,KLRD1,FCGR3A,PRF1,GZMB,GZMH,TYROBP	NKG7,GNLY,KLRD1	CD3D,CD3E,MS4A1,LST1	1.831058377824889	1.8904818106460393	0.1188468656423005	1.0	1.0	1.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	CD8 Cytotoxic / T Effector Memory	terminal	7576	CD3D,CD3E,CD8A,CD8B,NKG7,GNLY,PRF1,GZMB,GZMH,CCL5,CST7	CD8A,NKG7,GNLY	CCR7,TCF7,LEF1,MS4A1	1.357306931646868	1.375424871393377	0.03623587949301776	1.0	1.0	2.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	NKT Cell	terminal	7576	CD3D,CD3E,NKG7,GNLY,KLRD1,ZBTB16	CD3D,NKG7,ZBTB16	MS4A1,LST1	1.3226309640300933	1.3508306443114302	0.056399360562673716	1.0	1.0	3.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:1	CD4 Naive / T Central Memory	terminal	6964	CD3D,CD3E,CD4,IL7R,CCR7,SELL,TCF7,LEF1,LTB,MAL	CD4,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1,FOXP3	0.855202848503194	0.8942399217172096	0.07807414642803152	1.0	1.0	1.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:1	CD8 Naive / T Central Memory	terminal	6964	CD3D,CD3E,CD8A,CD8B,CCR7,TCF7,LEF1,SELL,IL7R	CD8A,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1	0.7094862234113422	0.7578853310757891	0.09679821532889388	1.0	1.0	2.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:1	ydT Cell	terminal	6964	CD3D,CD3E		MS4A1,LST1	1.139295541832736	1.1918053662020334	0.10501964873859486	0.0	0.9753415106158425	3.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:10	CD4 T Effector Memory	terminal	3724	CD3D,CD3E,CD4,IL7R,GZMK,CCL5,ANXA1,CXCR3,KLRB1	CD4,GZMK,CCL5	CCR7,TCF7,LEF1,FOXP3	1.0864643309548139	1.1252694372694592	0.07761021262929084	1.0	1.0	1.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:10	MAIT Cell	terminal	3724	CD3D,CD3E,SLC4A10,KLRB1,DPP4,IL7R	SLC4A10,KLRB1	MS4A1,LST1	0.9977828256713844	1.093530256585263	0.19149486182775713	1.0	1.0	2.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:10	CD4 T Cell (ab)	parent	3724	CD3D,CD3E,CD4,IL7R	CD3D,CD3E,CD4	CD8A,CD8B,MS4A1,LST1	0.7898692490430959	0.8817149513430101	0.18369140459982844	1.0	0.9040319833547454	3.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:11	CD4 T Cell (ab)	parent	3595	CD3D,CD3E,CD4,IL7R	CD3D,CD3E,CD4	CD8A,CD8B,MS4A1,LST1	0.9565331322862475	1.0137838714063085	0.11450147824012188	1.0	1.0	1.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:11	MAIT Cell	terminal	3595	CD3D,CD3E,SLC4A10,KLRB1,DPP4,IL7R	SLC4A10,KLRB1	MS4A1,LST1	0.7467616429843448	0.8131908389529422	0.13285839193719484	1.0	1.0	2.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:11	ydT Cell	terminal	3595	CD3D,CD3E		MS4A1,LST1	1.154309674003194	1.2207388699717914	0.13285839193719484	0.0	0.9909642514336997	3.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:12	Treg	terminal	3097	CD3D,CD3E,CD4,FOXP3,IL2RA,CTLA4,IKZF2,TIGIT,TNFRSF18,CCR8	FOXP3,IL2RA,CTLA4	NKG7,GNLY,GZMB,CD8A	0.15629505910458086	0.2185372136141125	0.12448430901906318	1.0	0.9181590704209552	1.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:12	CD4 Naive / T Central Memory	terminal	3097	CD3D,CD3E,CD4,IL7R,CCR7,SELL,TCF7,LEF1,LTB,MAL	CD4,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1,FOXP3	0.6403285264102805	0.6908037671186018	0.10095048141664255	1.0	0.8744632270690823	2.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:12	CD8 Naive / T Central Memory	terminal	3097	CD3D,CD3E,CD8A,CD8B,CCR7,TCF7,LEF1,SELL,IL7R	CD8A,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1	0.471048179943193	0.5338957627066899	0.12569516552699395	1.0	0.8328310393873375	3.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:13	CD4 T Cell (ab)	parent	2990	CD3D,CD3E,CD4,IL7R	CD3D,CD3E,CD4	CD8A,CD8B,MS4A1,LST1	0.8607138133741741	0.891294398958667	0.06116117116898597	1.0	0.9994605893788829	1.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:13	Treg	terminal	2990	CD3D,CD3E,CD4,FOXP3,IL2RA,CTLA4,IKZF2,TIGIT,TNFRSF18,CCR8	FOXP3,IL2RA,CTLA4	NKG7,GNLY,GZMB,CD8A	0.22971895307601498	0.2749149145330474	0.09039192291406485	1.0	0.9988036319596529	2.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:13	CD4 Naive / T Central Memory	terminal	2990	CD3D,CD3E,CD4,IL7R,CCR7,SELL,TCF7,LEF1,LTB,MAL	CD4,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1,FOXP3	0.777590927878351	0.8144752492015577	0.07376864264641318	1.0	0.9810003277786906	3.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:14	Treg	terminal	2907	CD3D,CD3E,CD4,FOXP3,IL2RA,CTLA4,IKZF2,TIGIT,TNFRSF18,CCR8	FOXP3,IL2RA,CTLA4	NKG7,GNLY,GZMB,CD8A	0.23169940562593927	0.26920141713250983	0.07500402301314117	1.0	1.0	1.0
