study	lineage	subcluster	candidate_label	marker_role	n_cells	positive_genes_present	key_genes_present	negative_genes_present	marker_score_mean	positive_mean	negative_mean	key_gene_present_fraction	marker_score_scaled	rank_within_subcluster
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	NK Cell	terminal	7576	NKG7,GNLY,KLRD1,FCGR3A,PRF1,GZMB,GZMH,TYROBP	NKG7,GNLY,KLRD1	CD3D,CD3E,MS4A1,LST1	1.831058377824889	1.8904818106460393	0.1188468656423005	1.0	1.0	1.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	T Cell	parent	7576	CD3D,CD3E,CD247,LCK	CD3D,CD3E	MS4A1,CD79A,LST1,S100A8	0.4174812812999347	0.481261431810927	0.12756030102198454	0.6666666666666666	0.05056821416520307	5.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	CD4 T Cell (ab)	parent	7576	CD3D,CD3E,CD4,IL7R	CD3D,CD3E,CD4	CD8A,CD8B,MS4A1,LST1	0.07702482397419252	0.10563127853668668	0.05721290912498831	1.0	0.0	7.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	CD4 Naive / T Central Memory	terminal	7576	CD3D,CD3E,CD4,IL7R,CCR7,SELL,TCF7,LEF1,LTB,MAL	CD4,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1,FOXP3	-0.9224169490243276	0.10358924236789802	2.052012382784451	1.0	0.0	8.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	CD4 T Effector Memory	terminal	7576	CD3D,CD3E,CD4,IL7R,GZMK,CCL5,ANXA1,CXCR3,KLRB1	CD4,GZMK,CCL5	CCR7,TCF7,LEF1,FOXP3	0.5044706400459151	0.5203945618662619	0.03184784364069339	1.0	0.5345537459001792	4.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	Treg	terminal	7576	CD3D,CD3E,CD4,FOXP3,IL2RA,CTLA4,IKZF2,TIGIT,TNFRSF18,CCR8	FOXP3,IL2RA,CTLA4	NKG7,GNLY,GZMB,CD8A	-0.9976676490446975	0.06610785035973114	2.1275509988088572	1.0	0.0	9.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	CD8 T Cell (ab)	parent	7576	CD3D,CD3E,CD8A,CD8B	CD3D,CD3E,CD8A	CD4,MS4A1,LST1	0.099647936778027	0.1196604142046151	0.04002495485317619	1.0	0.0	10.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	CD8 Naive / T Central Memory	terminal	7576	CD3D,CD3E,CD8A,CD8B,CCR7,TCF7,LEF1,SELL,IL7R	CD8A,CCR7,TCF7	NKG7,GNLY,GZMB,PRF1	-1.1811444958334059	0.10129047075386383	2.5648699331745397	1.0	0.0	11.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	CD8 Cytotoxic / T Effector Memory	terminal	7576	CD3D,CD3E,CD8A,CD8B,NKG7,GNLY,PRF1,GZMB,GZMH,CCL5,CST7	CD8A,NKG7,GNLY	CCR7,TCF7,LEF1,MS4A1	1.357306931646868	1.375424871393377	0.03623587949301776	1.0	1.0	2.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	ydT Cell	terminal	7576	CD3D,CD3E		MS4A1,LST1	0.15309469044059043	0.18129437072192728	0.056399360562673716	0.0	0.0	12.0
vaccination_study_09	T_NK_lineage	T_NK_lineage:0	MAIT Cell	terminal	7576	CD3D,CD3E,SLC4A10,KLRB1,DPP4,IL7R	SLC4A10,KLRB1	MS4A1,LST1	0.31983271822535275	0.3480323985066896	0.056399360562673716	1.0	0.009406530992565694	6.0
