study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_10	B_lineage	0	Plasma Cell	1	525	0.9332786091641936	0.9619047619047619	1.0	0.11855238095238094	0.03866666666666666	0.1572190476190476	0.8427809523809524	0.8427809523809524	0.0	0.9695238095238096	0.3657142857142857	0.9619047619047619	0.005714285714285714	0.92	2.1264908157047095	0.259047619047619	0.09142857142857143	0.11047619047619048	0.036825396825396824	MS4A1;CD79A;LST1	LILRA4;IRF7;TCF4		0.0	0.0	0.0	0.0	0.0	0.8427809523809524
vaccination_study_10	B_lineage	0	Memory B Cell	2	525	0.5533771126686452	0.5533771126686452	0.08952380952380952	0.03007619047619048	0.0	0.03007619047619048	0.05944761904761904	0.05944761904761904	0.0	0.2019047619047619	0.035918367346938776	0.08952380952380952	0.0	0.08571428571428572	0.5061628465997042	0.06095238095238095	0.03142857142857143	0.0	0.0	TCL1A;MZB1			0.0	0.0	0.0	0.0	0.0	0.05944761904761904
vaccination_study_10	B_lineage	0	Plasmablast	3	525	0.9072004377933531	0.9072004377933531	0.09523809523809523	0.11584761904761905	0.041428571428571426	0.15727619047619046	0.0	0.0	0.0	0.9714285714285714	0.2861904761904762	0.047619047619047616	0.047619047619047616	0.047619047619047616	0.3227427004268523	0.2342857142857143	0.1219047619047619	0.11047619047619048	0.05523809523809524	MS4A1;LST1	LILRA4;IRF7	STMN1	0.047619047619047616	0.047619047619047616	0.0	0.0	0.0	0.0
vaccination_study_10	B_lineage	0	Naive B Cell	4	525	0.5595967249689545	0.5595967249689545	0.030476190476190476	0.06316190476190477	0.007285714285714286	0.07044761904761905	0.0	0.0	0.0	0.2019047619047619	0.03782312925170068	0.015238095238095238	0.015238095238095238	0.015238095238095238	0.06687465878391764	0.12761904761904763	0.06666666666666667	0.01904761904761905	0.010476190476190476	TNFRSF13B;MZB1	FCRL5;TBX21		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	B_lineage	1	Naive B Cell	1	463	0.960472311675191	0.960472311675191	1.0	0.05844492440604752	0.03806695464362851	0.09651187904967604	0.9034881209503239	0.9034881209503239	0.0	1.0	0.652267818574514	0.7580993520518359	0.7580993520518359	0.7580993520518359	2.035271742816811	0.11879049676025918	0.06047516198704104	0.10151187904967603	0.05075593952483801	TNFRSF13B;MZB1	FCRL5;TBX21		0.0	0.0	0.0	0.0	0.0	0.9034881209503239
vaccination_study_10	B_lineage	1	Plasma Cell	2	463	0.3217149712698112	0.3217149712698112	0.11231101511879049	0.5	0.3227861771058315	0.6	0.0	0.0	0.0	0.15766738660907129	0.05543556515478761	0.11231101511879049	0.0	0.10583153347732181	0.26761186950035204	0.9870410367170627	0.6011519078473722	0.9049676025917927	0.3419726421886249	MS4A1;CD79A;LST1	LILRA4;IRF7;TCF4		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	B_lineage	1	Plasmablast	3	463	0.6302540464313527	0.6302540464313527	0.21166306695464362	0.4270626349892009	0.3323974082073434	0.6	0.0	0.0	0.0	0.21382289416846653	0.056155507559395246	0.10583153347732181	0.10583153347732181	0.10583153347732181	0.6488094380910232	0.8531317494600432	0.46760259179265656	0.8768898488120951	0.46220302375809935	MS4A1;LST1	LILRA4;IRF7	STMN1	0.058315334773218146	0.058315334773218146	0.0	0.0	0.0	0.0
vaccination_study_10	B_lineage	1	Memory B Cell	4	463	0.9342468060028204	0.9342468060028204	0.11231101511879049	0.38885529157667387	0.0	0.38885529157667387	0.0	0.0	0.0	1.0	0.44153039185436593	0.11231101511879049	0.0021598272138228943	0.09935205183585313	0.6220550828916535	0.7732181425485961	0.4319654427645788	0.0	0.0	TCL1A;MZB1			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	B_lineage	10	Plasma Cell	1	249	0.9467070783608007	0.9839357429718876	1.0	0.07734939759036144	0.21445783132530122	0.2918072289156627	0.7081927710843373	0.7081927710843373	0.0	0.9839357429718876	0.39357429718875503	0.9839357429718876	0.012048192771084338	0.9116465863453815	2.1746937680273137	0.1686746987951807	0.060240963855421686	0.6104417670682731	0.20883534136546186	MS4A1;CD79A;LST1	LILRA4;IRF7;TCF4		0.0	0.0	0.0	0.0	0.0	0.7081927710843373
vaccination_study_10	B_lineage	10	Plasmablast	2	249	0.9353202416282546	0.9353202416282546	0.1686746987951807	0.07915662650602409	0.23012048192771087	0.30927710843373496	0.0	0.0	0.0	0.9919678714859438	0.31626506024096385	0.08433734939759036	0.08433734939759036	0.08433734939759036	0.5284136436442032	0.1606425702811245	0.0823293172690763	0.6104417670682731	0.3132530120481928	MS4A1;LST1	LILRA4;IRF7	STMN1	0.08433734939759036	0.08433734939759036	0.0	0.0	0.0	0.0
vaccination_study_10	B_lineage	10	Naive B Cell	3	249	0.17616972911536274	0.17616972911536274	0.01606425702811245	0.051164658634538146	0.04728915662650601	0.09845381526104416	0.0	0.0	0.0	0.14457831325301204	0.029259896729776243	0.008032128514056224	0.008032128514056224	0.008032128514056224	0.0477806439094915	0.10441767068273092	0.05220883534136546	0.12449799196787148	0.06626506024096385	TNFRSF13B;MZB1	FCRL5;TBX21		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	B_lineage	10	Memory B Cell	4	249	0.1881879985687525	0.1881879985687525	0.028112449799196786	0.04526104417670683	0.0	0.04526104417670683	0.0	0.0	0.0	0.23293172690763053	0.04188181296615031	0.028112449799196786	0.0	0.020080321285140562	0.1938340802422226	0.09236947791164658	0.04618473895582329	0.0	0.0	TCL1A;MZB1			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	B_lineage	11	Memory B Cell	1	238	0.967975837174549	0.967975837174549	0.6216707204909806	0.1546638655462185	0.0	0.1546638655462185	0.46700685494476213	0.46700685494476213	0.0	1.0	0.5192076830732293	0.37815126050420167	0.04201680672268908	0.3025210084033613	1.9740778399471157	0.31092436974789917	0.16596638655462187	0.0	0.0	TCL1A;MZB1			0.0	0.0	0.0	0.0	0.0	0.46700685494476213
vaccination_study_10	B_lineage	11	Plasmablast	2	238	0.4919860663846267	0.4919860663846267	0.5497938217587581	0.4210084033613446	0.06365546218487395	0.48466386554621854	0.06512995621253959	0.06512995621253959	0.0	0.3235294117647059	0.08823529411764706	0.23109243697478993	0.23109243697478993	0.23109243697478993	1.3504357912367129	0.8403361344537815	0.4621848739495798	0.16806722689075632	0.08823529411764705	MS4A1;LST1	LILRA4;IRF7	STMN1	0.06302521008403361	0.06302521008403361	0.0	0.0	0.0	0.06512995621253959
vaccination_study_10	B_lineage	11	Plasma Cell	3	238	0.5078192418597798	0.5078192418597798	0.2605042016806723	0.5	0.13130252100840337	0.6	0.0	0.0	0.0	0.27310924369747897	0.09663865546218488	0.2605042016806723	0.0	0.23109243697478993	0.5918529500320022	0.9915966386554622	0.6134453781512605	0.3697478991596639	0.13585434173669467	MS4A1;CD79A;LST1	LILRA4;IRF7;TCF4		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	B_lineage	11	Naive B Cell	4	238	0.9265433268085286	0.9265433268085286	0.20168067226890757	0.23911764705882352	0.04443277310924369	0.2835504201680672	0.0	0.0	0.0	1.0	0.4951980792316927	0.10084033613445378	0.10084033613445378	0.10084033613445378	0.29369925061926977	0.47478991596638653	0.2668067226890756	0.11764705882352941	0.06092436974789916	TNFRSF13B;MZB1	FCRL5;TBX21		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	B_lineage	12	Naive B Cell	1	230	0.9703437098777126	0.9703437098777126	1.0	0.18204347826086958	0.09456521739130434	0.27660869565217394	0.7233913043478261	0.7233913043478261	0.0	1.0	0.6732919254658386	0.9173913043478261	0.9173913043478261	0.9173913043478261	2.457355693936032	0.3695652173913043	0.18913043478260871	0.25217391304347825	0.12608695652173912	TNFRSF13B;MZB1	FCRL5;TBX21		0.0	0.0	0.0	0.0	0.0	0.7233913043478261
